date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2010-12-31,,,,79.7967,33.688,33.688,64.1728,30.2022,30.2022,,,,,,,,,,,
2011-12-31,0.7285,0.3971,0.6587,75.9632,30.6831,30.6831,63.8111,0.7819,0.7819,0.1873,1.9754,2.8193,129.4646,0.2991,0.2991,0.1464,0.1803,,,
2012-12-31,0.6345,0.0004,0.0007,79.0947,23.0877,23.0877,58.7951,24.5218,48.7194,0.1236,2.5296,5.0609,72.1216,7.9038,7.9038,6.0196,7.9005,12.4927,,
2013-12-31,0.5108,0.3523,0.544,89.3871,45.7659,45.7659,78.2728,41.5097,26.2435,0.1367,3.9203,5.2963,68.9159,6.4559,6.4559,3.5874,4.1812,17.9498,3.6866,3.4102
2014-12-31,0.9437,0.2533,0.3393,88.1642,42.9014,42.9014,77.6248,61.518,39.0857,0.1601,20.7542,5.0587,72.1536,9.8715,9.8715,6.3309,7.3709,34.8975,3.0002,0.11
2015-12-31,0.7689,0.1879,0.2313,80.1412,165.7072,165.7072,116.3941,167.684,123.2566,0.1624,51.3403,5.6617,64.468,25.9743,25.9743,19.9144,21.095,31.5729,0.0777,3.6077
2016-12-31,8.5609,0.2158,0.2752,82.1604,13.0177,13.0177,21.2699,31.2491,31.3094,0.0985,47.4201,4.3881,83.1796,4.1039,4.1039,3.0826,3.2182,44.5764,2.1859,0.586
2017-12-31,0.621,0.2093,0.2647,87.5519,50.2075,50.2075,77.6764,41.2448,40.0,0.1551,16.469,5.2026,70.1566,9.2623,9.2624,6.653,7.3239,56.8596,4.6772,0.7135
2018-12-31,0.9078,0.2396,0.3151,86.0754,46.4614,46.4614,75.0919,51.1489,38.8787,0.1008,8.1892,5.551,65.7537,6.6704,6.6704,4.3758,5.0722,86.2406,5.8145,0.4056
2019-12-31,0.688,0.2649,0.3603,83.1231,17.5328,17.5328,54.0363,9.1322,6.0545,0.1685,18.0811,6.2524,58.3779,2.1132,2.1132,1.3387,1.5535,93.7473,1.8023,0.9108
2020-12-31,0.4871,0.3645,0.5931,76.182,194.6676,194.6676,148.3114,205.3324,160.5759,0.1597,20.303,6.4371,56.7028,47.654,47.654,26.5168,30.2826,62.0161,3.3101,1.3181
