date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,7.09,,,49.7661,17.5841,17.5841,19.4926,17.6623,10.9506,1.7115,2.1165,8.299,43.9812,21.2895,21.2895,18.7424,21.2895,1.2968,0.2012,0.1014
2006-12-31,7.3899,,,50.1662,17.6773,17.6773,19.5342,17.7429,11.0006,1.7414,1.9773,8.6351,42.2692,21.5855,21.5855,19.1564,21.5855,1.5246,0.0393,0.0608
2007-12-31,6.3921,,,50.8082,18.2569,18.2569,20.0708,18.3284,11.2824,1.7728,2.01,8.7243,41.8372,23.0282,23.0282,20.0008,23.0282,1.6935,0.2165,0.2551
2008-12-31,6.5909,,,52.8149,19.2374,19.2374,20.9152,19.2771,11.951,1.7946,1.9572,9.5551,38.1995,24.487,24.487,21.4473,24.487,1.9226,0.0582,0.0051
2009-12-31,8.22,,,50.9465,15.3234,15.3234,17.4001,15.4114,9.5505,1.4543,1.8625,9.0131,40.4965,15.4812,15.4812,13.889,15.4812,2.0193,0.0792,0.1448
2010-12-31,6.6942,,,51.767,18.9334,18.9334,20.7292,18.9754,11.6924,1.5457,1.9639,8.4013,43.4456,20.6903,20.6903,18.0725,20.6903,2.1748,0.108,0.1448
2011-12-31,6.5816,,,51.8339,20.7675,20.7675,22.3833,20.7846,12.9363,1.6421,2.0625,8.1716,44.6668,24.5329,24.5329,21.2427,24.5329,2.4707,0.0459,0.0337
2012-12-31,6.3018,,,51.5234,21.4991,21.4991,23.224,21.5139,13.4203,1.7257,2.1234,8.42,43.3492,26.9512,26.9512,23.1594,26.9512,2.6307,0.2131,0.1846
2013-12-31,5.8727,,,51.6954,21.4262,21.4262,23.3561,21.4506,13.4883,1.6023,2.0491,8.0277,45.4678,25.3081,25.3081,21.6129,25.3081,2.9868,0.0321,0.0811
2014-12-31,4.2181,,0.047,50.8209,21.0952,21.0952,23.0417,21.091,13.2356,1.5826,2.1124,8.0798,45.1742,25.8013,25.8013,20.9465,25.8013,3.2366,0.1409,0.1706
2015-12-31,4.4612,0.144,0.2026,50.3696,21.4204,21.4204,23.6586,21.3507,13.3464,1.5278,2.1027,8.2609,44.184,28.6684,28.6684,20.3912,24.5409,3.1102,0.1025,0.1625
2016-12-31,6.2416,0.1641,0.2017,49.5911,20.0858,20.0858,22.7108,19.9319,12.6047,1.4845,2.0113,7.9288,46.035,25.8342,25.8342,18.7118,21.5947,3.3426,0.0434,0.111
2017-12-31,5.5148,0.1642,0.1979,49.2791,20.0843,20.0843,22.986,19.8861,13.1785,1.5085,2.0376,7.2236,50.5289,27.5931,27.5931,19.8798,23.0619,3.6456,0.1158,0.2372
2018-12-31,5.2954,0.1775,0.2171,48.3152,20.1245,20.1245,22.9079,19.8788,15.1437,1.4948,2.0069,6.951,52.5104,32.653,32.653,22.6374,26.8565,4.0271,0.1593,0.0638
2019-12-31,4.5111,0.1137,0.1294,47.1605,19.8211,19.8211,22.6091,19.568,14.8284,1.4036,2.0626,7.1902,50.7635,29.6706,29.6706,20.8137,26.2967,4.6429,0.2931,0.1661
2020-12-31,4.0796,0.1178,0.1482,45.4695,20.2185,20.2185,23.0942,20.0574,15.2126,1.4244,2.3024,7.3399,49.7284,31.432,31.432,21.6687,27.729,4.7603,0.4467,0.5907
