date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.4249,0.4653,1.1661,64.6857,18.1986,18.1986,35.4464,14.3335,7.5806,0.3567,7.7432,7.5821,48.1396,9.5668,26.1452,2.7606,5.0151,28.4141,6.7273,3.3818
2006-12-31,0.3964,0.4858,1.2739,63.0206,22.6589,22.6589,36.1099,17.8506,10.8252,0.3687,7.3709,9.0773,40.21,13.9236,40.102,4.0326,7.1599,28.3046,0.7976,0.9781
2007-12-31,0.4332,0.497,1.3129,60.8343,22.0122,22.0122,35.7444,17.1458,10.225,0.3962,9.6238,9.0091,40.5144,14.6151,38.9318,4.0605,7.3518,29.4487,0.4491,2.0553
2008-12-31,0.4301,0.5225,1.6805,58.6776,20.2466,20.2466,33.7639,15.528,9.8481,0.4065,9.3074,9.2638,39.4008,16.1034,48.8686,3.9945,7.6888,27.2771,1.7637,2.2767
2009-12-31,0.6399,0.5839,1.744,54.652,12.9731,12.9731,27.6497,8.0166,6.7217,0.3782,9.0927,9.2863,39.3051,10.0035,28.7056,2.4953,4.1624,28.0709,0.8113,2.8531
2010-12-31,0.7861,0.5842,1.6494,54.5993,13.067,13.067,25.4667,8.8462,5.5626,0.3754,9.4922,8.507,42.9058,8.0206,21.2615,2.0208,3.3347,29.3667,2.0297,3.708
2011-12-31,0.691,0.5417,1.3036,55.3493,10.4129,10.4129,21.1984,8.8296,5.4952,0.3403,8.8668,8.9771,40.6588,6.4366,12.4818,1.8087,2.9502,31.7994,2.4469,0.2089
2012-12-31,0.4955,0.5369,1.4624,55.9685,13.9889,13.9889,22.6876,8.5218,5.0475,0.3021,7.8014,7.9082,46.1544,5.7664,11.3602,1.4952,2.6705,31.2759,2.1014,5.2377
2013-12-31,0.5255,0.555,1.6266,56.6277,10.6232,10.6232,24.5232,3.8276,2.6323,0.2953,8.5891,7.7643,47.0098,2.9539,5.9742,0.7437,1.3146,30.3252,0.8162,0.8806
2014-12-31,0.6038,0.6069,1.7533,53.5119,7.0569,7.0569,17.9547,1.1363,1.9868,0.2914,8.563,8.4592,43.1481,1.7147,3.5476,0.4124,0.6741,29.4987,0.091,0.5537
2015-12-31,0.5427,0.6059,1.7689,58.2191,15.2536,15.2536,27.7253,5.943,3.8467,0.2884,7.9975,9.4207,38.7445,4.653,9.6269,1.1095,1.8337,29.3276,1.7162,2.3171
2016-12-31,0.414,0.7446,3.6135,63.729,19.1963,19.1963,37.6449,10.0748,57.729,0.248,6.8812,6.6254,55.0911,8.8287,88.443,1.277,2.2551,14.1089,0.2191,0.5086
2017-12-31,0.7561,0.8264,4.9796,68.6768,22.2182,22.2182,37.7745,13.0491,15.776,0.2586,14.5042,7.5262,48.4974,7.3631,17.0703,0.6839,1.2781,8.8136,0.6353,2.3023
2018-12-31,0.5162,0.7226,2.8623,67.6139,22.2183,22.2183,34.5085,13.4269,8.7115,0.2811,14.4722,7.4527,48.9757,15.1565,85.4515,2.551,4.1604,13.3108,5.7223,5.3243
2019-12-31,0.5027,0.7377,3.0105,68.9715,22.7458,22.7458,33.7744,10.1223,8.2284,0.2609,12.1851,8.5278,42.8011,12.9606,66.6175,2.1371,3.3994,12.9011,1.6974,1.4218
2020-12-31,0.7422,0.7536,3.3822,71.5477,20.0371,20.0371,31.1492,10.4634,10.0,0.2427,9.6845,7.4983,48.6779,13.8593,61.9518,2.2558,3.4153,13.3249,1.9311,1.9903
