date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,4.3584,,,76.8367,24.6466,24.6466,27.0619,27.5164,16.6668,0.5233,24.1512,6.748,54.0905,10.1924,11.4259,8.7221,10.1924,5.9618,1.0963,0.9764
2006-09-30,4.6466,,,77.6289,22.8748,22.8748,25.8148,27.2984,16.7505,0.5402,15.2964,6.2797,58.1241,10.7071,12.343,9.0478,10.7071,7.5587,0.4139,0.276
2007-09-30,2.5204,,,77.4907,18.9287,18.9287,21.9462,24.2916,14.6481,0.5567,11.0873,5.7278,63.7238,9.9925,14.3501,8.1543,9.9925,9.1323,0.4825,0.547
2008-09-30,1.7309,,,77.0803,15.275,15.275,18.9084,18.1896,11.4325,0.6922,14.6845,6.6989,54.4867,10.3488,15.2829,7.9141,10.3488,9.0811,0.329,0.1876
2009-09-30,2.0993,,,78.1457,18.6691,18.6691,22.7126,20.1581,14.0159,0.6111,10.3282,6.1051,59.7863,11.4559,16.1398,8.5655,11.4559,10.2013,0.2008,0.3897
2010-09-30,2.1107,,,80.5037,26.0782,26.0782,28.7804,26.9427,17.1381,0.6475,9.1391,7.8655,46.4053,15.0596,19.6558,11.0963,15.0596,12.4908,1.3469,1.3369
2011-09-30,2.0512,,,81.9415,30.4438,30.4438,32.2572,31.3197,20.9576,0.7343,12.1292,6.9523,52.5004,21.8373,27.723,15.3898,21.8373,13.9672,1.2475,1.0297
2012-09-30,1.6653,,,82.8522,30.9533,30.9533,33.5047,31.3825,19.9809,0.7206,13.5651,7.4377,49.0746,20.7,28.047,14.3986,20.7,16.8888,1.0931,1.0924
2013-09-30,1.4807,,,82.9174,29.0835,29.0835,31.7842,29.5746,18.7208,0.6641,13.3001,7.2541,50.3167,18.0225,27.322,12.4325,18.0225,19.7043,0.1044,0.1427
2014-09-30,1.5681,,,82.1045,28.4956,28.4956,31.1584,28.7141,17.9662,0.7927,12.6664,7.1501,51.0485,22.7255,38.3064,14.2421,22.7255,18.658,0.9004,0.9379
2015-09-30,1.5734,,,82.6932,28.7995,28.7995,31.5384,29.2394,19.0129,0.8303,9.8544,6.8704,53.1265,27.7213,47.98,15.7858,27.7213,18.7734,2.221,1.6882
2016-09-30,1.5266,,,83.0978,27.437,27.437,30.2829,27.563,18.3383,0.865,9.9029,7.4393,49.0638,30.867,58.1371,15.8631,30.867,18.1469,1.0304,0.9278
2017-09-30,1.5047,,,83.0872,26.983,26.983,29.9087,27.5362,20.1317,0.844,11.8484,7.1595,50.981,34.2251,62.4806,16.9902,34.2251,19.6407,0.9623,1.299
2018-09-30,1.4853,,,83.2757,27.3386,27.3386,30.091,27.9337,20.9905,0.8296,11.8255,7.3181,49.8765,35.293,62.1895,17.4129,35.293,21.3484,0.8442,0.5954
2019-09-30,1.3673,,,84.0988,23.1204,23.1204,26.1754,24.1304,19.0744,0.6614,10.3653,6.9635,52.4162,24.2824,61.4456,12.6165,24.2824,29.1798,0.0973,0.7694
2020-09-30,1.3921,0.1419,0.174,82.6492,16.6864,16.6864,20.764,16.8621,13.078,0.5025,14.6207,7.9371,45.9868,13.7726,82.3572,6.5722,11.8187,36.5353,1.6023,0.8662
