date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3236,0.7846,3.6917,34.8937,15.3486,15.3486,26.7106,10.7064,7.3115,0.6417,,5.4418,67.073,26.1059,11.3192,4.3286,5.6224,5.4306,3.3188,1.4593
2006-12-31,1.477,0.484,0.9576,22.5243,8.0116,8.0116,26.1742,0.2152,10.7221,0.3167,,2.9052,125.6372,0.4964,0.9721,0.2044,0.2561,16.4542,0.7041,0.4313
2007-12-31,1.4587,0.5143,1.1307,19.9661,9.0428,9.0428,26.807,12.5722,19.3992,0.2954,,2.44,149.5883,6.2969,9.2423,2.4309,3.0586,19.4207,0.2559,0.4163
2008-12-31,1.4283,0.3945,0.6801,22.1283,10.0134,10.0134,23.5928,5.3818,6.3938,0.4479,,4.4627,81.7896,3.327,8.6541,1.6399,2.0144,19.3662,0.7234,1.1506
2009-12-31,1.3494,0.2615,0.3819,26.127,7.6958,7.6958,19.5252,4.4111,2.8536,0.2651,,3.9413,92.6097,1.2796,5.1632,0.7787,0.9449,22.7466,0.0993,0.3329
2010-12-31,1.2865,0.4293,0.7913,30.9371,15.2169,15.2169,27.5225,11.6235,7.8611,0.363,,4.8031,75.992,5.9391,9.2978,2.749,3.3896,21.7344,0.0606,0.0562
2011-12-31,1.2342,0.4062,0.7231,30.3345,18.6558,18.6558,30.6616,12.9231,8.3476,0.4055,,5.5671,65.5632,7.4363,10.5765,3.5651,4.4154,22.7081,0.7725,0.6864
2012-12-31,1.4674,0.3838,0.6455,31.7402,18.5703,18.5703,29.9959,14.2914,7.9575,0.4277,,5.1896,70.3323,8.2166,13.9164,4.1196,5.0629,23.0996,0.2977,0.3148
2013-12-31,1.4061,0.3918,0.6633,32.5016,17.5298,17.5298,27.9942,13.5815,8.1324,0.4343,,3.8978,93.6429,7.6381,12.9999,3.6862,4.6456,23.1841,0.0857,0.0617
2014-12-31,1.5468,0.4303,0.7573,32.5277,19.8191,19.8191,29.8924,16.4198,10.5879,0.4417,,3.7602,97.0696,10.73,16.5152,4.9447,6.1127,23.4872,0.4271,0.2826
2015-12-31,1.4843,0.5485,1.2165,33.3687,16.6616,16.6616,26.9709,15.7217,9.5816,0.2518,,2.6802,136.1833,6.9948,5.4466,2.5115,3.158,29.034,0.1176,0.2664
2016-12-31,1.3589,0.5075,1.0643,33.2465,13.9169,13.9169,27.1883,9.478,5.945,0.3392,,3.6811,99.1547,5.546,5.1485,2.0975,2.7312,30.0152,1.9198,1.4892
2017-12-31,0.9195,0.4163,0.8099,33.1564,16.5205,16.5205,32.4988,11.2598,14.5478,0.3534,,3.2562,112.0939,11.9593,15.1825,5.276,6.9803,32.4925,0.6518,0.6096
2018-12-31,1.1946,0.4589,0.879,33.8834,17.3098,17.3098,34.3702,13.107,10.0439,0.3544,,3.2161,113.491,8.6187,10.6788,3.7064,4.6634,31.2599,0.8215,0.7724
2019-12-31,0.8372,0.2584,0.4083,36.0302,9.3777,9.3777,33.2624,3.9969,2.884,0.1233,,1.4537,251.081,0.6127,1.3907,0.3615,0.4544,80.5472,0.6593,0.6217
2020-12-31,0.8007,0.2444,0.4059,33.4927,4.3977,4.3977,34.2336,2.1192,1.2588,0.1497,,1.6636,219.4013,0.3326,0.7717,0.1956,0.2513,79.5371,1.7408,1.7761
