date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0201,0.1945,0.2415,33.0454,20.4258,20.4258,25.0849,22.4622,15.921,0.5366,,6.2713,58.202,18.4123,120.2427,7.5172,14.8312,3.3916,0.6898,0.5052
2006-12-31,1.2211,0.2349,0.3071,31.9413,18.8205,18.8205,23.5327,17.6637,12.6975,0.5669,,7.004,52.1134,16.0759,458.8235,6.238,12.299,3.5447,0.0722,0.0314
2007-12-31,1.1304,0.6649,2.1909,33.9679,20.0163,20.0163,24.8028,18.1398,11.9391,0.3104,,4.3983,82.9861,16.7005,8.8793,3.478,5.5963,3.7356,0.0481,0.0484
2008-12-31,1.0794,0.5975,1.5825,37.5191,19.7951,19.7951,27.4253,13.9525,12.4046,0.4916,,7.7614,47.0275,13.8011,9.2173,3.8367,5.5556,4.1597,0.364,0.2856
2009-12-31,1.0999,0.5278,1.2032,41.6237,23.2033,23.2033,31.3711,18.0034,11.6753,0.4866,,7.3592,49.5977,15.6312,14.1152,5.6457,7.3814,4.938,0.1933,0.1783
2010-12-31,1.5903,0.5094,1.0393,42.2695,24.3649,24.3649,32.5671,19.187,12.001,0.4991,,7.2255,50.5154,15.6705,16.7162,6.1104,7.6876,5.4952,0.2114,0.2415
2011-12-31,0.9798,0.4968,1.0421,41.6181,23.0823,23.0823,31.1261,16.8571,11.0049,0.5018,,6.4399,56.6776,14.9478,14.5678,5.6972,7.5224,5.8137,0.0596,0.0185
2012-12-31,1.3059,0.4858,0.9453,42.2002,23.6249,23.6249,31.5149,19.8602,13.7737,0.5221,,6.711,54.388,17.3251,19.5251,6.9672,8.909,6.4013,0.1366,0.158
2013-12-31,1.1802,0.5116,1.0734,42.3349,22.0399,22.0399,30.4113,18.6539,13.4607,0.506,,6.4101,56.9412,18.1311,17.2277,6.8328,8.8544,6.9829,0.4505,0.3579
2014-12-31,0.9717,0.5288,1.1502,43.1307,23.8847,23.8847,31.8595,20.6672,14.8835,0.5443,,6.3484,57.4951,22.8832,19.2494,8.1006,10.7822,6.856,0.6338,0.4995
2015-12-31,1.0027,0.6172,1.6139,46.2489,26.2489,26.2489,33.8238,23.1608,16.8937,0.5894,,6.8641,53.1753,34.9624,21.0789,9.9572,13.3852,5.9032,0.4197,0.1958
2016-12-31,0.9495,0.6374,1.7954,46.2489,26.2489,26.2489,33.8965,23.1608,16.8937,0.565,,6.1031,59.8056,36.5998,19.9357,9.5453,13.2706,5.8956,0.1898,0.3439
2017-12-31,1.0191,0.642,1.7942,46.9101,26.8961,26.8961,34.691,23.8413,21.875,0.5536,,5.7131,63.8878,45.1117,25.9861,11.974,16.151,6.5791,0.2428,0.225
2018-12-31,1.1065,0.722,2.5988,47.2952,30.1048,30.1048,39.6531,26.7045,20.3847,0.517,,3.7935,96.2176,51.7663,21.3797,10.5399,14.3914,5.842,0.3131,0.1083
2019-12-31,1.0839,0.3845,0.633,47.8846,15.7946,15.7946,33.2483,10.6312,8.7661,0.1314,,3.6618,99.679,2.642,4.7891,1.1788,1.6261,51.0176,1.5968,1.0873
2020-12-31,1.0372,0.3804,0.6255,47.401,12.4697,12.4697,34.3994,7.8845,6.4503,0.199,,5.9839,60.9972,2.9483,5.2391,1.3066,1.8269,49.4246,0.7199,0.7826
