date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2007-12-31,,,,63.5364,13.8879,13.8879,11.2148,12.9121,14.0584,,,,,,,,,,0.7177,0.6651
2008-12-31,1.2542,,,69.0865,2.3263,2.3263,4.3448,4.368,0.2139,1.0637,5.7336,4.5999,79.3504,7.3928,140.8108,3.698,140.8109,0.1262,0.0104,0.0103
2009-12-31,1.8953,,,72.2448,10.0486,10.0486,12.7343,10.9129,20.1944,0.6511,6.571,4.6216,78.9763,42.2451,42.2451,15.5416,42.2451,1.0661,0.2322,0.2149
2010-12-31,1.924,,,73.7582,17.0439,17.0439,21.0616,17.3519,12.7027,0.5953,6.3036,4.4887,81.315,17.7433,17.7433,7.562,17.7433,1.5626,0.1859,0.1969
2011-12-31,1.9619,,,73.7998,20.5048,20.5048,25.0032,21.2357,14.4132,0.5901,6.9911,4.539,80.4139,17.4386,17.4386,8.5052,17.4386,2.3121,0.1501,0.1522
2012-12-31,1.7829,,,72.3746,18.8283,18.8283,23.4243,19.6755,12.5246,0.547,7.0,4.9575,73.6253,13.0811,13.1356,6.8515,13.0811,3.1864,0.2943,0.1837
2013-12-31,1.7807,,,70.6413,11.7163,11.7163,16.1462,12.3422,7.1954,0.5266,3.7114,4.716,77.3966,7.5582,7.6857,3.789,7.5582,3.6262,0.2291,0.1789
2014-12-31,2.0251,,,70.013,7.7008,7.7008,11.6899,7.9896,3.2897,0.5407,3.325,4.17,87.5307,3.7492,3.7808,1.7787,3.7492,4.0612,0.2849,0.1772
2015-12-31,1.8721,,,71.5857,1.474,1.474,5.3428,1.6849,0.7914,0.5637,3.4194,3.8883,93.8705,1.0574,1.0896,0.4461,1.0574,4.4071,0.4429,0.421
2016-12-31,1.8551,,,73.5142,3.3637,3.3637,7.5427,3.3793,2.5247,0.596,3.1603,4.0748,89.5752,3.8439,4.0336,1.5047,3.8439,4.8399,0.3568,0.1877
2017-12-31,1.6713,,,74.2257,7.345,7.345,11.2248,8.2949,2.1005,0.6621,4.9845,4.2932,85.0177,5.3275,5.6222,1.3907,5.3275,3.5104,1.3766,0.9981
2018-12-31,1.7677,,,75.0416,12.989,12.989,21.0795,14.0918,18.5581,0.5863,5.0044,4.0598,89.905,33.1519,35.2563,10.8804,33.1519,5.9494,0.3301,0.7856
2019-12-31,1.902,,,76.6112,16.2275,16.2275,23.7864,17.8456,15.3352,0.5576,4.2909,3.9739,91.8491,24.7095,26.6619,8.5507,24.7095,7.8183,0.9495,0.7269
2020-12-31,1.4979,,,78.0296,20.498,20.498,28.496,20.8796,18.829,0.6415,4.0773,3.6033,101.2951,57.0678,66.7897,12.0781,57.0678,5.2677,1.845,1.6211
