date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.8455,0.66,3.3876,56.2279,31.8626,31.8626,37.6036,15.5059,12.2419,0.2028,5.7078,0.4311,846.6835,15.87,62.6024,2.5774,5.3956,10.43,3.5521,2.8224
2006-12-31,1.9728,0.7005,3.881,55.9452,32.5293,32.5293,38.109,15.3647,13.685,0.2176,6.656,0.4231,862.7378,17.3475,71.1307,2.7766,5.1964,10.85,0.5258,0.6613
2007-12-31,1.9932,0.7341,4.4489,57.6058,34.3154,34.3154,40.2724,15.9594,12.8751,0.2168,5.6699,0.4157,877.957,20.226,127.7143,2.9375,5.3784,11.5703,1.2135,1.164
2008-12-31,2.2985,0.7397,4.2857,53.8652,30.8259,30.8259,37.1487,10.8877,9.5467,0.2276,6.1264,0.4539,804.0851,16.4314,110.6186,2.34,4.2771,10.7823,0.5783,0.9923
2009-12-31,2.7458,0.7287,3.7243,50.8405,26.6534,26.6534,33.528,6.387,6.9445,0.1975,6.3336,0.4416,826.6279,8.7952,22.7825,1.4076,2.3858,11.7355,2.5179,2.2204
2010-12-31,2.9583,0.7025,3.3115,52.0529,26.6242,26.6242,33.1671,9.4854,7.5846,0.2,6.2218,0.4543,803.3822,10.5863,26.381,1.7582,3.1491,11.6998,1.0828,1.0433
2011-12-31,2.4931,0.6733,3.2257,53.4072,28.267,28.267,34.399,13.7565,8.9531,0.204,4.9506,0.4759,767.045,12.2014,43.1028,2.007,3.9863,11.1732,0.2419,0.6366
2012-12-31,2.9431,0.6476,2.6269,49.3401,24.8677,24.8677,31.1343,11.8493,9.2996,0.2141,4.8335,0.5147,709.1875,11.5568,34.2286,2.1674,4.0726,12.3462,0.1753,0.3837
2013-12-31,3.4309,0.6184,2.19,29.4971,12.9198,12.9198,17.5134,8.0357,11.5299,0.1725,4.6084,0.4157,878.1079,5.7617,17.5817,1.2003,2.1986,13.5955,0.1949,0.2585
2014-12-31,1.488,0.5769,1.8784,28.5705,13.2416,13.2416,17.4683,8.758,12.9992,0.1789,4.732,2.7288,133.7571,6.9355,13.4717,1.449,2.9342,13.6052,0.0337,0.0573
2015-12-31,1.6257,0.5909,1.9425,29.5546,12.1429,12.1429,16.272,6.9736,5.2349,0.2381,3.6728,2.5599,142.5846,1.6978,10.11,0.3448,0.6945,10.6765,0.7513,0.7635
2016-12-31,1.9252,0.5756,1.7524,26.632,10.9476,10.9476,16.8655,5.8852,5.7295,0.3271,3.9211,2.8269,129.1183,10.5377,87.0191,2.2359,4.4722,8.8636,1.8588,1.7346
2017-12-31,1.8025,0.5963,1.8043,23.858,5.8613,5.8613,12.1002,11.4274,8.9848,0.2689,3.8927,2.4306,150.1706,11.6146,27.7657,2.3117,4.6882,8.467,0.6274,0.8034
2018-12-31,1.7853,0.6334,1.976,28.4594,13.3994,13.3994,6.6146,21.6334,23.5043,0.3119,5.0281,3.29,110.9425,40.9511,395.5714,6.7766,15.011,5.9158,0.1817,0.3453
2019-12-31,1.3072,0.6925,3.0435,29.7257,9.7591,9.7591,15.6353,1.2068,5.7124,0.3591,3.8868,4.695,77.7428,1.4168,5.6205,0.1595,0.4356,3.4172,0.4327,0.4842
2020-12-31,1.5768,0.6547,2.0248,24.1123,2.4002,2.4002,9.9587,6.5273,6.5688,0.3141,3.8025,3.7403,97.5867,15.3016,319.3694,2.2379,5.2831,4.2294,0.5946,0.5382
