date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,6.6476,0.0736,0.0994,87.1659,54.6769,54.6769,56.4407,57.2763,40.1259,0.5386,1.2002,5.1206,71.2806,26.8816,26.8816,21.6104,24.9023,1.6465,0.372,0.3467
2006-12-31,3.1784,0.4339,0.7769,85.6808,25.0733,25.0733,23.5108,21.0898,39.3226,0.7406,0.7681,4.9664,73.4936,65.5365,65.5365,29.1229,37.0985,0.9844,0.2913,0.2593
2007-12-31,4.113,0.2749,0.3792,81.8259,51.1698,51.1698,53.566,52.2725,37.4677,0.725,1.2814,5.32,68.6095,45.5433,45.5433,27.0072,33.0245,1.8553,0.2021,0.2186
2008-12-31,3.504,0.2004,0.252,78.8737,50.1999,50.1999,53.1163,50.0904,37.0876,0.7692,1.2149,5.2138,70.007,44.1227,45.3725,28.404,35.2786,2.4541,0.2523,0.2331
2009-12-31,2.5713,0.1548,0.184,77.2433,50.3356,50.3356,53.3727,49.9467,37.5925,0.7229,1.517,5.0459,72.3367,40.3617,52.7187,27.072,34.114,3.615,0.531,0.4678
2010-12-31,2.3157,0.3189,0.5737,76.4778,49.8429,49.8429,53.1825,49.2306,36.4965,0.6857,1.5533,4.9011,74.4731,47.204,61.5332,24.9275,32.1519,3.8166,0.0263,0.0614
2011-12-31,5.5348,0.5303,1.1293,74.6653,45.1958,45.1958,48.8001,43.5401,33.4348,0.4846,1.5284,4.2976,84.9306,40.6133,58.1007,16.1188,19.0759,4.5594,0.6804,0.6325
2012-12-31,1.4527,0.4338,0.8887,74.531,41.3317,41.3317,44.1971,37.2294,26.7161,0.4568,1.4161,5.5396,65.8892,26.9706,79.1126,12.1187,15.2711,6.2822,0.2845,0.4519
2013-12-31,1.0921,0.2542,0.5705,74.4778,40.3857,40.3857,43.4655,37.5647,27.4505,0.4961,1.6847,5.1338,71.0971,26.0281,230.8912,13.5391,19.412,7.6565,0.1864,0.0477
2014-12-31,3.0748,0.4418,0.8221,84.781,61.3299,61.3299,65.5484,59.6866,48.6179,0.718,2.733,5.37,67.9701,76.2311,337.4091,34.7883,42.5497,10.553,5.9507,5.7246
2015-12-31,2.5037,0.529,1.1747,87.7263,67.9954,67.9954,71.3594,66.3593,55.4796,0.6311,2.0491,5.5755,65.4649,94.7313,235.3262,35.0104,44.6147,13.4409,6.1885,6.0356
2016-12-31,2.125,0.5791,1.376,85.9789,58.0224,58.0224,61.8328,56.2586,44.4258,0.5334,2.6849,6.7324,54.2155,69.6586,146.2907,23.6727,29.3179,14.7809,1.4181,1.4778
2017-12-31,2.7351,0.6046,1.6633,83.2574,54.1004,54.1004,59.0263,51.8214,17.7271,0.3715,5.4569,6.7793,53.8405,22.6526,612.6649,6.6076,8.9559,15.6736,3.5325,3.429
2018-12-31,3.3792,0.5433,1.3171,78.0675,37.0588,37.0588,43.517,35.2465,24.6531,0.3475,5.9619,6.6507,54.8811,25.3553,325.1936,8.5748,11.5806,16.7972,2.5985,2.8576
2019-12-31,3.1044,0.505,1.1303,79.175,19.0966,19.0966,25.3508,22.9854,23.9922,0.3643,5.0705,6.2672,58.24,23.6821,112.9977,8.704,11.7238,17.891,0.7385,0.7989
2020-12-31,1.4035,0.6496,2.0048,81.4816,16.4891,16.4891,22.4837,6.7601,0.4982,0.3609,2.7166,5.0468,72.3229,0.4884,0.3867,0.1301,0.1712,14.5303,0.6934,0.562
