date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2007-12-31,2.2996,0.7169,2.551,39.9991,17.0659,17.0659,27.5045,1.8508,15.0062,0.2911,3.4158,12.1996,29.919,4.0259,0.8971,0.5089,0.5437,84296.66,1674.478,1103.391
2008-12-31,2.1487,0.9712,34.006,35.1828,89.2155,89.2155,22.6147,96.748,112.7263,0.433,3.0021,8.6688,42.1051,68.62,60.1551,41.9205,48.1474,16628.5,1281.2472,906.0833
2009-12-31,2.6143,0.886,8.0621,40.0936,16.7467,16.7467,31.5897,7.3768,12.1185,0.4399,2.8488,10.8673,33.5869,5.7962,5.5908,3.2197,3.6246,67695.5,2476.2692,2500.8073
2010-12-31,3.1438,0.5984,1.4901,40.0346,15.2301,15.2301,25.6671,9.6512,16.5214,0.49,2.7964,9.3878,38.8801,12.9035,13.7308,4.704,5.1819,6.5319,2867.5724,2696.3482
2011-12-31,2.3173,0.4279,0.7776,37.2049,14.2657,14.2657,21.6029,10.9809,40.9915,0.51,3.0675,7.2191,50.56,42.2224,380.3443,20.907,24.157,11.3652,0.5756,0.5588
2012-12-31,1.7722,0.6328,1.9279,37.4392,19.0048,19.0048,24.1056,13.2918,7.9251,0.7334,3.2589,8.7148,41.8828,20.1073,25.7484,5.8125,7.3831,6.7885,0.9017,0.757
2013-12-31,2.6079,0.7875,3.7764,38.3345,23.6555,23.6555,26.612,18.7591,11.7474,0.8262,3.0514,9.0097,40.5118,55.0473,30.4053,9.7063,11.695,4.6218,0.3263,0.2081
2014-12-31,3.0371,0.6884,2.2214,35.3352,20.0815,20.0815,22.9116,17.6849,11.9523,0.776,2.9579,7.7254,47.247,35.6499,40.5469,9.2754,11.1084,7.1064,0.1259,0.1742
2015-12-31,2.9641,0.69,2.2461,34.9162,13.631,13.631,17.1049,9.336,5.902,0.7406,2.635,7.2306,50.4802,16.6885,16.8737,4.3712,5.1728,7.057,0.8796,0.8322
2016-12-31,1.9989,0.7151,2.625,35.3945,14.0047,14.0047,18.0357,10.6163,6.6479,0.7777,2.6744,5.9859,60.9762,24.2272,17.3936,5.2199,6.9025,6.3976,0.9622,0.9584
2017-12-31,2.08,0.6206,1.6754,34.8217,14.9243,14.9243,18.2293,12.1295,9.451,0.8289,2.828,6.0129,60.7028,28.7843,39.5955,7.8756,10.9221,8.8875,0.4199,0.3354
2018-12-31,1.9989,0.5352,1.2137,35.8316,17.652,17.652,20.2296,15.3734,10.8866,0.834,2.3835,6.2044,58.8291,31.6869,96.5328,9.9418,14.7296,12.2509,0.1352,0.3669
2019-12-31,2.4058,0.4479,0.8703,36.1901,16.8832,16.8832,19.8601,14.499,11.4892,0.8269,2.6945,6.8985,52.91,24.4283,359.5815,9.4651,13.488,16.5085,0.9409,0.7366
2020-12-31,2.6028,0.3771,0.6367,38.5343,19.2784,19.2784,22.1502,17.9539,14.0564,0.7681,2.5319,6.6289,55.0622,24.9761,142.9156,10.7318,15.5566,22.119,2.7198,2.7136
