date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,4.0984,,,52.0611,32.9032,32.9032,37.145,36.2532,30.2809,0.7545,2.4655,6.0105,60.7273,26.8927,27.7528,22.8462,26.8927,5.3544,1.1318,1.0075
2006-12-31,3.4621,0.0002,0.0002,49.7399,31.2604,31.2604,33.7674,33.5149,28.981,0.9352,3.29,4.3963,83.025,33.0011,34.4975,27.1016,32.9958,7.2093,0.5217,0.2218
2007-12-31,2.9091,,,46.0097,28.5302,28.5302,30.5437,30.7602,26.8844,0.9662,3.397,3.3389,109.3184,36.3739,39.6834,25.9767,36.3739,10.8333,1.4487,1.1599
2008-12-31,4.1413,,,44.4614,24.6708,24.6708,26.9151,26.169,20.974,1.1907,4.5627,4.7133,77.4402,32.9244,36.7361,24.9742,32.9244,11.1091,0.9901,1.1354
2009-12-31,3.4935,,,49.0121,26.6766,26.6766,29.9513,27.445,23.8915,0.7697,4.8472,3.3708,108.2833,24.818,26.8398,18.3891,24.818,14.1628,1.3484,1.6715
2010-12-31,3.7349,,,50.0527,23.669,23.669,27.1878,21.4606,21.7332,0.6744,3.4665,3.5998,101.3959,19.1701,20.4092,14.6565,19.1701,15.6904,1.5488,1.4662
2011-12-31,3.0,,,48.5249,20.0744,20.0744,23.5014,21.1762,18.8828,0.6169,3.5701,4.5412,80.3747,15.9952,17.3059,11.6497,15.9952,16.7293,0.3275,0.3138
2012-12-31,2.7899,,,52.9695,22.2471,22.2471,25.5784,22.9972,19.9731,0.5635,3.2754,4.4986,81.1366,15.3577,16.4404,11.2552,15.3577,18.057,0.7296,0.746
2013-12-31,2.8671,,,53.4719,21.811,21.811,24.8052,24.8326,23.2693,0.5394,3.2037,4.6616,78.3,16.7339,17.8016,12.5505,16.7339,18.7533,0.2806,0.3697
2014-12-31,2.4301,,,55.89,24.0581,24.0581,26.7409,25.2118,12.6874,0.6116,3.0115,5.0346,72.499,10.7015,11.4342,7.7602,10.7015,17.743,0.5171,0.6098
2015-12-31,2.5532,,,54.5588,19.4868,19.4868,22.2653,20.1111,16.1767,0.6268,2.5603,5.3064,68.7844,13.6386,14.719,10.1398,13.6386,17.6317,1.2245,1.2309
2016-12-31,2.8912,,,55.4379,20.7783,20.7783,23.613,20.9674,16.998,0.6731,2.7995,5.7788,63.1617,15.147,16.631,11.4411,15.147,18.1264,2.2594,2.1629
2017-12-31,2.9619,,,57.5975,21.9005,21.9005,24.6636,22.3309,22.7132,0.6308,2.557,5.2829,69.0911,18.4042,20.595,14.3283,18.4042,20.471,0.2255,0.487
2018-12-31,2.893,,,59.1412,23.2519,23.2519,26.1255,24.5933,20.7346,0.6219,2.4344,5.8744,62.1337,16.6727,18.5291,12.8943,16.6727,21.9727,1.3449,1.2707
2019-12-31,2.9518,,,59.4537,25.1653,25.1653,27.9909,26.2733,25.3489,0.6093,2.0235,5.3165,68.6542,19.8704,23.041,15.4454,19.8704,25.1382,1.1871,0.9902
2020-12-31,3.1518,,,59.2689,25.1815,25.1815,28.2082,26.3559,23.7025,0.5954,2.2376,4.9285,74.0597,17.9895,21.1694,14.1128,17.9895,28.7941,2.2568,1.9165
