date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.0096,0.2233,0.3151,58.3411,10.057,10.057,15.8909,10.0696,6.8685,0.9353,7.1699,5.9011,61.8532,12.3051,32.983,6.4243,9.5568,9.6852,2.5154,2.3254
2006-12-31,1.8968,0.2435,0.3287,58.6263,11.9424,11.9424,16.5976,10.8354,7.2999,1.0176,6.4124,5.6652,64.4284,14.9591,42.9451,7.4285,11.3171,9.5747,0.7443,1.0078
2007-12-31,2.1272,0.3388,0.6175,58.916,13.5334,13.5334,17.612,12.0489,8.6775,1.1855,6.0854,5.8608,62.2787,24.0419,77.8621,10.2872,15.8965,9.5387,1.7439,1.6628
2008-12-31,2.1428,0.3379,0.5158,57.9083,12.2913,12.2913,16.4225,10.9674,7.6281,1.2691,5.6337,6.5736,55.5249,22.057,88.1823,9.6808,14.6044,9.9892,0.3063,0.0863
2009-12-31,2.5065,0.4151,0.7187,58.7916,14.4692,14.4692,18.9177,13.0212,9.2167,1.0439,8.0634,3.916,93.2074,23.5099,66.4447,9.6213,13.75,11.6324,2.0827,2.0097
2010-12-31,3.0899,0.4639,0.8742,57.7714,14.6885,14.6885,18.8962,12.6862,9.9384,0.9778,4.6405,4.1635,87.6669,24.6222,62.1478,9.7173,13.2008,11.7557,0.7875,0.6962
2011-12-31,2.3916,0.497,1.1155,57.1526,13.86,13.86,18.4396,11.3495,8.9922,1.0375,5.4979,4.1423,88.1143,27.1861,81.0565,9.3292,13.6733,11.0198,0.4335,0.4637
2012-12-31,2.6115,0.4809,1.0752,59.1101,13.4944,13.4944,18.1921,11.0884,8.2172,0.9453,5.2903,3.97,91.9385,22.2903,54.5634,7.7681,11.571,11.6906,1.0942,0.9872
2013-12-31,1.8195,0.3633,0.8302,59.0192,11.4423,11.4423,17.0441,8.6185,7.011,0.9273,4.7962,3.7327,97.7844,16.8769,39.8762,6.4496,10.7457,12.837,1.01,1.0104
2014-12-31,2.4667,0.5133,1.227,60.2925,14.8549,14.8549,19.649,12.6248,9.7243,0.9467,5.0015,3.9073,93.4151,28.1995,75.4631,9.1479,13.7243,11.7699,0.4547,0.4319
2015-12-31,2.6916,0.4818,1.0287,62.2928,15.5578,15.5578,20.0047,13.5787,10.1594,0.9421,4.3617,3.6519,99.947,26.8569,56.5375,9.4662,13.9168,13.333,1.0115,0.7634
2016-12-31,1.995,0.3915,0.9239,62.041,15.6987,15.6987,19.4917,13.7951,10.9841,0.9859,4.9151,3.803,95.9768,28.6219,50.9591,10.4717,17.4152,14.9633,1.9273,1.8282
2017-12-31,2.9032,0.4807,1.0102,60.964,15.5546,15.5546,19.54,15.0899,7.6127,0.9848,4.6936,3.707,98.463,21.673,38.1532,7.4973,11.2558,14.7044,0.7349,0.5766
2018-12-31,2.4189,0.4914,0.9717,59.5891,7.2288,7.2288,12.5385,5.9044,4.8133,0.8702,4.174,3.8548,94.6883,12.564,38.3522,4.1884,6.3902,13.9103,0.5808,0.6323
2019-12-31,5.3676,0.5746,1.351,61.7,13.814,13.814,19.4572,12.5886,11.026,0.533,4.0525,3.3463,109.0769,17.3744,28.0623,5.8771,7.3907,21.8871,0.0154,0.053
2020-12-31,1.6005,0.6134,1.7364,68.5499,9.1816,9.1816,22.4206,5.8927,4.0714,0.5052,4.3447,3.9271,92.944,7.6766,9.8626,2.0839,2.9676,21.388,2.0069,2.1356
