date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5737,2.5363,,,,,35.9176,27.2296,0.0462,,,,16.113,17.6106,1.2577,6.869,11.412,2.8898,2.6444
2006-12-31,,0.5384,2.0531,,,,,33.9302,30.4425,0.0429,,,,15.301,19.3468,1.3055,7.063,12.8011,1.9542,1.9056
2007-12-31,,0.3942,1.6471,,,,,1.6968,5.6328,0.0244,,,,1.2635,3.0534,0.1374,0.7654,16.2429,2.0652,2.2291
2008-12-31,,0.372,1.1315,,,,,25.0564,13.5611,0.0217,,,,2.1267,2.9814,0.2094,0.9887,19.748,4.5088,4.7058
2009-12-31,,0.4051,0.8769,,,,,1035.35,920.1528,0.0069,,,,84.8072,67.2263,6.0017,34.4959,7.455,0.3112,0.3825
2010-12-31,,0.4223,1.1755,,,,,17.3885,6.9253,0.0376,,,,6.7636,7.251,0.5804,3.6227,5.7691,2.5378,2.5389
2011-12-31,,0.3354,0.8377,,,,,29.0358,21.0122,0.0447,,,,10.7837,11.3079,0.9965,6.6554,6.268,0.6855,0.6133
2012-12-31,,0.1897,0.5103,,,,,31.2266,22.4503,0.0475,,,,11.6821,12.1081,1.1242,8.8341,6.8701,0.6774,0.6619
2013-12-31,,0.2876,0.7899,,,,,33.0733,23.2002,0.0442,,,,11.243,11.549,1.0784,7.5018,7.329,0.0399,0.069
2014-12-31,,0.4066,1.064,,,,,31.184,21.9549,0.0413,,,,10.643,11.0347,0.9539,5.9301,7.7985,0.1337,0.0833
2015-12-31,,0.5164,1.161,,,,,31.6263,22.872,0.0407,,,,11.1625,12.2146,0.9758,5.0821,8.2958,0.1973,0.1542
2016-12-31,,0.4463,1.1643,,,,,27.6442,19.4411,0.0334,,,,7.7081,9.2624,0.714,3.8245,9.4944,0.0582,0.0414
2017-12-31,,0.4598,1.3188,,,,,33.9338,27.0205,0.0394,,,,12.1728,14.3985,1.1384,5.9241,10.0874,0.3974,0.3572
2018-12-31,,0.4372,0.9586,,,,,38.0819,30.9474,0.0393,,,,14.0721,16.2392,1.2806,7.0614,10.606,0.1592,0.0879
2019-12-31,,0.455,1.056,,,,,37.8767,30.5251,0.0402,,,,13.3214,15.1233,1.2945,6.5191,11.5637,0.0702,0.072
2020-12-31,,0.3913,0.6569,,,,,25.803,19.0337,0.0306,,,,7.5634,7.7258,0.664,3.8276,12.7733,0.2093,0.2232
