date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3389,0.6703,2.154,83.1282,11.8953,11.8953,17.5138,8.808,5.8229,1.1003,6.6981,7.3394,49.7314,29.2823,63.6567,6.4072,9.6529,11.6475,,
2006-12-31,1.6997,1.6794,2.4976,83.0357,12.0854,12.0854,17.6159,6.5235,4.0664,1.0761,6.4604,6.8764,53.0802,9.1085,7.4132,4.3759,6.1884,123.3382,,
2007-12-31,1.6121,1.6401,2.5914,83.6362,11.7879,11.7879,17.3877,5.2052,3.2542,1.1179,6.1901,6.8955,52.933,10.2676,8.2175,4.5036,6.5727,111.8897,,
2008-12-31,1.6115,1.5345,2.9146,83.7175,11.1299,11.1299,16.3988,4.1235,2.3719,1.1686,6.2687,7.5063,48.6255,9.7408,7.6182,3.715,5.2063,98.1265,20.8011,4.0766
2009-12-31,1.5249,1.4736,3.2176,81.8195,15.1143,15.1143,20.735,7.4768,3.9364,1.1096,6.0698,7.2524,50.3279,17.2349,13.027,5.6981,8.1622,84.3011,14.4456,0.7682
2010-12-31,1.6208,1.641,2.6149,82.3043,15.8623,15.8623,21.2199,7.9579,4.3053,1.1754,5.5307,7.316,49.8905,14.5729,11.6631,6.5948,9.3414,25.2515,0.6984,0.7159
2011-12-31,1.3023,1.3765,3.8569,82.5517,15.4841,15.4841,20.6556,11.9972,8.3047,1.1035,4.9137,6.548,55.7424,40.519,23.1716,10.5658,15.2542,16.0328,0.8764,0.5206
2012-12-31,1.2578,1.4355,3.4684,82.6826,14.6972,14.6972,19.9709,8.7662,4.8617,1.1759,5.2643,7.0661,51.6548,24.0499,14.4525,7.1451,10.473,18.8199,1.1576,0.4899
2013-12-31,1.4112,1.3353,4.0958,82.5347,14.1039,14.1039,19.3933,8.6186,4.5521,1.1856,5.0636,6.5634,55.6117,28.8106,15.5561,6.9231,9.6602,15.7596,1.121,1.2744
2014-12-31,1.6296,1.2876,4.5285,83.0381,15.1904,15.1904,20.234,9.429,5.0788,1.1917,4.896,6.4837,56.2953,36.5189,18.3754,7.6598,10.5047,15.4538,1.9098,1.2845
2015-12-31,1.6737,1.2497,5.0427,83.2703,15.1495,15.1495,20.0363,9.9728,5.3657,1.2118,4.6129,6.7376,54.1732,44.5915,21.1004,8.2336,11.1364,15.1628,1.2172,0.4833
2016-12-31,1.5574,1.2207,5.57,83.29,15.0687,15.0687,19.8891,11.5932,6.9655,1.229,4.6128,7.1215,51.2531,60.9267,27.8188,10.1665,13.4446,15.2023,3.1867,1.7801
2017-12-31,1.6202,1.1793,6.6182,83.2256,13.9909,13.9909,18.948,10.0449,5.0809,1.1919,4.651,6.7088,54.406,54.9149,22.1406,7.496,9.8446,14.2677,0.2968,0.831
2018-12-31,1.3493,1.1002,11.2478,83.4522,14.2918,14.2918,19.2386,11.4296,8.1132,1.1905,4.4596,6.8754,53.0879,150.4112,40.3735,11.1944,15.0747,8.5099,4.4514,2.4953
2019-12-31,1.4433,1.0171,59.685,83.4794,14.1441,14.1441,19.2594,10.2151,6.8276,1.1393,4.5868,6.9561,52.472,733.6283,46.921,9.1993,12.556,1.6694,2.8019,0.9175
2020-12-31,1.4169,0.9142,10.7206,83.7599,14.1967,14.1967,19.5351,10.5369,7.2847,1.0851,4.1328,7.3086,49.9411,151.6943,77.1544,9.2377,13.0228,8.5203,5.0374,8.7272
