date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.209,0.3111,,11.9522,11.9522,10.4715,11.0217,8.3964,0.0948,,,,14.8385,16.7144,0.7963,11.738,50.7195,12.212,11.5216
2006-12-31,,0.1662,0.231,,14.6377,14.6377,14.9094,13.5925,10.3585,0.0812,,,,14.5423,15.9974,0.8406,12.1256,58.3827,5.6354,5.7085
2007-12-31,,0.1706,0.2768,,16.4686,16.4686,14.8827,15.4538,11.3791,0.0719,,,,15.3562,16.8726,0.8183,12.7359,61.19,0.9273,1.5446
2008-12-31,,0.429,0.7939,,46.0788,46.0788,27.6169,49.7993,29.9056,0.0321,,,,29.3697,33.1205,0.9559,16.7694,31.1399,5.1066,5.1066
2009-12-31,,0.2704,0.3898,,5.0956,5.0956,2.7463,7.0438,4.1501,0.0794,,,,5.9127,5.2906,0.287,3.6003,46.7198,5.0802,5.0802
2010-12-31,,0.2449,0.3441,,12.6083,12.6083,15.9146,10.3043,5.0841,0.0693,,,,8.6054,8.8266,0.534,6.3197,45.689,1.7156,1.7156
2011-12-31,,0.2331,0.3039,,3.2577,3.2577,9.9112,0.9203,3.0829,0.0718,,,,2.7377,2.7979,0.1894,2.0453,48.5517,2.115,2.115
2012-12-31,,0.2369,0.3246,,8.1998,8.1998,19.3154,0.403,0.3622,0.074,,,,1.005,1.0095,0.0737,0.7479,51.4478,0.9972,0.8555
2013-12-31,,0.2441,0.3462,,17.6801,17.6801,25.2261,7.1156,0.803,0.0744,,,,6.4798,6.6551,0.4408,4.8978,41.7062,3.2331,3.2218
2014-12-31,,0.2319,0.3263,,11.024,11.024,14.4676,9.1275,4.2871,0.076,,,,7.2062,7.4031,0.5506,5.5348,44.1077,1.5768,1.4443
2015-12-31,,0.2237,0.3038,,11.5334,11.5334,14.5652,9.2392,10.5145,0.0701,,,,6.7396,6.9354,0.5207,5.2319,43.9051,2.3835,1.9243
2016-12-31,,0.21,0.2905,,8.741,8.741,12.0005,2.7438,5.5,0.0725,,,,3.6266,3.7626,0.273,2.8649,45.2014,1.2487,1.0939
2017-12-31,,0.2574,0.3704,,6.0541,6.0541,8.5771,4.2128,18.2438,0.0762,,,,1.9416,2.2694,0.1163,1.4418,37.8158,0.7774,0.6574
2018-12-31,,0.2456,0.3571,,10.852,10.852,13.5162,9.2482,9.5015,0.3042,,,,11.6316,13.3136,2.3834,8.5512,36.4777,1.7979,2.1501
2019-12-31,,0.2109,0.298,,14.4648,14.4648,16.5767,12.3433,9.9518,0.2929,,,,13.0836,15.692,2.9442,10.1125,45.2485,1.7532,1.8006
2020-12-31,,0.19,0.2345,,11.9866,11.9866,14.9199,10.3299,8.3614,0.2769,,,,9.5324,11.0672,2.3438,7.5825,51.7617,1.1734,1.145
