date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.4178,0.5664,1.3063,37.5704,17.309,17.309,17.309,14.3791,10.3674,0.5075,12.6484,14.2212,25.666,41.9556,16.7912,5.3986,7.2806,,,
2006-12-31,0.7738,0.6508,1.8637,31.4261,14.9106,14.9106,14.9106,10.2671,7.0081,0.4952,13.0163,12.3854,29.4701,34.8166,15.5353,3.5131,5.4249,,,
2010-12-31,,,,54.8463,6.8542,6.8542,14.353,5.1934,1.5865,,,,,,,,,,,
2011-12-31,1.3743,0.9037,9.6081,55.8124,11.101,11.101,17.5908,2.2316,2.8806,0.3216,7.0308,11.8529,30.7942,14.9824,2.4998,0.9337,1.443,,3.8017,2.7462
2012-12-31,1.2035,0.8757,7.2343,57.0073,11.8586,11.8586,17.7339,6.1772,3.7947,0.3427,9.6096,11.0692,32.9743,16.6589,3.6577,1.3264,2.0706,7.024,0.1857,0.5408
2013-12-31,1.1125,0.7332,2.7603,60.1746,11.32,11.32,17.7709,7.17,4.263,0.3665,9.7904,10.5016,34.7566,10.7577,5.9678,1.7318,2.8702,13.0298,3.2135,3.7985
2014-12-31,1.1072,0.6962,2.3207,61.7311,15.9303,15.9303,22.3862,10.9217,6.4083,0.402,9.948,9.5127,38.3698,14.4675,9.6369,2.6105,4.3952,14.3643,2.8569,2.7121
2015-12-31,1.0581,0.6327,1.7565,80.1766,12.6174,12.6174,22.8515,7.4723,19.6832,0.2784,3.1991,6.4728,56.39,14.8042,16.1919,3.4385,5.4383,18.0797,0.4092,6.8324
2016-12-31,1.3253,0.5295,1.1311,80.5505,13.1995,13.1995,24.1636,8.2117,5.1399,0.2509,,8.5625,42.6277,0.2906,0.3645,0.0649,0.1367,17.7597,0.4,7.106
2017-12-31,0.8152,0.795,3.9042,84.3931,13.922,13.922,18.4479,9.2609,13.3317,0.5715,,7.8108,46.7304,64.3998,12.3441,7.6539,13.2048,5.3273,1.3855,0.5992
2018-12-31,0.7583,0.9287,13.0502,85.0438,16.0791,16.0791,20.2111,12.1042,8.5785,0.6364,,7.7443,47.1312,137.8136,7.7787,5.4948,9.8287,1.8927,1.5185,1.4597
2019-12-31,0.729,1.0631,16.9343,86.733,17.5307,17.5307,21.6674,13.1612,9.3208,0.6319,,7.4956,48.695,187.7119,8.1069,5.9236,11.8386,1.6918,0.6576,1.0282
2020-12-31,1.7285,1.1661,7.0572,85.6048,9.7051,9.7051,0.9519,21.4535,16.6009,0.2571,,5.5863,65.339,48.4522,6.1271,4.2972,8.0492,5.3532,2.2348,2.5341
