date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,4.0957,,,38.9712,11.3427,11.3427,13.9754,12.0601,9.8219,1.028,3.9436,4.9822,73.2604,12.9714,13.6908,10.0972,12.9714,2.4589,0.5006,0.4153
2006-09-30,1.7416,0.0101,0.1058,41.7794,10.8799,10.8799,14.3667,11.5032,5.927,0.5404,2.8817,4.2617,85.6458,4.5271,25.9707,3.2029,4.4815,5.763,0.3308,0.3791
2007-09-30,2.2349,0.0113,0.0139,46.7692,20.0106,20.0106,24.231,20.1104,12.8091,0.6924,3.733,4.8321,75.5361,11.7383,42.2536,8.8693,11.6055,7.319,1.2338,1.1721
2008-09-30,2.0347,0.3178,0.4741,53.3006,11.7971,11.7971,1.4686,19.5445,24.8187,0.2058,4.477,4.9381,73.9147,8.9523,17.0471,5.1089,6.1074,18.1226,0.069,0.0564
2009-09-30,2.486,0.3571,0.5694,52.3773,123.1832,123.1832,36.4828,131.5793,135.3977,0.288,4.3341,6.2153,58.7259,81.3155,122.7682,38.9964,52.2811,10.5771,0.6731,0.7668
2010-09-30,2.4867,0.3491,0.5367,43.8592,4.164,4.164,26.2825,3.2741,3.7399,0.2985,4.8987,5.8511,62.381,2.3277,4.1075,1.1165,1.5152,10.4083,0.3806,0.3339
2011-09-30,2.636,0.3364,0.5069,51.5931,20.9263,20.9263,37.9569,12.7078,8.7825,0.2978,3.7571,5.4419,67.0722,5.3509,10.8811,2.6153,3.551,11.1993,0.0397,0.07
2012-09-30,2.3634,0.6267,1.7006,49.6555,5.6776,5.6776,23.2348,3.081,3.6752,0.1911,2.7457,4.1792,87.3365,2.4856,1.3931,0.7025,0.9279,11.1562,0.3233,0.4108
2013-09-30,1.4923,0.686,2.4754,46.5995,36.36,36.36,29.1779,47.8634,47.0569,0.2769,4.5988,5.4896,66.4888,60.4069,24.5371,13.03,18.9663,7.1427,0.4356,0.3984
2014-09-30,2.5271,0.6681,2.0687,49.2156,11.0523,11.0523,31.7264,1.9007,0.6836,0.3007,3.8875,6.0485,60.3454,0.8386,0.4137,0.2056,0.2783,7.4216,0.0113,0.0722
2015-09-30,1.3417,0.6077,1.7373,52.9649,16.8244,16.8244,34.9908,6.5508,4.8651,0.3539,4.4942,6.1786,59.0747,6.3294,3.5073,1.722,2.4829,7.3601,0.9256,0.8686
2016-09-30,1.4709,0.5873,1.5613,55.1876,19.3667,19.3667,35.7962,14.6609,11.6779,0.3871,4.621,6.1063,59.7746,15.4385,10.0127,4.521,6.3712,7.7152,0.0374,0.0159
2017-09-30,0.7926,0.4408,1.202,52.9946,44.7953,44.7953,59.4808,40.2282,24.6992,0.3833,4.3359,5.5024,66.3343,27.1304,23.9173,9.4679,15.1722,10.1154,2.7603,2.8067
2018-09-30,1.2286,0.5288,1.3698,52.7269,7.393,7.393,7.5329,13.0085,3.4588,0.445,3.9604,5.2675,69.2932,4.5825,4.4467,1.5392,2.1594,8.9926,2.635,2.6278
2019-09-30,1.6756,0.5698,1.4539,34.7727,3.6765,3.6765,10.0763,7.653,6.0464,0.5227,4.9368,4.9258,74.0991,9.6233,10.672,3.1605,4.1395,7.9037,0.2533,0.2744
2020-09-30,1.7932,0.5022,1.1296,58.9848,29.2607,29.2607,39.2172,26.5306,29.5308,0.5248,3.9203,3.5369,103.1963,41.0187,88.268,15.4326,20.4189,10.5139,0.9775,0.7915
