date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1469,0.2226,0.4744,22.1612,8.7552,8.7552,11.1167,8.3032,5.9236,0.8742,6.3287,5.5117,66.2232,14.5326,81.0783,4.9442,11.2973,12.9744,2.8651,2.1459
2006-12-31,1.214,0.2868,0.5209,23.1804,9.7587,9.7587,12.29,8.9202,6.6407,1.0138,6.7157,5.4646,66.7931,21.3786,2968.572,6.716,15.2469,12.141,1.021,0.9584
2007-12-31,1.1461,0.3701,0.8303,23.9643,10.7664,10.7664,13.1863,9.6476,7.0658,1.0232,6.8117,5.4155,67.3987,26.6753,169.5383,7.277,16.8021,12.3528,1.1654,1.0831
2008-12-31,1.0793,0.4466,1.1522,14.8758,0.8425,0.8425,3.3127,1.6413,2.2048,1.03,8.0868,5.9644,61.1961,11.3633,15.9367,2.3274,6.289,9.8954,0.0467,0.2068
2009-12-31,1.2502,0.4105,0.848,22.3398,7.9062,7.9062,11.1015,6.5574,5.1684,0.8321,6.7499,4.7738,76.4586,17.0327,41.3308,4.2453,10.0414,11.7391,0.1234,0.4762
2010-12-31,1.3209,0.3479,0.6159,23.5827,9.3076,9.3076,12.3586,8.4142,6.2504,0.8551,6.4681,4.7288,77.1859,18.1422,64.6942,5.1726,11.8305,13.7765,0.1607,0.1097
2011-12-31,1.3144,0.3869,0.693,21.8265,7.0465,7.0465,9.6663,6.2471,5.6585,0.9176,6.697,5.0538,72.2226,17.107,54.3257,4.685,10.4876,14.0725,1.8035,1.9882
2012-12-31,1.349,0.3286,0.5737,24.8878,11.0341,11.0341,13.4926,10.2881,7.7685,0.8999,6.6803,5.07,71.9922,22.434,162.0232,7.0031,15.0617,16.6901,0.8624,0.7529
2013-12-31,1.4924,0.279,0.5022,27.3742,14.0853,14.0853,16.6176,13.8574,10.0474,0.8596,6.607,4.9256,74.1028,22.5383,196.2358,8.7202,16.251,22.4279,0.9959,0.937
2014-12-31,1.5021,0.2537,0.4882,28.1571,14.4668,14.4668,16.7593,14.4346,10.517,0.8868,6.5737,5.0636,72.0836,24.3421,155.2726,9.5245,18.1662,22.7359,0.9512,0.767
2015-12-31,1.0916,0.2317,0.6552,30.6731,17.6978,17.6978,19.9865,17.0706,12.3584,0.7823,6.0514,4.7778,76.3945,26.3167,235.9786,9.8285,20.2194,23.9071,0.604,0.6166
2016-12-31,1.4119,0.3839,0.807,29.5787,15.3962,15.3962,18.0169,16.4165,12.2437,0.7259,6.3392,4.8064,75.9403,24.8069,173.5505,8.9554,15.2826,25.6927,0.0991,0.0544
2017-12-31,1.3786,0.43,1.073,30.5669,15.5499,15.5499,18.3007,17.1461,3.8116,0.6816,6.101,4.5718,79.8364,9.529,25.9987,2.6703,5.4313,22.1934,0.6356,0.7968
2018-12-31,1.2874,0.347,0.8832,30.5153,16.0399,16.0399,18.7096,17.9106,16.1834,0.7236,6.7143,5.5677,65.5572,37.1936,514.5441,11.8187,24.2868,25.1617,0.8175,0.9618
2019-12-31,1.3429,0.3726,0.8554,33.6975,18.663,18.663,21.6269,20.5917,16.7343,0.6256,5.5053,4.8991,74.5034,33.3048,1054.146,10.6171,20.8948,26.3057,0.8996,0.8893
2020-12-31,1.4677,0.4788,1.2582,32.074,17.4526,17.4526,20.5227,18.4208,14.6429,0.5053,4.9385,4.7806,76.3506,27.3468,266.1378,7.5326,14.2535,25.531,0.7152,0.8189
