date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-10-31,1.3774,0.0836,0.1405,23.3644,4.006,4.006,6.7097,4.0867,2.766,1.1213,9.6612,6.9613,52.4328,6.4504,13.9858,3.1015,5.9111,13.104,2.7597,2.2602
2006-10-31,1.3463,0.0613,0.1362,24.2543,7.157,7.157,9.7242,7.8455,6.7621,1.118,8.9583,6.8849,53.015,16.249,34.5504,7.5603,15.2532,13.9619,1.221,1.0263
2007-10-31,1.2074,0.1148,0.2124,24.5508,8.3607,8.3607,10.9545,8.7998,6.9655,1.1757,9.795,6.5477,55.7444,18.8548,57.3142,8.1895,16.69,14.9326,0.4406,0.6565
2008-10-31,0.9771,0.1647,0.4584,24.2177,8.8481,8.8481,11.7215,8.8481,7.0368,1.0444,11.3846,6.1513,59.3367,21.3882,614.6863,7.3493,17.8665,16.1251,2.144,2.0548
2009-10-31,1.2218,0.2554,0.3883,23.6251,8.8484,8.8484,13.0212,8.219,6.6869,0.9978,14.2769,5.9625,61.2157,18.7911,726.0663,6.6725,13.9924,17.2364,0.1942,0.5079
2010-10-31,1.0968,0.2723,0.5469,23.9469,9.1079,9.1079,12.9323,8.7072,6.9514,1.0123,14.824,5.871,62.1699,21.483,157.8559,7.0368,15.6338,18.5032,0.4638,0.6394
2011-10-31,1.0115,0.3664,0.7854,23.4406,7.605,7.605,12.2174,7.0588,5.5594,0.9825,13.0064,5.9499,61.3454,18.1366,43.0161,5.4618,11.4922,19.5902,0.9133,0.7383
2012-10-31,1.0851,0.4883,1.2454,23.2409,9.1868,9.1868,10.031,9.9147,10.5104,1.1065,14.6248,6.1222,59.6188,55.4023,99.2079,11.6303,28.3493,11.6317,0.5843,0.4855
2013-10-31,1.1064,0.3752,0.8167,23.0797,6.3501,6.3501,10.4561,5.7971,4.5531,1.0627,14.2871,5.9042,61.8203,18.4879,77.0378,4.8384,11.5512,14.4948,0.5977,0.8569
2014-10-31,1.1466,0.3716,0.7198,19.8055,7.5127,7.5127,15.163,6.8189,8.8489,0.5489,7.082,3.3765,108.0999,10.7789,47.6222,2.8332,6.7738,14.751,0.4975,0.2288
2015-10-31,1.2274,0.1917,0.3151,19.3129,7.6171,7.6171,15.5082,6.8632,8.8491,0.4815,9.6838,10.6659,34.2212,13.2074,16.5458,3.4786,10.6753,15.6048,2.6235,2.7807
2016-10-31,0.9819,2.3665,1.7519,18.6533,7.3573,7.3573,8.0455,7.7968,5.1743,1.6641,8.7511,11.7253,31.1292,68.5523,28.0307,9.1972,93.6753,2.2716,1.9611,0.4745
2017-10-31,0.9958,2.0207,2.2943,18.3994,6.47,6.47,7.15,6.2932,4.8525,1.5816,7.3415,11.7934,30.9496,74.1197,27.9734,7.6748,75.6514,2.0655,0.2947,0.3439
2018-10-31,0.851,1.1645,9.3693,18.2463,6.5519,6.5519,7.4549,5.1529,9.1103,1.6889,7.8857,11.436,31.9169,833.6463,80.6266,15.3862,137.1171,0.4096,0.6107,0.5775
2019-10-31,0.7977,1.3326,4.306,19.0108,6.5985,6.5985,7.8647,4.294,5.3646,1.7556,8.2989,9.7423,37.4654,264.2079,41.6656,9.4182,87.8729,0.8182,0.2827,0.0713
2020-10-31,0.7875,1.6721,2.7904,18.4272,6.1124,6.1124,7.5054,5.7046,5.0213,1.6331,7.7481,10.5257,34.6769,127.6481,33.039,8.2005,85.7919,1.7086,0.0144,0.0196
