date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-10-31,1.8266,0.1798,0.2261,23.7246,7.8674,7.9694,10.097,7.5125,4.7027,1.9019,7.725,17.9866,20.2928,15.9253,26.6031,8.9442,13.0622,2.8995,0.8127,0.6261
2006-10-31,1.9515,0.1626,0.1944,24.0744,7.8446,7.9238,10.0316,7.4936,4.9802,1.8774,7.6406,16.8038,21.7213,15.8709,25.913,9.35,13.2905,3.2818,0.2275,0.2788
2007-10-31,1.8528,0.1566,0.2229,16.1924,7.8139,7.87,9.9164,7.5865,4.8747,1.8249,8.0224,16.8922,21.6076,16.0173,26.7922,8.8958,13.5088,3.4729,0.011,0.0439
2008-10-31,1.8409,0.1485,0.2242,15.7209,7.6507,7.7598,9.6279,6.8198,4.2266,1.8678,7.2564,16.4349,22.2089,14.3773,23.3329,7.9811,12.2429,3.731,0.101,0.1197
2009-10-31,2.2988,0.1415,0.1648,16.8186,8.2125,8.2859,10.2318,8.0835,5.2469,1.7697,7.5236,17.5499,20.7979,16.2865,25.3778,9.3709,13.9827,3.9753,0.5358,0.5898
2010-10-31,1.6874,,0.1454,17.1554,8.9544,9.1362,10.8755,8.6494,5.4785,1.7812,7.5362,16.4307,22.2145,16.6114,24.4348,9.8615,16.6114,4.5244,0.1342,0.1213
2011-10-31,2.5678,0.0859,0.094,16.898,9.4018,9.7407,11.3134,9.1049,6.0062,1.8601,7.4066,16.2607,22.4468,18.0161,25.2622,11.2901,16.4683,5.0382,0.0051,0.0082
2012-10-31,2.9514,0.0813,0.0885,16.1816,9.2905,9.7606,11.2124,9.2135,6.0754,1.8034,7.2579,15.7224,23.2154,17.8752,24.3827,11.0641,16.4219,5.3697,0.0609,0.0065
2013-10-31,2.6115,0.0701,0.0754,16.1434,9.2096,9.444,10.8706,9.1241,6.0127,1.7803,7.5816,15.8688,23.0011,15.9826,26.4507,10.7829,14.8623,6.2895,0.2173,0.2761
2014-10-31,2.234,0.0647,0.0692,16.7984,9.9999,10.1887,11.5846,9.8983,6.4691,1.7076,7.3503,14.6666,24.8866,16.7779,33.1024,11.1083,15.6918,6.8511,0.2019,0.1052
2015-10-31,1.6993,0.0588,0.1087,19.523,11.5213,11.7792,13.452,11.4115,7.4061,1.5088,7.5058,15.1415,24.106,17.1756,46.604,11.1935,16.1656,7.5725,0.4516,0.4949
2016-10-31,1.9274,0.0532,0.0562,22.6622,13.9018,14.308,15.7041,13.8316,9.3461,1.495,7.472,15.6223,23.3641,20.0053,51.9661,13.9797,18.9415,8.423,0.0836,0.1439
2017-10-31,1.915,0.0482,0.0506,21.7795,13.9268,14.3586,15.7893,13.9476,9.2363,1.3142,7.7858,14.3087,25.509,17.1489,47.2484,12.1433,16.3228,9.348,0.0005,0.0566
2018-10-31,1.8,0.1003,0.1115,20.7368,12.3612,12.979,14.8556,12.375,10.6031,1.1724,7.8526,15.7928,23.1118,18.0663,60.148,12.4361,16.2542,10.4933,0.3654,0.0705
2019-10-31,2.1369,0.0405,0.0422,19.844,12.5958,13.0086,14.7481,12.7374,10.3061,1.1712,7.3033,15.9801,22.8409,16.5242,40.6281,12.0748,15.8553,11.0864,0.5902,0.3622
2020-10-31,2.3798,0.1398,0.2027,19.0037,11.4505,11.8208,13.9624,11.6017,9.4509,0.9697,7.2546,12.9169,28.2576,14.1261,33.1357,9.1676,12.1515,11.9105,0.3708,0.1724
