date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.6896,2.2218,,13.373,13.373,23.9307,3.7358,3.6546,0.448,,,,5.239,4.7166,1.3827,1.464,6.6953,1.4459,0.8045
2006-12-31,,0.5295,1.1256,,15.8059,15.8059,25.7809,6.1641,14.9521,0.4067,,,,5.678,5.5726,2.4644,2.6216,10.0211,0.3751,1.5084
2007-12-31,,0.5083,1.0338,,17.6224,17.6224,28.3864,10.1924,13.2216,0.4444,,,,9.9551,9.7776,4.5039,4.8075,10.4114,0.0886,0.8535
2008-12-31,,0.5125,1.0512,,14.495,14.495,26.7435,7.4233,7.5405,0.4284,,,,6.9725,6.8515,3.205,3.3403,10.6415,0.0244,0.7218
2009-12-31,,0.4845,0.9398,,3.6034,3.6034,21.6929,5.7074,6.312,0.3294,,,,3.2221,3.1718,1.5691,1.6351,9.6101,0.9939,0.0479
2010-12-31,,0.4638,0.865,,5.1135,5.1135,19.4451,3.623,3.1644,0.3514,,,,2.0057,2.0057,1.0233,1.0755,9.3724,0.1475,0.3498
2011-12-31,,0.4615,0.857,,6.5549,6.5549,21.0861,0.594,0.3182,0.3601,,,,0.4022,0.4022,0.2063,0.2166,9.5206,0.1627,0.1004
2012-12-31,,0.441,0.7889,,7.1556,7.1556,22.3167,0.4546,1.2058,0.3893,,,,0.1166,0.1166,0.0616,0.0652,9.4659,0.13,0.2038
2013-12-31,,0.3959,0.6553,,9.911,9.911,24.0805,4.4715,6.1363,0.4032,,,,2.8918,2.8918,1.6388,1.7469,9.6211,0.2772,1.1652
2014-12-31,,0.3494,0.5371,,13.0427,13.0427,26.5176,14.1891,13.7568,0.4372,,,,10.057,10.057,6.0877,6.543,9.7486,0.0864,0.0719
2015-12-31,,0.3525,0.5443,,11.7944,11.7944,25.4206,10.729,10.4299,0.459,,,,7.9533,7.9533,4.8473,5.1499,9.4682,0.0918,0.5046
2016-12-31,,0.3416,0.5188,,12.5967,12.5967,26.0589,14.9355,14.0332,0.476,,,,10.9626,10.9626,6.7584,7.2177,9.5324,0.21,0.6461
2017-12-31,,0.3609,0.5647,,12.5487,12.5487,26.6196,12.0847,10.4697,0.4607,,,,8.1548,8.1548,4.8833,5.2118,9.4737,0.0865,0.2621
2018-12-31,,0.3365,0.5071,,9.5945,9.5945,26.8103,23.5518,19.6778,0.4569,,,,15.2128,15.2128,9.5203,10.0938,10.2188,0.0911,1.3423
2019-12-31,,0.3412,0.518,,14.6096,14.6096,27.0799,17.5901,16.8221,0.4445,,,,12.7236,12.7236,7.5742,8.382,10.2677,0.0455,0.7056
2020-12-31,,0.4669,0.8759,,58.8272,58.8272,17.284,59.321,45.1852,0.1257,,,,11.7136,11.7136,5.7486,6.2442,8.968,2.1447,3.3206
