date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3064,0.17,0.4365,19.1887,3.0669,3.0669,3.9607,2.7943,2.058,2.0988,,19.5195,18.6992,11.8272,23.8472,4.3195,9.8168,15.3714,3.685,2.7104
2006-12-31,1.4282,0.2936,0.5117,18.6554,3.8532,3.8532,4.5471,3.5584,2.2759,2.1208,,31.4514,11.6052,15.9608,27.9605,4.8267,11.2752,18.3269,6.3552,6.2373
2007-12-31,1.5078,0.2952,0.4857,19.8476,5.3704,5.3704,6.1012,5.0981,3.2965,1.9637,,41.7643,8.7395,20.6924,35.2509,6.4732,14.5832,23.6971,2.831,2.9912
2008-12-31,1.6196,0.3029,0.485,18.096,3.7073,3.7073,4.4686,3.43,2.2357,2.2195,,36.6557,9.9575,14.5193,25.9476,4.9622,10.1209,26.4012,1.4031,1.6965
2009-12-31,1.7591,0.2251,0.3554,19.3833,5.5557,5.5557,6.3689,5.2109,3.3829,2.1721,,37.3267,9.7785,18.0055,27.4908,7.348,13.9519,33.9406,2.6046,3.0624
2010-12-31,1.7648,0.1942,0.3001,19.285,5.5185,5.5185,6.3013,5.206,3.2712,2.0863,,35.0323,10.419,15.8723,25.2296,6.8248,12.7895,41.1042,4.7932,4.5741
2011-12-31,1.8463,0.1706,0.2437,21.7447,6.364,6.364,7.1867,6.0681,3.8526,2.08,,35.6209,10.2468,17.5989,26.6579,8.0133,14.5958,49.1634,0.8161,1.5108
2012-12-31,1.8369,0.2279,0.3318,20.8071,5.1526,5.1526,6.0165,4.8842,3.1232,1.9584,,53.3779,6.838,13.8126,23.4684,6.1164,10.665,55.8763,0.6232,1.1294
2013-12-31,1.9453,0.2182,0.3223,21.1774,4.9887,4.9887,6.0199,4.6499,2.9797,1.9924,,43.4874,8.3932,13.2138,22.0491,5.9368,10.3307,60.4817,0.9824,1.2199
2014-12-31,2.0795,0.2839,0.4312,21.3072,4.8701,4.8701,5.7959,4.4742,2.3649,2.0615,,46.0589,7.9246,11.8909,17.88,4.8753,8.5146,64.4769,0.402,1.0436
2015-12-31,1.9273,0.2683,0.4247,18.4568,4.3232,4.3232,5.1465,4.4779,2.3504,2.1999,,46.7606,7.8057,12.3333,18.0201,5.1706,9.024,69.7696,4.6373,4.7036
2016-12-31,2.0698,0.2619,0.4028,17.2346,3.2016,3.2016,4.0567,2.854,1.1291,2.1412,,42.4836,8.5916,5.7464,8.2827,2.4177,4.2412,71.5649,7.0853,7.0471
2017-12-31,1.8501,0.3264,0.5142,19.1028,7.9268,7.9268,8.8288,7.4767,4.553,1.9783,,62.959,5.7974,24.873,37.3114,9.0073,16.7534,71.4851,14.9975,14.8901
2018-12-31,1.6819,0.301,0.6141,19.3808,5.447,5.447,6.3853,3.6249,2.9572,2.2395,,56.0709,6.5096,16.5633,26.8678,6.6226,11.5782,74.9519,12.1252,12.9477
2019-12-31,1.8197,0.2921,0.4894,17.0001,4.9192,4.9192,5.8054,5.3261,4.1718,2.2318,,61.447,5.9401,22.489,33.3827,9.3107,15.9198,91.1169,23.5196,22.4785
2020-12-31,1.765,0.3062,0.5084,20.1244,6.4623,6.4623,7.2607,5.962,4.3639,2.2064,,67.7988,5.3836,24.5265,36.2784,9.6285,17.0154,106.5334,3.1746,1.39
