date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.299,0.3179,0.6841,40.086,10.2882,10.2882,15.9809,13.4154,8.7059,0.8618,19.2193,8.5347,42.7664,24.1525,36.3463,7.5595,16.4747,21.0282,9.163,7.4826
2006-12-31,1.114,0.3259,0.7957,41.8873,13.048,13.048,18.4984,14.5662,10.3824,0.8856,18.9071,7.7788,46.9225,33.0316,70.0074,9.121,22.2674,18.9222,0.5046,0.346
2007-12-31,1.2001,0.4473,1.239,42.2418,13.6821,13.6821,18.947,14.6671,10.546,0.8203,21.4178,7.9029,46.1857,36.5942,86.2632,8.6506,20.2256,20.5525,1.3793,1.1009
2008-12-31,1.1548,0.6255,2.4974,44.0616,15.3797,15.3797,20.6388,16.1295,11.902,0.9462,21.4621,8.5801,42.5405,90.7913,164.0378,11.2615,34.0033,10.1442,2.5084,2.5645
2009-12-31,1.3592,0.4908,1.147,45.7246,17.7677,17.7677,22.9829,18.9415,14.0197,0.8783,20.8388,8.0611,45.2791,58.998,25817.31,12.314,30.0423,17.4323,1.9313,2.3608
2010-12-31,1.1862,0.4853,1.2353,46.0739,18.1736,18.1736,23.0109,19.7487,14.8523,0.8803,21.9825,8.3448,43.7401,64.0126,272.1152,13.0743,32.949,18.8698,0.3012,0.6301
2011-12-31,1.209,0.5304,1.5477,46.8948,18.9738,18.9738,23.4773,19.6444,14.8294,0.9183,21.8798,8.4452,43.2199,78.3543,169.2283,13.6173,36.7925,17.3971,1.1653,0.9345
2012-12-31,1.1331,0.5592,1.7525,48.9541,20.493,20.493,25.0384,21.9103,16.1401,0.8629,22.9615,8.2037,44.4923,89.5391,120.9893,14.2594,39.4665,16.9899,0.6003,0.3058
2013-12-31,1.2788,0.589,1.7322,49.4922,19.8136,19.8136,24.5692,20.5801,16.7566,0.7793,21.5078,8.1639,44.709,73.6229,139.2133,13.374,30.2608,21.7462,1.0994,0.8687
2014-12-31,1.197,0.7444,3.3895,50.0113,19.1717,19.1717,24.0126,21.5383,12.9557,0.7913,22.0571,7.7353,47.1861,131.0945,72.7663,13.4313,33.5092,12.1289,0.8494,0.4937
2015-12-31,1.2403,0.6986,2.7655,49.7718,18.3592,18.3592,23.0753,19.5067,16.1363,0.7398,26.4713,8.5736,42.5724,92.6576,63.3846,12.0947,27.9278,14.9359,0.8578,0.8953
2016-12-31,1.2099,0.6533,2.2927,48.1938,14.9176,14.9176,20.3994,15.4281,14.855,0.6803,26.6594,7.8054,46.7628,64.5987,52.8162,10.1141,22.3971,19.4446,0.2609,0.2481
2017-12-31,1.3311,0.6921,2.6417,46.6812,14.75,14.75,20.488,14.405,7.2695,0.6313,26.6557,7.9866,45.7017,32.487,25.2489,4.5933,10.0031,19.2208,0.0214,0.3457
2018-12-31,1.2856,0.6778,2.7061,46.4073,15.3183,15.3183,20.9471,14.2504,10.9661,0.6451,25.3591,9.7359,37.4901,51.5239,38.9038,7.0699,16.6045,18.9685,1.2016,1.682
2019-12-31,1.0191,0.7205,2.9973,47.2967,12.8275,12.8275,20.6813,13.1774,12.2247,0.5069,25.113,8.0336,45.434,44.965,17.9807,6.1997,12.5654,23.6555,0.0963,1.3791
2020-12-31,0.9823,0.7239,2.969,48.3225,8.3659,8.3659,17.4599,6.2986,7.593,0.472,20.6884,9.3831,38.8996,26.5415,10.4411,3.5269,7.3267,23.2196,3.7532,3.0018
