date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,6.2141,,,93.5046,36.0601,36.0601,45.8063,38.4916,13.4148,0.5865,,10.5507,34.595,17.3715,25.8097,15.2049,17.3715,0.8619,0.1872,0.1356
2006-12-31,8.9954,,,96.3687,65.2121,65.2121,69.6293,67.7322,45.656,0.6362,,9.7693,37.362,31.5243,38.3745,29.048,31.5243,1.5638,0.3185,0.3036
2007-12-31,1.2537,0.111,0.1502,95.9869,61.5649,61.5649,67.3806,62.4131,41.8971,0.2054,,11.0403,33.0608,16.2922,341.0374,8.6045,14.484,4.2371,0.3052,0.2498
2008-12-31,1.0196,0.1418,0.1885,96.3466,60.6995,60.6995,68.5574,58.235,37.0164,0.0544,,10.0074,36.4732,14.9575,198.6729,2.0119,12.8364,5.5613,0.2287,0.2153
2009-12-31,1.0259,0.0789,0.1264,96.4257,51.5305,51.5305,63.2844,49.6292,31.7644,0.0455,,9.1208,40.0184,12.9088,118.3899,1.4355,11.8901,6.6232,0.2739,0.2884
2010-12-31,1.0194,0.1037,0.2054,97.1653,56.7262,56.7262,67.7871,53.0002,34.6363,0.0432,,10.047,36.3291,14.4764,4121.949,1.5305,12.9758,7.6853,0.1199,0.1124
2011-12-31,1.0253,0.2094,0.2806,97.3625,59.7589,59.7589,69.5554,57.272,38.4326,0.0367,,9.7337,37.4987,16.5068,128.8946,1.4441,13.0505,8.7327,0.4936,0.3868
2012-12-31,1.0466,0.2086,0.3079,97.5789,60.675,60.675,70.2861,57.9604,40.4989,0.0366,,10.7323,34.0095,15.2842,59.7872,1.5101,12.0964,10.074,0.0812,0.13
2013-12-31,0.9988,0.2406,0.4085,96.6208,49.4368,49.4368,58.761,31.5394,15.8949,0.0248,,2.9267,124.7121,2.5846,5.2194,0.4967,1.9627,21.5322,0.2006,0.4675
2014-12-31,0.996,0.1528,0.3451,94.1462,46.8305,46.8305,55.8215,45.5045,31.727,0.0453,,6.0866,59.9677,8.1101,25.6182,1.4724,6.8709,21.9327,0.7456,0.7625
2015-12-31,0.9739,0.2412,0.4925,95.8358,52.4266,52.4266,62.9419,49.5207,38.1666,0.0428,,4.7686,76.5428,8.7264,16.1936,1.6605,6.6217,24.9832,0.2079,0.2672
2016-12-31,0.9747,0.1972,0.404,96.9637,48.1383,48.1383,61.6578,45.2793,31.6933,0.055,,5.807,62.8557,9.2484,20.9429,1.7768,7.4242,26.4773,1.2423,1.1286
2017-12-31,0.9887,0.2008,0.3591,97.3911,51.2937,51.2937,62.8288,54.4631,54.4631,0.0593,,5.1362,71.064,15.0368,46.4364,3.2633,12.0177,29.1338,0.0775,0.0692
2018-12-31,1.0088,0.2736,0.4318,97.369,51.8779,51.8779,63.6473,50.6126,39.9277,0.0537,,5.2246,69.8624,11.7231,31.9823,2.1769,8.5157,30.283,0.8647,0.9821
2019-12-31,0.9878,0.233,0.4523,97.5971,51.3841,51.3841,64.11,47.6932,37.1588,0.0551,,5.2652,69.3233,11.3387,31.0421,2.0742,8.6972,31.2022,0.3314,0.2752
2020-12-31,0.9911,0.4197,0.8466,97.6143,50.2485,50.2485,62.6905,45.8251,34.609,0.0478,,4.9073,74.3787,10.7914,13.0405,1.6704,6.2626,34.82,0.4848,0.2859
