date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9905,0.1254,1.0386,41.3567,13.388,13.388,17.9997,12.3502,9.6853,0.7556,2.7136,5.4092,67.4776,21.0921,135.2988,7.3181,18.4465,9.8728,1.8683,0.883
2006-12-31,2.4169,0.4665,0.8919,42.1941,15.7008,15.7008,19.9832,14.951,10.8094,0.8453,2.7121,5.1699,70.6003,25.023,142.0489,9.1371,13.3501,10.123,1.2139,1.5613
2007-12-31,2.1273,0.632,1.9648,41.8255,16.1271,16.1271,19.7635,14.5308,10.855,0.8351,2.7352,5.0527,72.2387,40.0404,213.7066,9.0645,14.7331,7.6202,0.5059,0.3942
2008-12-31,2.6659,0.6652,2.1625,40.6354,14.863,14.863,18.0432,11.8827,9.6104,0.8689,2.9578,5.959,61.2523,39.5473,157.2354,8.3504,13.2403,7.3816,0.8209,1.1067
2009-12-31,2.3285,0.5477,1.3104,40.1626,14.6288,14.6288,18.0045,11.8887,8.4055,0.8795,3.1281,5.236,69.7101,25.3302,380.5493,7.3929,11.4567,9.7516,0.92,1.1332
2010-12-31,2.005,0.4398,0.9187,41.6569,15.8743,15.8743,18.8955,13.71,10.0485,0.9131,2.8782,5.8053,62.8735,26.2728,91.2786,9.1753,14.7171,12.5066,0.2305,0.2482
2011-12-31,2.3332,0.4127,0.8081,39.6216,15.3417,15.3417,18.0435,13.3983,9.5719,0.9401,3.0919,5.9025,61.8383,24.0983,66.8733,8.9988,14.1524,13.685,1.5954,1.8504
2012-12-31,2.4968,0.413,0.8233,41.6642,17.2471,17.2471,19.9644,15.7159,9.0072,0.8692,3.0443,5.6492,64.6111,20.2893,46.1823,7.8287,11.9107,15.3449,1.6345,1.6705
2013-12-31,2.9497,0.3887,0.6358,43.4897,17.4859,17.4859,20.3043,16.4317,11.9728,0.8863,3.126,5.63,64.8313,24.099,45.8639,10.6114,14.7327,18.0263,1.0177,1.2335
2014-12-31,3.2961,0.3802,0.6189,44.1035,19.1781,19.1781,22.0712,17.7774,13.422,0.8838,3.0355,6.255,58.3531,27.2244,53.7915,11.8623,16.8725,18.8503,1.3866,0.9742
2015-12-31,1.9818,0.3697,0.6694,44.7077,19.4611,19.4611,22.4248,17.8322,13.8677,0.8166,2.9221,5.6204,64.942,26.2853,120.6133,11.3249,16.5687,19.9319,0.584,0.0633
2016-12-31,1.7912,0.3954,0.8125,44.782,17.7437,17.7437,21.0318,16.8055,12.997,0.7758,2.9067,5.6593,64.4954,24.8313,152.7106,10.083,15.0123,20.5918,1.1013,0.8023
2017-12-31,2.467,0.4914,0.9703,43.3241,16.26,16.26,19.7309,15.8014,8.6993,0.739,2.966,5.1212,71.273,17.5023,252.2335,6.429,8.9016,21.3978,1.9552,1.882
2018-12-31,2.6073,0.427,0.7534,42.3052,14.6795,14.6795,19.0488,11.2571,8.4802,0.3086,2.1277,4.2415,86.0543,5.6224,14.3106,2.6361,3.2213,56.682,0.0424,0.3734
2019-12-31,1.8957,0.3909,0.7035,41.1034,12.9428,12.9428,19.2332,10.8452,8.869,0.3868,2.6956,5.8664,62.2192,7.3885,21.7109,3.4639,4.5005,58.3362,1.2032,1.3296
2020-12-31,1.6073,0.3741,0.698,41.0261,11.142,11.142,17.5413,8.6812,7.1442,0.3751,2.6491,5.4708,66.7179,5.8101,18.3926,2.7101,3.6365,59.128,0.1156,0.29
