date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,12.7069,1.0602,17.6245,100.0,1284.527,1284.527,1180.117,1324.356,1313.319,0.021,,5.5137,66.1987,532.8505,338.3208,27.6276,32.0522,0.232,1.2226,1.2415
2006-12-31,6.6429,1.2967,4.3706,100.0,278.0596,278.0596,251.2499,268.2994,268.2994,0.0782,,13.3348,27.372,87.3486,79.2177,20.9744,25.9145,1.0111,0.6216,0.6217
2007-12-31,7.2254,1.7026,2.4233,100.0,247.619,247.619,209.9797,252.2677,252.2677,0.1249,,22.205,16.4377,54.4651,52.3506,31.5135,38.267,1.887,0.5001,0.495
2008-12-31,4.0824,2.2584,1.7946,100.0,4064.531,4064.531,3731.002,4565.45,4565.45,0.0169,,3.7324,97.7928,81.051,79.4886,76.9919,101.9969,2.2678,0.4678,0.4618
2009-12-31,4.9392,1.3005,4.3282,100.0,1508.559,1508.559,1328.419,2286.778,2286.778,0.013,,0.0566,6447.519,206.9368,182.2334,29.7407,62.1768,0.8611,1.6889,1.6929
2010-12-31,4.0102,1.4329,3.3102,100.0,8.2701,8.2701,22.6833,18.7464,18.7464,0.347,,29.7979,12.2492,35.9257,32.143,6.5047,15.5507,0.719,0.6852,0.6551
2011-12-31,2.2916,3.5493,1.3923,100.0,151.5886,151.5886,123.0141,197.4909,197.4909,0.2871,,14.7241,24.7893,82.1484,79.2795,56.7056,209.4167,1.7955,2.0952,2.0917
2012-12-31,2.2746,2.1207,1.8923,99.9471,0.3864,0.3864,10.4784,14.861,14.9196,0.899,0.5647,4.1868,87.1784,25.3319,25.3319,13.4133,28.3886,1.3109,0.5591,0.5675
2013-12-31,5.1443,1.4122,3.4259,99.8225,4.5365,4.5365,3.6921,23.341,23.4252,0.5638,1.5517,10.0341,36.3759,43.0572,43.0573,13.207,17.7491,1.1848,0.7928,0.7859
2014-12-31,3.0741,1.1606,8.2713,99.4127,0.9392,0.9392,7.1573,9.4912,9.4783,0.6422,8.3911,8.8291,41.3407,59.3927,59.3926,6.0869,9.5369,0.4777,0.0944,0.0427
2015-12-31,5.0139,0.7836,3.6218,96.4216,6.7199,6.7199,12.6745,1.0025,0.8665,0.7482,15.1273,6.5859,55.4218,3.8158,3.8158,0.6483,0.8256,0.917,0.321,0.3481
2016-12-31,3.635,0.6083,1.5531,94.7376,13.1135,13.1135,18.3973,9.7135,9.4257,0.6748,14.1712,7.433,49.1053,24.8463,1916.899,6.3604,9.7318,2.2212,1.0926,0.6118
2017-12-31,4.0087,0.0101,0.0147,94.8263,15.8433,15.8433,12.4468,20.3285,20.384,0.6672,12.2615,5.7688,63.2718,19.2038,25.2914,13.5996,19.0101,7.7185,2.0244,1.9475
2018-12-31,4.3084,0.009,0.0091,94.9985,6.8667,6.8667,9.7876,6.1293,5.8183,0.7113,13.5098,6.118,59.6601,5.6851,7.0413,4.1384,5.6341,9.0305,2.0137,2.2157
2019-12-31,4.834,0.0121,0.0196,94.7077,18.6221,18.6221,21.1482,22.5496,20.702,0.63,10.0218,6.9906,52.213,17.1992,19.8715,13.0417,16.9905,12.0198,1.7058,1.6879
2020-12-31,3.7388,0.0123,0.0133,95.0753,9.8877,9.8877,7.945,8.7081,11.0885,0.7489,7.9956,5.5326,65.9721,11.3239,12.95,8.304,11.1844,11.897,3.8364,4.337
