date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0725,0.251,0.338,75.423,14.1997,14.1997,17.4894,16.7932,7.6516,0.3791,,3.8343,95.1928,6.0781,31.5664,2.9006,4.5521,,0.7625,0.6716
2006-12-31,1.1021,0.1415,0.2135,74.5341,23.3837,23.3837,25.4628,31.857,14.8674,0.2655,,4.0337,90.4883,7.831,133.1219,3.9473,6.7228,7.2373,0.3601,0.3639
2007-12-31,1.1449,0.1745,0.2114,72.9021,25.6336,25.6336,27.8017,32.0658,17.3658,0.3001,,3.9641,92.0757,13.451,215.379,6.8587,11.104,15.5183,1.1,1.1274
2008-12-31,1.1286,0.1156,0.1757,73.5307,22.6085,22.6085,24.6523,19.8633,14.5634,0.339,,6.0913,59.9211,6.3825,86.5186,4.3149,5.6448,15.4623,0.9059,1.0564
2009-12-31,1.3579,0.0891,0.0979,71.9484,18.4334,18.4334,21.387,13.6071,12.275,0.2408,,3.9073,93.4138,2.7464,20.639,1.9185,2.5016,17.6653,0.4605,0.3275
2010-12-31,1.3094,0.4341,0.7671,69.7852,16.9137,16.9137,19.6863,23.9069,13.3526,0.1706,,3.1796,114.7944,6.8028,61.0255,3.1148,3.8496,20.3454,0.0375,0.1538
2011-12-31,1.289,0.4187,0.7439,67.8728,22.1505,22.1505,25.0986,22.4016,18.3236,0.2058,,4.1169,88.6584,6.6987,67.4937,3.1638,3.8937,20.4879,1.2575,1.2478
2012-12-31,2.8425,0.3598,0.562,67.702,20.8029,20.8029,23.1483,20.5066,16.7169,0.2316,,3.7379,97.6481,6.2902,79.8206,3.254,4.0271,20.5007,0.2708,0.2851
2013-12-31,2.8379,0.3913,0.6428,67.937,24.1183,24.1183,26.0216,27.0249,19.5539,0.241,,3.114,117.2108,10.2291,108.5076,4.7653,6.2268,20.728,0.0044,0.0095
2014-12-31,3.1516,0.4245,0.7376,68.3181,24.8082,24.8082,26.5451,27.1046,18.6493,0.2517,,3.5754,102.0874,11.0145,77.6455,4.912,6.3391,21.2138,1.0355,0.9243
2015-12-31,2.0902,0.4634,0.8636,69.1601,26.5162,26.5162,28.3433,26.5885,18.4173,0.2043,,4.0405,90.3362,11.0871,82.6845,3.8451,5.9492,20.828,0.1396,0.1223
2016-12-31,1.7049,0.4608,0.8547,70.2771,24.341,24.341,26.4785,25.4858,17.5186,0.184,,3.5777,102.0202,11.4073,1043.621,3.3741,6.1506,18.8504,1.0737,1.1428
2017-12-31,1.5042,0.4343,0.7677,71.1935,24.7873,24.7873,27.0508,27.6961,21.8456,0.1629,,3.334,109.4795,12.964,144.0087,3.6661,7.3336,21.9985,1.2014,1.2955
2018-12-31,1.5831,0.4607,0.8544,69.7371,22.6736,22.6736,25.3477,21.4166,16.6124,0.1715,,5.8648,62.2357,9.8823,222.4439,2.8507,5.3292,22.5037,0.8154,0.7914
2019-12-31,1.6165,0.3674,0.5807,69.0555,13.2115,13.2115,16.1147,15.9038,9.231,0.1552,,5.1355,71.074,7.1577,47.6185,1.8716,3.2598,31.5868,0.5256,0.492
2020-12-31,1.8161,0.3727,0.594,68.309,14.9766,14.9766,18.2879,17.3962,8.5394,0.1684,,5.9899,60.9363,7.478,57.148,2.2121,3.4208,32.2564,0.1253,0.1588
