date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-09-30,1.5803,0.2458,0.3853,35.5836,7.1467,7.1467,14.4434,3.6724,18.5659,0.2658,2.5905,2.5034,145.8029,1.7869,20.2228,0.9268,1.3476,67.5923,12.0129,11.1184
2006-09-30,3.082,0.2001,0.272,34.2435,7.9398,7.9398,14.8893,6.5745,21.036,0.2708,6.9314,6.2103,58.773,2.3088,3.8242,1.2966,1.8467,74.4021,0.8262,0.9708
2007-09-30,1.3777,0.2071,0.2856,33.88,9.3738,9.3738,2.8035,11.8851,9.4279,0.5631,6.8519,6.3714,57.2874,16.1546,171.4674,7.6916,12.8083,32.9642,2.0651,2.3862
2008-09-30,1.4827,0.1931,0.2752,35.2354,9.6083,9.6083,15.7756,7.039,7.8701,0.6851,6.8087,6.6085,55.2319,6.8607,89.0285,3.6905,5.5356,33.9652,11.0313,11.1667
2009-09-30,1.6941,0.2372,0.3299,35.6119,8.9207,8.9207,13.9202,10.4845,10.6504,0.6607,7.9343,6.636,55.003,14.2118,121.1184,7.2046,10.8403,28.607,7.2693,7.2374
2010-09-30,1.3958,0.2057,0.297,32.8131,5.5808,5.5808,9.8185,2.5862,10.2541,0.4062,5.131,4.4204,82.5721,2.1417,28.0148,1.1132,1.7011,30.2319,0.3416,1.1589
2011-09-30,3.2252,0.2248,0.2901,34.7353,9.3019,9.3019,13.2898,7.2369,16.283,0.3954,12.7829,6.8242,53.4863,4.3663,6.7386,2.3144,3.3846,31.8988,0.3935,0.4812
2012-09-30,1.4056,0.2282,0.2976,36.1504,5.8431,5.8431,9.6745,0.6773,4.7715,0.8,9.9621,5.8325,62.5799,8.2435,322.6563,3.3401,6.3627,11.3505,0.5408,0.6806
2013-09-30,1.4503,0.2198,0.2857,36.4784,7.0789,7.0789,10.8471,5.9555,5.3291,0.8261,9.9054,5.9026,61.8374,8.6507,263.6905,3.6383,6.7489,11.5702,3.9628,3.8904
2014-09-30,1.3765,0.2361,0.3133,16.2714,4.555,4.555,7.0195,4.9446,3.1356,3.2813,51.9104,22.3466,16.3336,32.3126,920.1219,12.7784,24.6851,11.4547,1.6635,0.5894
2015-09-30,1.0022,0.3537,0.6296,26.4971,6.5789,6.5789,11.6082,5.4444,9.1404,0.5773,5.2878,2.9734,122.7553,8.192,39.8517,2.9032,5.2946,16.2165,1.1305,1.1305
2016-09-30,1.0476,0.3058,0.5085,27.1344,5.6438,5.6438,10.2174,5.0919,4.1657,0.3298,5.2573,3.2588,112.0032,3.4436,24.8705,1.3675,2.3905,26.8114,0.4181,0.2685
2017-09-30,1.037,0.3589,0.6352,32.9757,6.3937,6.3937,10.4182,5.0405,7.055,0.4401,4.7694,3.4256,106.5509,3.8798,16.3769,1.5978,2.4872,23.0254,2.444,1.4085
2018-09-30,1.0509,0.3,0.4867,32.765,7.5641,7.5641,11.0855,6.6068,9.2393,0.4795,8.6493,4.1622,87.6936,6.0068,63.9337,2.7645,4.205,24.2787,1.2386,1.3718
2019-09-30,1.3664,0.2436,0.3466,32.097,5.0651,5.0651,8.5072,4.4059,23.6732,0.5668,8.9719,4.1539,87.8692,6.1885,43.2405,3.0482,4.681,26.7852,0.3622,0.3635
2020-09-30,1.2188,0.2888,0.4219,33.2079,4.3151,4.3151,7.9984,4.0462,2.8274,0.5468,8.4072,4.2155,86.5847,4.2896,16.7192,1.9478,3.0508,25.5197,1.2959,1.516
