date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.4915,0.0495,0.0694,72.2651,25.9651,27.0361,31.1795,25.9651,19.9153,0.8581,3.5388,7.206,50.6523,25.9881,37.9122,17.0902,24.7011,13.0141,3.9293,3.1041
2006-12-31,1.1991,0.0487,0.1677,71.7632,27.3554,29.0282,33.1108,27.3554,20.728,0.7558,3.0798,6.1208,59.6332,28.1118,103.9793,15.6656,26.742,13.5897,0.8826,0.98
2007-12-31,1.5096,0.1404,0.2202,70.9453,21.7416,22.9659,27.5113,21.7416,17.3108,0.7547,3.4738,6.4692,56.4213,24.4142,72.6573,13.0642,20.987,15.252,0.3491,0.2231
2008-12-31,1.6486,0.1604,0.2788,70.9618,26.5565,27.8052,32.2478,26.5565,20.3131,0.7507,3.6641,6.559,55.6487,30.4604,87.3988,15.2499,25.5752,15.3515,0.119,0.1684
2009-12-31,1.8196,0.1398,0.2874,70.1973,25.4536,26.3276,30.8093,25.4536,19.8168,0.6537,3.5612,6.4169,56.8814,24.2469,63.217,12.9549,20.8566,18.3668,0.6613,0.673
2010-12-31,2.0504,0.1393,0.2965,69.4871,27.5172,28.4297,33.2018,27.5172,21.6507,0.5985,3.4942,6.3011,57.9264,23.5671,54.2716,12.9572,20.2845,20.6636,0.066,0.0597
2011-12-31,2.3811,0.1851,0.3439,68.6914,19.0082,20.0261,24.8824,19.0082,14.8731,0.5722,3.2395,6.1459,59.389,16.9446,42.4136,8.5108,13.8075,20.9517,0.7234,0.6153
2012-12-31,1.9008,0.1505,0.2494,67.7823,20.4912,21.3778,26.8312,20.4912,16.1445,0.554,2.8897,5.9443,61.4034,16.2188,77.0256,8.6644,13.7771,23.3314,0.322,0.3743
2013-12-31,2.197,0.1525,0.2455,68.6701,21.6948,22.4745,28.2295,21.6948,19.3951,0.5375,2.836,6.0883,59.9513,18.6772,59.3401,10.4241,15.8284,26.2541,0.5789,0.0048
2014-12-31,2.227,0.1782,0.269,69.399,27.6641,28.4713,33.7114,27.6641,21.9599,0.5702,2.7793,6.7666,53.9415,23.4015,78.8627,12.5217,19.232,25.0616,0.4803,1.8907
2015-12-31,2.17,0.153,0.2791,69.2668,27.3939,28.3643,33.7101,27.3939,21.9896,0.5252,2.6743,6.5282,55.911,,64.8609,11.55,18.3425,25.8243,0.4238,0.104
2016-12-31,2.4739,0.2417,0.3852,69.6912,27.5463,29.068,34.2899,27.5463,23.0074,0.5091,2.6755,6.145,59.3982,,79.7608,11.7132,17.8118,26.018,0.2277,0.9305
2017-12-31,1.411,0.3377,0.5748,66.7247,23.1171,24.8424,32.2224,23.1171,1.7005,0.486,2.9023,5.6672,64.4061,2.1609,5.2054,0.8264,1.4312,22.4266,0.9406,1.1161
2018-12-31,1.474,0.3166,0.5101,66.7925,22.0627,24.0436,32.537,22.0627,18.7507,0.5334,3.1505,5.7867,63.0756,25.6008,83.5354,10.0011,17.4951,22.4436,0.4663,0.8222
2019-12-31,1.2589,0.3082,0.4657,66.4193,21.1165,21.9391,30.4805,21.1165,18.4246,0.5203,3.055,5.6667,64.4118,25.4225,69.3182,9.5855,17.5874,22.591,0.5872,0.6715
2020-12-31,1.2058,0.3403,0.5573,65.5781,19.976,20.3538,29.1098,19.976,17.817,0.4722,3.0423,6.0831,60.0024,23.253,55.4889,8.4131,15.341,24.0371,0.0894,0.9629
