date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5487,3.881,,,,,23.3212,16.6847,0.0423,,,,7.7088,16.8343,0.6884,3.4743,30.7487,8.5004,8.5004
2006-12-31,,0.5857,4.2548,,,,,33.8606,24.5875,0.0435,,,,11.7877,24.4816,1.0099,4.8838,33.449,5.3717,5.3717
2007-12-31,,0.649,4.7858,,,,,35.3522,23.1351,0.0413,,,,12.4695,24.304,0.9836,4.3767,36.5925,18.2208,18.2208
2008-12-31,,0.7072,4.7959,,,,,5.9927,10.2479,0.0213,,,,2.7411,3.5611,0.1701,0.649,44.7075,38.8873,47.0787
2009-12-31,,0.6607,4.5375,,,,,23.4832,12.8239,0.0337,,,,7.4116,12.0302,0.5734,2.3905,41.95,24.8568,16.6654
2010-12-31,,0.6339,4.3335,,,,,28.8873,18.3185,0.0406,,,,10.3205,15.8538,0.8203,3.6106,45.0365,32.5946,32.5946
2011-12-31,,0.6029,3.7344,,,,,29.8338,19.594,0.0396,,,,10.7957,15.1863,0.8375,4.1051,48.6584,25.414,25.414
2012-12-31,,0.5746,3.4451,,,,,30.8791,21.2257,0.0397,,,,10.9143,14.5736,0.9022,4.4367,53.6466,17.9092,17.9092
2013-12-31,,0.5835,3.1852,,,,,27.4598,17.0441,0.0402,,,,8.9421,11.7776,0.7404,3.5274,56.2226,21.7363,21.7363
2014-12-31,,0.5695,3.0979,,,,,33.3783,21.8292,0.0358,,,,10.2734,12.3937,0.8454,4.0394,62.3796,18.6616,18.6616
2015-12-31,,0.5558,2.4433,,,,,34.2213,25.2475,0.0381,,,,11.0345,12.6889,1.0393,4.3856,67.5787,9.8323,9.8323
2016-12-31,,0.5374,2.4864,,,,,37.8651,25.0351,0.0366,,,,10.842,12.37,0.9929,4.5015,71.3778,13.5378,13.5378
2017-12-31,,0.5263,2.4188,,,,,37.6251,23.6514,0.0377,,,,10.6439,12.1415,0.9647,4.528,74.6484,8.9576,8.9576
2018-12-31,,0.5237,2.6447,,,,,39.2294,29.5529,0.0396,,,,14.0917,16.063,1.2383,6.0299,78.3069,7.6005,7.6005
2019-12-31,,0.5273,2.4313,,,,,40.564,31.5461,0.0409,,,,15.5464,17.5158,1.3556,6.5899,84.7368,3.3068,3.3068
2020-12-31,,0.5021,2.5498,,,,,34.6913,26.856,0.0301,,,,11.6855,12.894,0.8603,5.1923,91.6085,27.1493,27.1493
