date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.6945,0.6185,2.1445,44.8561,17.1956,17.1956,21.0475,14.0022,9.6296,0.9624,7.8271,11.5766,31.5291,42.9128,42.9128,9.2676,16.3707,5.6342,2.7476,1.8702
2006-12-31,0.6037,0.5961,2.4379,44.2377,16.1914,16.1914,19.4279,13.4959,9.2051,1.018,7.3811,11.5418,31.6242,48.5259,35.87,9.3709,19.6017,5.2025,0.7774,0.5448
2007-12-31,0.6682,0.5642,2.0685,43.9793,15.8628,15.8628,19.0217,13.1284,9.3665,1.0333,7.1396,11.6479,31.3362,43.6263,45.1825,9.6692,19.0131,6.4761,0.2325,0.1625
2008-12-31,0.7097,0.7366,3.7498,41.8577,15.2316,15.2316,18.1563,12.7203,8.9534,1.1714,8.311,11.6564,31.3134,78.7629,31.4576,10.4696,20.7496,3.8103,0.4666,0.484
2009-12-31,1.118,0.68,2.1451,42.8708,15.9125,15.9125,18.9662,13.3917,9.6382,1.1228,7.8945,11.505,31.7253,53.0989,42.7459,10.7857,16.9902,5.9652,0.9877,1.2034
2010-12-31,0.9155,0.695,2.7409,43.0911,16.4314,16.4314,19.5935,14.439,10.3815,1.0464,6.6809,10.4177,35.0367,59.4243,43.686,10.8044,18.1252,5.8916,1.6119,1.8842
2011-12-31,0.9264,0.7369,3.3548,39.0362,10.8122,10.8122,13.6081,8.9711,6.5616,1.1051,6.8535,11.1094,32.855,48.0534,26.3495,7.2344,12.6408,5.0322,1.7152,1.3373
2012-12-31,0.7473,0.7116,3.2057,38.2757,11.0023,11.0023,14.1579,9.333,6.769,0.9359,6.4198,9.7641,37.3818,38.9858,19.485,6.3353,11.2437,6.8232,0.5014,0.6528
2013-12-31,0.8519,0.637,2.0399,41.2588,19.1793,19.1793,22.7758,17.6176,12.2161,0.9559,6.9623,10.3876,35.1379,50.1248,47.4416,11.6841,18.1946,9.9421,0.0674,0.1973
2014-12-31,0.7654,0.6755,2.5851,34.7257,7.0233,7.0233,10.4733,5.6584,4.3347,0.9622,7.441,11.4263,31.9438,22.2027,14.3375,4.1774,7.2046,8.0084,0.0299,0.1584
2015-12-31,0.5639,0.7116,3.6225,34.61,8.0665,8.0665,12.0148,5.7153,4.5397,0.8868,7.0752,10.0632,36.2706,28.7184,12.0439,4.026,8.2827,6.1082,0.2306,0.1673
2016-12-31,0.6571,0.7767,4.0327,37.285,11.4385,11.4385,15.4262,7.204,5.3914,0.858,6.5679,10.5321,34.656,36.3448,12.4799,4.6324,8.1169,5.4861,1.1596,1.0384
2017-12-31,0.6714,0.7813,3.9266,36.5567,10.7904,10.7904,14.5324,12.8909,9.7557,0.7861,6.7009,9.2541,39.4418,57.1559,21.0792,7.6693,12.5025,6.3483,2.439,2.4382
2018-12-31,0.6971,0.7221,2.8151,34.886,12.5932,12.5932,16.4022,9.8103,9.862,0.7619,6.6323,9.8524,37.047,42.5451,21.4971,7.5591,11.8247,9.1867,3.2624,3.0329
2019-12-31,0.7181,0.6847,2.3905,32.2654,10.3182,10.3182,13.8828,9.6111,7.0703,0.7731,7.5016,8.6155,42.3656,29.481,19.0709,5.5625,9.2968,9.703,0.9852,1.0328
2020-12-31,0.6648,0.6498,2.0558,34.3283,12.7887,12.7887,16.2673,11.6267,9.085,0.7652,7.0428,8.959,40.7411,34.7635,27.1594,7.0238,12.1749,10.5731,2.3279,2.5727
