date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,3.4183,,,58.1628,26.1841,26.1841,29.5537,28.0072,21.3773,0.5152,2.4205,6.2478,58.4206,14.3719,14.3719,11.0144,14.3719,15.7492,2.5195,2.2228
2006-06-30,3.5881,,,54.5021,14.9612,14.9612,18.3146,18.2485,18.3738,0.4525,2.0975,4.7071,77.5432,10.6629,10.8774,8.3142,10.6629,17.9166,0.9753,1.0402
2007-06-30,3.2348,,,56.4445,21.5972,21.5972,28.0719,24.796,19.3356,0.5908,2.222,4.6969,77.7114,14.8758,17.2426,11.4227,14.8758,18.5513,1.4135,1.3607
2008-06-30,3.1944,0.1998,0.2497,54.9967,19.803,19.803,25.3572,22.2164,14.2396,0.5201,2.47,5.1204,71.284,12.0428,17.2464,7.4062,9.6362,17.1326,0.6384,1.115
2009-06-30,4.3852,0.2544,0.3411,43.1118,38.017,38.017,0.6925,39.6346,34.4272,0.4212,2.3361,7.2342,50.4548,23.9594,30.6793,14.4996,17.8649,12.799,2.4467,2.5113
2010-06-30,3.6739,0.2492,0.3319,55.2021,17.2547,17.2547,22.884,15.9923,11.66,0.466,2.0304,4.1369,88.23,9.4498,11.7861,5.4338,7.0947,13.3693,1.4385,1.3004
2011-06-30,4.1827,0.2069,0.2609,60.3409,36.5439,36.5439,39.2538,34.9609,25.0219,0.6791,2.1872,5.4437,67.0496,27.7706,32.47,16.9925,22.0252,17.119,2.2442,2.1912
2012-06-30,4.8256,0.1838,0.2252,58.0694,32.0411,32.0411,34.9457,30.7097,23.8344,0.6219,2.0437,4.5231,80.6973,22.8018,25.7828,14.8229,18.6099,19.8884,0.702,0.5701
2013-06-30,5.0509,0.1767,0.2146,56.4704,25.668,25.668,28.7472,24.2939,19.1063,0.5377,1.9504,5.4188,67.3575,15.5981,17.403,10.2726,12.8418,21.0485,0.1389,0.2432
2014-06-30,5.1206,0.1688,0.2031,57.9109,26.3558,26.3558,29.1916,25.072,19.8933,0.5292,1.8782,5.9437,61.41,15.8817,17.6256,10.5269,13.2011,22.1782,0.7622,0.7112
2015-06-30,3.8977,0.8828,7.5703,56.8156,23.5014,23.5014,26.3633,15.4273,13.0118,0.5831,1.9667,4.8063,75.9423,86.8828,492.9365,7.5872,10.1856,2.6699,0.9317,0.8327
2016-06-30,3.8587,0.8161,4.4375,61.0188,32.1812,32.1812,34.4238,28.755,23.6027,0.6014,1.6652,4.8668,74.9977,102.2214,201.4901,14.1951,18.7994,4.4187,1.1443,1.2667
2017-06-30,3.3964,0.669,2.2093,63.04,36.7499,36.7499,38.4118,33.7138,26.6113,0.6291,1.7548,6.0933,59.9014,69.8179,96.6749,16.7398,23.1121,8.4571,2.0102,1.9412
2018-06-30,3.7463,0.58,1.3807,64.1777,38.1456,38.1456,39.6985,36.0674,19.8743,0.7159,1.5518,6.1943,58.925,49.5069,64.3624,14.228,20.7953,10.3847,0.9542,0.7551
2019-06-30,2.44,0.5424,1.2785,59.0848,30.4093,30.4093,35.5139,28.3707,25.7308,0.5072,1.4807,4.6145,79.098,43.8817,107.3236,13.0434,20.0821,16.7907,0.466,0.8721
2020-06-30,2.7789,0.5641,1.2942,57.8129,25.8714,25.8714,36.2857,22.6768,20.9558,0.6257,1.8685,5.2432,69.6135,45.3197,160.759,13.093,19.7543,17.2456,3.9142,3.7794
