date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0375,0.0659,0.3485,64.53,26.3374,26.3374,30.3714,28.956,21.0873,0.7851,5.9427,10.1289,36.0355,29.7891,38.8703,16.5562,27.8257,3.4519,1.342,1.1726
2006-12-31,0.9495,0.0721,0.2708,66.1076,26.1873,26.1873,30.0814,27.3082,21.0893,0.8039,4.975,9.3112,39.2002,30.0236,43.1056,16.9542,27.86,3.6497,0.0746,0.0683
2007-12-31,0.9153,0.131,0.429,63.9394,25.1308,25.1308,29.161,27.4422,20.7263,0.6669,4.6874,8.6997,41.9553,27.718,63.2756,13.9291,24.0878,4.6903,0.2663,0.1271
2008-12-31,0.9375,0.1176,0.4464,64.3939,26.44,26.44,30.2843,23.4974,18.1787,0.7884,5.2007,10.3379,35.3071,28.1565,70.2884,14.4969,24.8446,4.5117,0.0868,0.0045
2009-12-31,1.2791,0.1664,0.4679,64.2207,26.5602,26.5602,30.5486,28.8674,22.02,0.6367,4.7103,8.2464,44.2617,27.2469,47.723,14.1892,22.7134,5.5028,0.1369,0.125
2010-12-31,1.1659,0.0001,0.2995,63.8572,23.9557,23.9557,28.0646,40.4539,33.563,0.4816,4.7898,7.9275,46.042,36.125,37.8002,16.2326,37.7936,6.8318,0.285,0.2446
2011-12-31,1.05,0.2996,0.895,60.8633,21.8577,21.8577,26.056,24.6186,18.4436,0.582,5.891,9.4598,38.5845,27.0856,203.3396,10.811,18.9701,7.0528,0.0032,0.1641
2012-12-31,1.0901,0.3076,0.9832,60.3203,22.4483,22.4483,26.576,24.5934,18.7829,0.5572,5.8373,10.0897,36.1754,27.3939,155.8223,10.5438,18.9671,7.4218,0.283,0.3145
2013-12-31,1.1256,0.3642,1.1088,60.6843,21.8295,21.8295,26.049,24.4952,18.3207,0.5203,5.6213,9.615,37.9614,25.7955,147.9842,9.5786,16.4011,7.5965,0.0158,0.0502
2014-12-31,1.0189,0.3841,1.366,61.1092,21.1053,21.1053,25.4011,20.2726,15.4311,0.4999,5.7706,10.2996,35.4383,23.3108,170.0645,7.7415,14.356,6.9998,0.0474,0.0977
2015-12-31,1.2401,0.5236,1.7123,60.5319,19.7047,19.7047,24.1523,21.6847,16.5959,0.4922,6.0241,11.2393,32.4754,28.5903,451.348,8.1848,13.6218,5.9584,0.0046,0.0651
2016-12-31,1.2818,0.5611,1.9685,60.6693,20.6794,20.6794,24.948,19.4348,15.5913,0.4797,6.1551,10.8566,33.6201,28.2084,313.0975,7.5054,12.3809,5.4151,0.3767,0.3
2017-12-31,1.3439,0.6217,2.5128,62.1093,21.4156,21.4156,24.8951,19.0268,3.4464,0.412,5.168,9.8751,36.9616,6.7608,54.8056,1.4597,2.5579,4.4557,0.3849,0.2811
2018-12-31,0.8662,0.5711,2.32,61.9038,26.6822,26.6822,29.8484,23.9796,18.758,0.4122,4.255,9.308,39.2136,33.9805,256.0696,7.7822,14.5744,4.4653,0.1457,0.2231
2019-12-31,0.7567,0.566,2.0269,60.7712,27.0649,27.0649,30.7277,28.9433,23.936,0.4314,4.3264,9.3845,38.8938,42.587,158.5215,10.4016,18.4823,4.9294,0.6531,0.7061
2020-12-31,1.3177,0.6534,2.0106,59.3112,27.2521,27.2521,31.9047,29.5299,23.4658,0.3782,4.113,10.5006,34.7598,36.4969,106.9089,8.8985,12.6496,4.9475,0.1501,0.1292
