date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.8137,0.5502,1.2497,70.2663,14.3639,14.3639,23.8092,5.6213,6.7604,0.3056,5.4398,4.2825,85.2297,7.1081,7.0747,2.2809,3.1825,19.4273,1.9278,0.9769
2006-12-31,0.9507,0.5126,1.0782,72.3866,18.3346,18.3346,27.6737,9.3149,5.3865,0.3579,6.3214,4.9647,73.519,6.9112,6.882,2.3483,3.3543,20.843,0.9677,1.5798
2007-12-31,0.5877,0.3903,1.0171,73.1122,20.7941,20.7941,29.7969,12.698,7.6888,0.3536,5.1894,7.1602,50.976,8.9672,8.9324,3.1289,5.4463,22.4268,0.8723,0.7299
2008-12-31,0.6274,0.3987,0.9546,70.9897,20.9168,20.9168,29.8742,13.2768,8.9952,0.3405,5.5794,11.3071,32.2807,8.3574,8.3333,3.3479,5.0111,23.8914,0.3842,0.8862
2009-12-31,1.4942,0.4512,0.8513,75.4695,18.0246,18.0246,30.2932,6.9045,3.79,0.2714,3.4126,10.6184,34.3744,2.936,2.928,1.2486,1.607,24.1735,1.05,0.5604
2010-12-31,1.3683,0.374,0.6042,75.0551,26.8074,26.8074,36.9958,15.9356,9.3233,0.3217,4.4645,11.3425,32.1799,6.6484,6.633,3.191,4.152,26.4367,1.5133,2.4736
2011-12-31,1.4689,0.3438,0.5359,73.7264,29.1474,29.1474,38.9506,21.6842,15.6651,0.3415,5.0301,12.6404,28.8758,10.8727,10.851,5.4011,7.12,27.8289,1.1937,0.6277
2012-12-31,1.2295,0.3128,0.4728,74.1178,31.9798,31.9798,40.8604,27.5351,16.8454,0.35,4.6131,12.1928,29.9357,11.1766,11.1565,5.9319,7.6673,30.8787,0.3066,0.0495
2013-12-31,1.2899,0.3356,0.5954,74.3722,31.1738,31.1738,40.5985,23.2811,14.8229,0.3187,5.0058,11.9481,30.5489,9.6254,9.6094,4.7516,6.3847,33.3542,1.1193,1.3445
2014-12-31,0.7991,0.3101,0.5663,74.3471,31.3958,31.3958,41.4109,27.6706,19.4948,0.3231,5.9559,14.1911,25.7204,12.4273,12.4087,6.3224,8.5611,36.8152,0.9692,0.5814
2015-12-31,0.7088,0.3262,0.5683,78.0925,33.2314,33.2314,44.9975,27.8072,19.981,0.29,3.8426,14.071,25.9399,11.5038,11.4872,5.8182,7.7404,38.9513,0.0677,1.3247
2016-12-31,0.8705,0.3402,0.5627,82.8849,35.0655,35.0655,48.1321,28.3909,20.4738,0.2647,2.618,12.2209,29.8668,10.9108,10.8957,5.4426,7.1884,41.3153,0.2563,2.3552
2017-12-31,0.6999,0.3148,0.5384,81.9699,35.6808,35.6808,48.1048,33.8496,37.2372,0.2808,3.0882,10.8617,33.6045,19.8362,19.8113,10.4787,13.5743,47.2199,1.2625,0.7981
2018-12-31,1.4215,0.343,0.524,81.1643,36.3412,36.3412,49.1157,32.6787,23.1098,0.2866,3.189,9.0106,40.5077,12.2762,12.2626,6.6464,8.0568,50.8707,0.5024,0.577
2019-12-31,1.483,0.4048,0.684,80.4745,30.9246,30.9246,43.1612,27.5087,18.7962,0.2928,3.7158,10.4522,34.9208,11.4086,11.3951,5.5258,6.7821,49.3768,1.7798,1.693
2020-12-31,1.3136,0.462,0.8602,84.126,38.0992,38.0992,51.6942,31.2695,23.4293,0.2642,3.2854,10.654,34.2595,14.1405,14.1231,6.2134,7.5982,48.1466,0.383,1.3796
