date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-11-30,7.6863,0.3305,0.4937,15.8227,14.4723,14.4723,14.9961,15.5744,9.7725,1.1057,1.4844,46.3419,7.8762,25.6009,26.5891,10.7199,17.1389,33.3296,1.884,1.7526
2006-11-30,7.9956,0.3143,0.4584,6.7333,5.5449,5.5449,5.8524,5.795,3.6508,1.311,1.9372,102.2784,3.5687,10.4163,10.7883,4.7861,7.1422,36.049,1.54,1.5054
2007-11-30,5.7226,0.3752,0.6006,24.0773,25.7776,25.7776,25.2204,30.2459,19.0549,1.1191,2.8085,9.3524,39.0274,50.7855,50.7855,21.3241,31.7297,23.9051,0.6056,0.4391
2008-11-30,7.088,0.4924,0.9702,6.7717,9.6075,9.6075,8.8412,12.3623,24.2401,0.6162,1.0856,13.0734,27.9194,42.4392,42.4392,14.9926,21.5401,16.3368,4.1315,4.1398
2009-11-30,8.5533,0.5162,1.067,10.9844,14.7533,14.7533,14.0595,24.3767,13.3727,0.4264,0.8469,6.8336,53.4129,17.2356,17.2356,6.098,8.3385,13.9971,4.4821,4.489
2010-11-30,5.1886,0.4948,1.2205,7.1012,4.0457,4.0457,4.699,3.0815,3.0649,0.3498,0.6849,37.396,9.7604,3.771,3.771,1.3707,1.9052,17.1156,1.0158,1.0445
2011-11-30,4.8843,0.5044,1.2589,6.4202,3.3428,3.3428,4.7042,3.1652,2.94,0.3381,0.6643,57.3464,6.3648,3.4068,3.4068,1.2294,1.6883,17.5344,2.7796,2.8037
2012-11-30,6.4633,0.5002,1.1511,10.8068,7.7049,7.7049,8.9115,5.4106,16.2771,0.3962,0.7256,76.3817,4.7786,16.4283,16.4283,6.3436,8.2102,20.8889,0.6141,0.2647
2013-11-30,6.9186,0.4755,1.0138,14.0166,11.5556,11.5556,12.4629,11.49,7.9672,0.5265,0.7731,36.2409,10.0715,10.9115,10.9115,4.479,5.7236,22.6756,1.6335,0.8164
2014-11-30,8.7166,0.4702,1.0051,14.1289,11.8517,11.8517,12.622,12.4654,8.1123,0.602,0.8635,31.4696,11.5985,11.9721,11.9721,4.8649,6.3424,25.6112,0.1206,0.2493
2015-11-30,7.8572,0.4579,0.9743,13.7456,11.4631,11.4631,12.1338,12.7677,8.3825,0.657,0.9349,41.2836,8.8413,13.7679,13.7679,5.6812,7.4641,28.1799,1.6724,0.982
2016-11-30,8.933,0.3882,0.7208,13.6523,11.5284,11.5284,12.1206,12.1504,8.2434,0.7128,1.0301,35.1532,10.3831,12.6615,12.6615,5.9439,7.7462,30.7562,3.9397,3.1377
2017-11-30,8.415,0.4453,0.8809,12.8486,10.588,10.588,11.2019,9.4067,6.3469,0.6747,1.0148,91.862,3.9734,9.6637,9.8318,4.1171,5.3608,33.2805,1.9848,1.7308
2018-11-30,13.8953,0.3678,0.5829,11.3466,8.9311,8.9311,9.2599,10.9991,8.1713,0.7201,1.0685,86.8584,4.2022,11.6973,15.2796,6.0124,7.3945,45.2845,1.3403,1.3889
2019-11-30,14.368,0.3266,0.486,12.5892,11.0567,11.0567,11.3532,10.9359,8.2343,0.7582,1.0945,67.6328,5.3968,11.489,14.6299,6.2744,7.7366,50.7573,0.8273,0.6763
2020-11-30,11.4248,0.2476,0.3292,15.4481,13.8544,13.8544,14.1647,13.8904,10.8349,0.7513,1.1235,75.2964,4.8475,13.6333,16.8353,8.243,10.2579,57.8812,8.8894,8.926
