date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.7908,0.2428,0.6094,41.7809,18.575,18.575,23.7198,19.2541,11.606,0.8586,29.6223,6.7442,54.1204,20.4805,162.9537,9.9644,15.5088,14.9067,3.9627,3.3271
2006-12-31,0.9528,0.2337,0.5854,42.5922,19.4135,19.4135,24.0337,20.0763,12.0196,0.8975,24.4531,6.6337,55.0224,21.83,368.5744,10.7878,16.728,16.1792,0.7314,0.5133
2007-12-31,0.9686,0.3844,0.9662,41.5712,19.0994,19.0994,23.374,19.7213,11.7202,0.9313,29.5647,6.5279,55.9137,27.6358,90.3716,10.9153,17.0116,15.5432,1.1567,0.8463
2008-12-31,1.8885,0.4867,1.0195,41.5919,18.7095,18.7095,22.9491,17.4399,10.3103,0.9648,28.9165,7.133,51.1706,28.3007,36.571,10.2324,14.5281,15.6035,1.134,0.901
2009-12-31,0.9187,0.3169,0.6621,41.9814,19.9352,19.9352,24.2678,18.8425,11.5726,0.9704,30.2644,8.1761,44.6425,26.3805,49.0293,11.4846,18.0197,20.001,0.9199,1.2739
2010-12-31,1.0208,0.4255,0.8873,41.9233,19.5607,19.5607,23.7455,18.2977,11.1553,0.8087,28.1054,7.6326,47.8215,23.1764,31.5958,9.2375,13.3147,24.085,0.4786,0.3708
2011-12-31,1.4469,0.4545,0.8872,41.0425,17.112,17.112,21.3576,15.6271,9.377,0.9068,29.491,7.9198,46.0868,21.2942,29.6331,8.7225,11.6169,25.5982,0.0214,0.2226
2012-12-31,1.3532,0.4446,0.977,39.6675,18.0467,18.0467,22.1462,16.6485,10.2814,0.8346,28.2785,7.8934,46.2412,21.5206,31.5767,8.6063,11.9532,29.0631,0.2339,0.1227
2013-12-31,1.9466,0.537,1.2044,38.2763,17.0601,17.0601,21.0612,15.7637,9.879,0.8338,26.2645,7.4019,49.3114,23.0964,27.3544,8.2602,10.6944,29.07,0.2797,0.1594
2014-12-31,1.7338,0.4875,1.0742,36.6475,15.0426,15.0426,19.1596,13.6503,8.5036,0.8233,27.3011,7.3699,49.526,18.1741,29.213,7.0202,9.3146,33.3392,0.3651,0.5136
2015-12-31,1.5414,0.5457,1.287,33.4478,11.4837,11.4837,16.7809,8.364,5.0414,0.6154,30.245,6.3151,57.798,8.8714,9.5776,3.1103,4.0302,48.8164,1.2122,1.0145
2016-12-31,1.3563,0.4905,1.0624,29.8757,13.3007,13.3007,18.5431,11.2385,7.4511,0.6705,32.6457,6.2902,58.0269,12.9482,16.5058,5.0039,6.5974,53.6105,1.7121,1.8702
2017-12-31,1.2508,0.4825,0.9938,29.9942,12.662,12.662,17.8347,10.4531,11.9044,0.6182,31.7614,5.5794,65.4189,18.12,25.8855,7.3946,9.3766,66.7723,2.9412,2.3613
2018-12-31,1.5091,0.4643,0.8692,28.0269,11.6973,11.6973,16.5687,11.1908,7.7973,0.7002,34.3742,6.0857,59.9767,12.679,20.5558,5.4611,6.7923,70.4894,1.6955,1.9504
2019-12-31,1.1225,0.4373,0.8332,28.1485,11.5121,11.5121,16.5074,9.5623,7.1295,0.6403,33.9285,5.7052,63.9764,10.9013,19.0398,4.571,6.134,77.8498,1.9289,1.1617
2020-12-31,1.6649,0.3703,0.629,35.4316,17.494,17.494,25.2688,15.8751,11.1321,0.6964,21.3273,4.6339,78.768,16.6352,66.1737,7.7572,10.4756,95.9969,7.1367,7.6521
