date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.066,0.4285,0.8834,39.3809,16.8887,16.8887,25.5747,14.7597,9.4828,0.7298,12.4424,5.5238,66.0776,18.7596,32.1617,6.9774,10.7206,12.1053,4.474,1.8139
2006-12-31,1.1712,0.3956,0.6954,40.3172,18.2484,18.2484,26.6098,16.3864,11.8693,0.7498,13.0394,5.717,63.8443,21.6952,34.4251,8.8993,13.1121,14.1931,0.8465,0.1661
2007-12-31,0.9087,0.3955,0.8152,40.8956,18.996,18.996,27.2283,17.1559,12.5186,0.7026,11.7236,5.4568,66.8895,23.7262,40.1184,9.1167,14.3428,16.2986,0.707,0.1884
2008-12-31,0.7724,0.4625,1.1656,39.8388,17.4416,17.4416,25.3149,15.6076,11.2171,0.827,14.5955,6.7307,54.2293,29.1348,55.0636,9.6216,15.6609,14.0487,0.3752,0.4501
2009-12-31,1.2261,0.4572,0.895,43.8142,17.586,17.586,27.0322,16.1009,14.0018,0.6256,13.3475,5.6719,64.3518,22.9639,37.7474,9.0592,12.4652,18.4287,0.5375,1.2707
2010-12-31,1.127,0.4562,0.9043,43.1198,20.5813,20.5813,29.7252,19.4148,11.813,0.6623,14.4211,6.0793,60.0395,20.0814,31.2643,8.0791,10.9204,20.214,0.8226,0.9519
2011-12-31,1.0284,0.5018,1.132,42.6058,21.9339,21.9339,30.8479,20.6452,14.8596,0.6879,14.1623,6.2685,58.2274,29.705,52.8545,10.5283,14.8002,19.4185,1.8864,0.485
2012-12-31,1.1263,0.5101,1.1466,43.015,21.7124,21.7124,30.6308,20.4562,15.0748,0.6205,13.437,6.12,59.641,27.1609,46.6186,9.6407,13.3069,21.6758,1.1133,0.2503
2013-12-31,1.0946,0.534,1.2582,43.4465,22.0126,22.0126,31.3124,20.5199,14.717,0.5887,13.3281,6.3029,57.9103,26.2173,57.1429,9.0644,12.2164,23.8089,0.6397,1.1054
2014-12-31,1.1402,0.5896,1.5349,43.2739,21.2499,21.2499,30.783,19.5144,13.8027,0.6208,12.6352,6.8335,53.4132,29.0516,76.378,8.832,11.9213,20.777,0.0093,1.0523
2015-12-31,1.3872,0.6519,1.9259,44.6919,21.5386,21.5386,31.8022,20.0445,14.356,0.5882,11.2241,6.7308,54.2284,33.1942,128.41,8.685,11.5558,16.8247,0.4428,0.0604
2016-12-31,1.1622,0.621,1.7488,44.4181,21.3309,21.3309,31.9822,19.4418,14.2396,0.5449,10.6455,6.4193,56.8602,28.2669,88.34,7.9557,10.7118,19.0979,0.3687,0.6088
2017-12-31,0.9933,0.5445,1.3823,43.8105,21.5179,21.5179,31.9422,20.1356,10.9791,0.5558,10.3941,6.6421,54.9525,20.0891,52.4669,6.4005,9.1507,22.7041,0.8261,1.3827
2018-12-31,1.3331,0.1771,0.268,39.2019,35.3667,35.3667,50.182,34.0321,29.5295,0.1589,5.4634,3.4526,105.7162,7.5123,30.6658,4.5917,6.1815,104.3049,0.4177,0.6834
2019-12-31,0.8513,0.1719,0.2709,41.0373,10.3904,10.3904,26.9945,10.3691,8.0948,0.3259,9.8079,6.5312,55.8853,4.4098,27.1575,2.6232,3.6519,96.4145,0.288,0.8302
2020-12-31,0.7951,0.1969,0.3259,43.5341,12.194,12.194,29.1745,12.4215,9.1803,0.3088,8.8971,6.5378,55.8292,5.2896,50.5787,2.9718,4.2481,94.725,2.7625,3.1151
