date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.182,0.1186,0.1389,47.0602,9.6717,9.6717,11.238,9.4417,5.6426,1.2457,2.7957,13.858,26.3385,9.0356,19.3096,7.0289,7.964,1.6622,0.1926,0.0623
2006-12-31,2.994,0.1865,0.2504,45.2949,9.7755,9.7755,11.3066,9.2251,5.624,1.3987,3.4674,16.0267,22.7744,11.0655,28.6601,7.8665,9.0021,1.8818,0.042,0.0115
2007-12-31,3.3774,0.4302,0.7749,44.7985,10.7026,10.7026,12.3225,9.4084,5.9245,0.6572,1.9174,8.8583,41.2044,7.4869,124.6148,3.7587,4.2662,3.1673,0.0079,0.0047
2008-12-31,3.7683,0.3783,0.63,44.2134,10.1272,10.1272,12.0045,8.338,5.2343,1.0142,3.2214,12.9054,28.2827,9.5141,230.4147,5.1595,5.915,3.6467,0.2447,0.1729
2009-12-31,4.1718,0.3346,0.5113,45.3047,11.3015,11.3015,13.28,10.0255,6.2268,1.0138,2.9043,13.4342,27.1696,10.7795,73.315,6.2935,7.1731,4.1528,0.0981,0.1372
2010-12-31,3.7142,0.2793,0.425,44.2726,12.0604,12.0604,13.7377,10.9368,6.8453,1.0741,2.7937,12.9256,28.2386,11.8175,53.583,7.2676,8.5168,4.8608,0.0238,0.0392
2011-12-31,2.891,0.3604,0.5815,42.5704,11.055,11.055,12.7219,10.2687,6.4304,1.0219,2.5485,11.605,31.4521,12.7891,355.704,6.5714,8.1795,5.5941,0.1679,0.0883
2012-12-31,2.8371,0.3477,0.5695,41.8183,10.6224,10.6224,12.3242,9.9242,6.3359,1.1073,2.6629,13.2227,27.6041,13.3,156.3332,7.0157,8.6761,6.5951,0.0279,0.0361
2013-12-31,2.6548,0.3497,0.5555,40.9954,10.4726,10.4726,12.1805,9.399,6.1555,1.1203,2.7737,11.0513,33.0278,13.2564,120.0572,6.8962,8.6203,7.8148,0.7218,0.7187
2014-12-31,3.0029,0.3961,0.6786,39.3455,9.6419,9.6419,11.5029,8.7223,5.6605,1.2309,2.8512,11.2069,32.5693,14.0231,204.8569,6.9674,8.469,8.9657,0.1374,0.3013
2015-12-31,3.1128,0.3292,0.5088,39.3949,9.7965,9.7965,11.5788,9.0235,5.8841,1.2735,2.8005,12.1876,29.9485,13.588,72.9294,7.4935,9.1146,10.1929,0.4999,0.406
2016-12-31,2.9465,0.4876,0.9706,39.0458,8.8932,8.8932,11.294,7.89,5.4051,1.0338,2.7037,9.9751,36.5913,13.248,232.6555,5.4933,6.7889,11.1949,0.2799,0.1771
2017-12-31,2.8896,0.4379,0.8092,39.0229,8.6783,8.6783,11.0425,7.8734,5.4817,1.0395,2.4938,9.4799,38.5023,12.7649,729.3171,5.7327,7.1747,13.6082,0.3795,0.2708
2018-12-31,2.6746,0.464,0.8908,38.5197,7.4284,7.4284,9.9044,6.2596,4.0425,1.0424,2.5746,10.291,35.4679,10.0763,103.4165,4.2794,5.4009,15.3054,0.5798,0.4243
2019-12-31,2.1518,0.4239,0.8006,38.7954,7.1697,7.1697,9.6837,6.3251,4.328,0.9786,2.7605,11.0563,33.0129,10.7637,260.8897,4.2521,6.2006,16.4593,1.1715,1.0725
2020-12-31,2.0287,0.3315,0.5063,39.499,8.4753,8.4753,11.0508,7.6104,5.49,0.9408,2.9137,10.8338,33.691,11.2939,241.2352,5.1819,7.5497,18.6831,1.3122,1.6039
