date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1168,0.3782,0.6338,6.8175,7.6667,7.6667,9.5612,7.0298,4.9042,1.3413,18.051,8.1269,44.9127,23.1982,160.0877,6.578,14.4257,18.2107,7.1663,5.2255
2006-12-31,1.064,0.3902,0.6448,8.6673,9.5154,9.5154,11.4437,9.0661,6.3831,1.4034,21.8383,8.6224,42.3315,36.7374,85.1229,8.9582,22.4023,16.3515,1.4611,1.3556
2007-12-31,1.09,0.305,0.4495,10.1142,10.8141,10.8141,12.7705,10.4343,7.2452,1.4472,21.9022,8.4999,42.9417,30.9332,6740.0,10.4854,21.4984,23.9731,1.2953,1.1407
2008-12-31,1.0134,0.5543,1.3281,11.0558,12.2039,12.2039,14.2464,11.1815,7.7758,1.2372,19.347,7.8119,46.7234,110.541,45.1397,9.471,49.2688,7.2901,0.876,0.8151
2009-12-31,1.1657,0.5503,1.2235,9.4536,9.9551,9.9551,12.2666,9.5334,6.7773,1.2494,18.1951,7.2376,50.4312,71.8576,50.9881,8.4503,32.3167,11.0697,1.8324,2.5688
2010-12-31,1.1309,0.5894,1.4352,8.4167,8.9882,8.9882,11.2916,8.2722,6.3016,1.3007,17.7008,8.0237,45.4901,74.7498,42.7963,7.4445,30.6952,10.1069,1.3541,1.4362
2011-12-31,1.1619,0.8658,6.4535,8.0518,8.6453,8.6453,10.8131,7.8088,5.7098,1.2266,17.233,7.668,47.6002,266.4336,29.1571,7.0355,35.7459,3.1184,2.1921,2.2044
2012-12-31,1.1399,0.9937,161.7436,8.8932,9.3977,9.3977,11.4917,8.6304,5.8179,1.2205,14.636,7.1891,50.7714,7038.461,26.5705,7.1009,44.2956,0.1215,7.7591,7.7238
2013-12-31,1.1987,0.5557,1.2509,9.231,9.9321,9.9321,12.1147,9.1605,6.5722,1.2534,13.8297,7.7748,46.9467,59.9837,54.3278,8.1519,26.6486,15.4169,9.17,9.478
2014-12-31,1.1089,0.6437,1.8065,11.7233,12.5469,12.5469,15.0353,11.7083,9.0472,1.0783,12.576,6.797,53.7001,95.6765,41.7801,8.781,34.0914,10.828,1.9321,1.9926
2015-12-31,1.0471,0.822,4.9277,11.0815,11.6242,11.6242,14.1553,10.6054,8.8933,0.8222,7.4796,5.5881,65.3175,100.9364,26.9019,6.3403,17.9635,10.2211,4.2178,3.855
2016-12-31,1.2046,0.8989,8.8929,11.421,12.4508,12.4508,15.0201,10.0529,10.9389,0.9892,8.9698,5.7657,63.3058,227.9577,27.6281,7.658,23.0426,5.5571,0.9107,0.3874
2017-12-31,1.3556,1.0609,18.3802,12.7522,13.4988,13.4988,15.8907,10.5004,3.9291,1.0716,15.1456,22.0574,16.5477,243.5567,12.2887,4.0541,14.8387,2.7324,5.1651,4.622
2018-12-31,1.1184,0.8969,9.7336,13.53,13.6416,13.6416,15.8011,10.859,9.3858,1.198,15.5115,21.9976,16.5928,348.2402,39.3788,11.2443,35.9069,5.1566,11.3435,11.7493
2019-12-31,1.2235,0.7824,3.9905,13.9888,14.2864,14.2864,16.2743,12.1063,10.416,1.2585,14.2153,25.5935,14.2614,196.468,58.5196,13.1081,42.7444,11.325,14.8197,14.0467
2020-12-31,1.3908,0.659,2.0154,13.2328,13.2175,13.2175,15.1901,12.5921,10.4483,1.2896,16.0068,33.0627,11.0396,114.0775,88.5347,13.5831,38.8999,21.6416,3.3392,2.288
