date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.1285,0.4163,0.8824,53.8389,14.5109,14.5109,26.3935,0.1067,0.2348,0.4241,8.148,13.5353,26.9666,2.311,2.1011,0.7293,1.2263,11.4678,2.4205,1.0429
2006-12-31,1.4205,0.3137,0.5861,49.4344,14.6901,14.6901,23.8168,16.113,9.3975,0.4742,9.5325,14.6507,24.9135,12.7598,11.6853,4.7755,8.0196,12.4652,0.6998,2.3759
2007-12-31,1.5713,0.3244,0.5661,51.8385,15.8337,15.8337,24.8517,20.3398,12.372,0.4781,7.9482,16.4636,22.1701,16.5374,15.159,6.1672,10.2414,13.2522,0.9788,0.8751
2008-12-31,1.3924,0.3629,0.6421,55.0735,13.273,13.273,21.0787,11.9294,7.8493,0.4474,6.7975,8.3351,43.7908,10.55,9.712,3.6347,6.1876,13.8951,1.1665,6.5793
2009-12-31,1.2911,0.4434,0.8932,55.6386,11.5601,11.5601,20.8298,3.4867,3.2387,0.3793,6.3748,6.8191,53.5258,4.6419,4.267,1.4254,2.3751,13.6391,1.4443,0.0539
2010-12-31,1.2608,0.4627,0.8766,56.994,17.1669,17.1669,27.7153,14.037,8.8164,0.3514,6.021,9.7785,37.3269,10.7128,9.8809,3.3416,5.3091,14.155,1.4784,2.9173
2011-12-31,1.018,0.461,0.8884,59.1203,15.9341,15.9341,27.7333,12.746,9.4245,0.3325,6.0381,13.3061,27.4311,11.3241,10.8041,3.524,5.823,14.3607,1.2818,0.2585
2012-12-31,0.9748,0.4842,1.0041,61.1892,16.7943,16.7943,29.3295,13.9021,10.3345,0.2869,5.8901,10.1692,35.8926,10.8649,10.1981,3.1598,5.2606,15.0549,0.6217,1.2594
2013-12-31,0.7055,0.4609,1.038,62.8143,16.2933,16.2933,28.8391,13.3057,10.9345,0.2949,5.7531,6.9233,52.7205,11.638,10.9698,3.4385,5.9139,15.698,0.4969,0.8294
2014-12-31,0.8587,0.4961,1.0736,64.0331,16.2254,16.2254,29.4272,13.1332,11.4348,0.2777,5.3843,7.8406,46.5524,11.5012,10.8694,3.2801,5.477,16.4081,0.723,0.2404
2015-12-31,0.6083,0.473,1.0182,67.5191,17.7342,17.7342,30.4494,14.1781,11.6241,0.2604,4.7284,8.1831,44.6041,10.4965,9.9615,3.1284,5.2496,17.293,0.1566,0.3406
2016-12-31,0.7548,0.5151,1.1237,68.4247,16.6898,16.6898,28.9428,13.3554,11.1898,0.2482,4.7157,6.7302,54.2333,9.943,9.4535,2.8713,4.5837,17.8413,2.1355,3.4374
2017-12-31,0.4212,0.4779,1.2052,69.5612,19.8451,19.8451,33.4989,15.7531,13.5208,0.2384,4.629,7.0054,52.1028,11.1449,10.6362,3.2852,5.5536,18.942,0.5412,0.5751
2018-12-31,0.4775,0.523,1.242,69.2417,19.6378,19.6378,33.9842,16.129,14.4878,0.2291,5.1322,10.0856,36.1902,11.3832,10.9075,3.3839,5.2033,20.273,0.0105,0.6192
2019-12-31,0.4265,0.5059,1.2076,72.6151,21.3268,21.3268,36.8695,17.4342,15.2686,0.2184,4.4009,9.0746,40.222,10.8934,10.4903,3.395,5.1838,22.0592,0.5012,0.6342
2020-12-31,0.6839,0.5348,1.2171,75.5855,21.6628,21.6628,39.6663,16.5984,17.9742,0.1929,3.8433,8.2913,44.0223,10.9705,10.5978,3.5234,4.9301,23.5644,0.747,0.6223
