date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.5669,0.3965,0.7334,66.8477,29.7026,29.7026,51.1579,21.6908,13.4911,0.3194,117.452,10.4736,34.8495,9.2668,181.1676,4.3088,5.5808,27.5972,7.1063,4.0577
2006-12-31,0.4698,0.4306,0.8119,63.7046,27.19,27.19,48.5774,24.1509,15.1172,0.329,134.0395,10.7665,33.9013,11.6233,154.059,4.9728,6.6031,28.1752,0.2281,0.251
2007-12-31,0.397,0.4451,0.8842,64.7105,29.8572,29.8572,50.0457,23.3488,15.7505,0.3245,109.532,10.6489,34.276,12.3339,69.7393,5.1271,6.8304,31.4237,2.2539,1.9326
2008-12-31,1.2116,0.5098,1.0463,63.2475,27.747,27.747,47.8946,21.5939,14.068,0.315,107.8169,11.2889,32.3326,11.5871,35.3969,4.4466,5.6799,31.5906,0.8121,2.1703
2009-12-31,0.6582,0.4338,0.819,63.7917,24.7889,24.7889,44.612,16.345,12.9272,0.2205,50.3706,6.2076,58.7987,5.3979,22.9007,2.2648,3.0561,31.6415,0.4127,0.0434
2010-12-31,1.1306,0.4313,0.7596,63.8739,29.2531,29.2531,49.6308,21.741,13.3769,0.3195,,8.6405,42.243,9.8269,43.7673,4.3017,5.5886,31.6349,1.12,0.1947
2011-12-31,0.8755,0.5063,1.0484,58.7975,13.1913,13.1913,38.4535,6.1755,3.7196,0.2739,,7.7648,47.007,2.7512,5.0321,1.0224,1.3584,33.6726,1.078,0.5684
2012-12-31,0.7917,0.5014,1.0682,58.4295,14.7638,14.7638,40.2971,6.8024,4.2229,0.3407,,9.3803,38.9114,4.0282,6.8712,1.4405,2.0083,30.8299,1.881,2.0112
2013-12-31,0.8861,0.54,1.2196,58.5134,8.0298,8.0298,32.871,1.2379,1.3208,0.3494,,9.1528,39.8787,1.3903,2.1301,0.4615,0.6395,29.455,0.4951,1.0506
2014-12-31,0.6881,0.5705,1.3648,56.4861,13.3659,13.3659,37.8071,6.1561,4.2815,0.3672,,9.0699,40.2429,5.1388,6.2907,1.5722,2.2072,26.4249,0.1453,0.4435
2015-12-31,0.5756,0.5711,1.4385,56.5475,14.4078,14.4078,37.7933,7.352,4.905,0.376,,9.2126,39.6198,6.2447,7.2174,1.8444,2.6783,25.8551,0.1772,0.2967
2016-12-31,0.965,0.5758,1.4694,55.5009,13.3543,13.3543,35.7813,5.8386,3.5833,0.3716,,8.6614,42.1411,4.672,5.9174,1.3314,1.982,24.5158,0.7605,1.1004
2017-12-31,0.8635,0.6135,1.606,53.5399,11.3786,11.3786,33.6713,3.0585,7.867,0.2335,,6.905,52.8605,5.9129,7.0304,1.837,2.2855,21.9713,2.3542,0.5953
2018-12-31,0.6907,0.641,1.8187,55.7175,2.5244,2.5244,25.1993,6.9221,7.6749,0.3214,,9.4162,38.7631,8.7402,9.1297,2.4667,3.1374,18.3564,0.4291,0.1069
2019-12-31,0.6569,0.7063,2.5756,57.4331,12.7039,12.7039,9.8005,22.2108,24.5549,0.3314,,9.4989,38.4255,39.1166,29.8849,8.1385,11.4883,12.3571,0.3629,0.8316
2020-12-31,0.4787,0.7249,2.8523,56.8656,4.6447,4.6447,27.3851,3.7756,5.9482,0.3487,,10.5566,34.5756,11.0375,7.7353,2.0743,3.0366,10.1758,0.189,0.2035
