date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9407,0.1728,0.2989,31.6192,9.5596,9.5596,15.5327,10.2716,6.3819,0.5416,34.5733,29.3954,12.4169,7.2509,7.2509,3.4564,5.9983,8.3267,2.6278,1.206
2006-12-31,0.9009,0.1955,0.2619,28.9346,10.2796,10.2796,15.7715,8.6947,5.492,0.675,35.674,37.7012,9.6814,7.7376,7.7376,3.7073,6.2251,8.233,0.9215,1.1975
2007-12-31,0.9184,0.228,0.3013,26.6302,8.0215,8.0215,13.5078,10.7291,6.5409,0.5879,27.9344,35.3441,10.3271,9.2926,9.2926,3.8457,7.1738,9.4461,1.9981,1.9629
2008-12-31,0.9455,0.4139,0.7391,22.072,4.0733,4.0733,9.3985,2.522,1.6148,0.7836,42.3153,52.7416,6.9205,3.5938,3.5938,1.2653,2.1063,6.6933,5.7626,5.2786
2009-12-31,1.246,0.3787,0.6445,21.401,2.5314,2.5314,8.3671,1.5845,0.9565,0.7253,36.81,61.2426,5.9599,1.8152,1.8152,0.6938,1.1277,7.3426,3.3875,3.847
2010-12-31,1.2947,0.3155,0.5419,25.1322,8.1626,8.1626,13.2353,6.155,3.7921,0.7828,37.2922,62.0718,5.8803,7.3593,7.3593,2.9684,5.0373,8.3445,0.7604,0.8899
2011-12-31,0.9585,0.3112,0.5454,21.8483,4.4259,4.4259,8.9922,2.0628,1.1368,0.8666,30.5162,52.3679,6.9699,2.5883,3.0134,0.9852,1.7829,8.9016,0.34,0.9291
2012-12-31,0.909,0.3149,0.4984,21.5883,3.6458,3.6458,8.585,4.0087,2.4637,0.9189,28.5693,51.4699,7.0915,6.0212,6.991,2.2639,4.125,9.5739,0.9769,0.4452
2013-12-31,0.7851,0.2637,0.444,24.6172,7.2207,7.2207,12.1193,6.8309,4.2601,0.9149,28.5696,42.2411,8.6409,10.2781,11.8442,3.8976,7.5672,10.4729,0.7233,0.5082
2014-12-31,0.663,0.3061,0.4791,29.5297,11.9592,11.9592,17.0008,9.7608,6.1059,0.9433,38.3363,50.9726,7.1607,16.7675,19.5693,5.7598,11.6358,10.0282,0.7196,0.204
2015-12-31,0.5433,0.3095,0.5348,37.3966,20.7669,20.7669,25.888,17.553,11.004,0.93,39.8971,41.8144,8.7291,29.6412,34.1421,10.2337,20.4673,11.3619,0.6706,0.1312
2016-12-31,0.6572,0.316,0.529,36.6997,17.3592,17.3592,23.3772,17.0043,10.7595,0.8713,38.1098,37.1593,9.8226,25.8619,29.2197,9.3747,17.6904,13.7216,1.9419,1.7732
2017-12-31,0.7016,0.3282,0.5246,35.3353,16.1118,16.1118,21.8718,15.4403,15.8753,0.8421,32.5571,31.9426,11.4268,34.82,38.7153,13.3692,23.3921,16.3809,0.2662,0.5674
2018-12-31,0.6361,0.3122,0.5154,33.048,14.596,14.596,20.0637,14.4047,11.2224,0.837,31.9002,38.6708,9.4387,25.0178,27.7496,9.393,17.2077,17.8302,2.0086,2.181
2019-12-31,0.6673,0.1697,0.2877,32.1116,13.1844,13.1844,18.6196,13.1844,10.255,0.8661,28.7826,20.6519,17.6739,23.393,25.9535,8.882,19.4224,18.9418,1.1274,1.0578
2020-12-31,2.0215,0.54,1.1987,7.0181,42.1751,42.1751,28.3046,47.038,33.9744,0.2616,23.3889,8.0071,45.5847,34.6327,38.8819,8.8875,15.9308,15.032,9.3917,8.3825
