date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.7587,3.1447,,25.5431,25.5431,50.754,6.5742,1.8432,0.1859,,,,5.3286,5.4029,1.2223,1.2854,16.4426,4.5728,1.0416
2006-12-31,,0.7286,2.6845,,26.7993,26.7993,51.823,6.1224,2.1934,0.1823,,,,4.3745,4.4182,1.116,1.1871,17.7599,0.2491,4.824
2007-12-31,,0.7593,3.154,,26.349,26.349,51.2958,9.5112,7.388,0.1948,,,,8.2431,8.3271,1.8525,1.9841,15.5899,0.3258,5.8724
2008-12-31,,0.7493,2.9892,,25.9173,25.9173,50.7196,8.3454,4.6982,0.1925,,,,6.9774,7.0418,1.6066,1.7489,15.6817,0.512,3.6085
2009-12-31,,0.7554,3.0881,,24.8915,24.8915,51.078,8.6394,6.5033,0.1884,,,,7.1372,7.2014,1.6279,1.7456,15.5775,0.2248,3.2123
2010-12-31,,0.7351,2.7749,,22.43,22.43,50.402,7.583,4.7517,0.1747,,,,5.3319,5.3728,1.3247,1.4125,15.5037,0.7526,3.0531
2011-12-31,,0.6893,2.219,,21.6688,21.6688,50.7011,7.3263,11.9139,0.1619,,,,3.8606,3.882,1.1343,1.1993,19.0832,0.2237,3.4591
2012-12-31,,0.6391,1.7711,,26.0364,26.0364,53.6538,13.0766,22.1109,0.173,,,,6.4759,6.5041,2.2247,2.337,22.3346,0.5056,3.8692
2013-12-31,,0.5273,1.1154,,23.5615,23.5615,52.4845,6.0185,18.1405,0.0929,,,,1.2106,1.2122,0.5509,0.5723,41.6076,0.049,5.4144
2014-12-31,,0.5351,1.151,,23.2012,23.2012,51.4641,14.8123,14.9124,0.1455,,,,4.9461,4.9499,2.2127,2.2994,40.5459,0.2752,0.5047
2015-12-31,,0.5205,1.0854,,27.8974,27.8974,54.6894,33.7962,31.8655,0.1523,,,,11.1072,11.1128,5.122,5.3261,41.876,1.0289,2.4795
2016-12-31,,0.4039,0.6775,,24.4438,24.4438,52.2986,20.0702,18.8311,0.097,,,,3.3785,3.3785,1.9338,2.0141,58.5114,0.0136,1.0795
2017-12-31,,0.4065,0.6848,,23.2033,23.2033,54.906,22.3537,21.2357,0.133,,,,5.1801,5.1801,2.9633,3.0746,57.8469,0.3424,0.0396
2018-12-31,,0.4154,0.7106,,25.4884,25.4884,56.4176,14.7518,13.9505,0.1388,,,,3.6255,3.6255,2.0401,2.1194,55.973,0.6379,0.0132
2019-12-31,,0.4146,0.7083,,26.354,26.354,57.0403,22.4653,21.3357,0.1461,,,,5.8291,5.8291,3.2645,3.4123,55.0519,0.3974,1.5516
2020-12-31,,0.4284,0.7494,,25.4778,25.4778,56.267,15.8429,14.9748,0.1499,,,,4.3364,4.3364,2.3584,2.4788,53.2325,0.3483,1.7962
