date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.7702,0.4468,0.9792,28.544,12.72,12.72,15.2,11.4,7.52,0.9953,7.9255,7.2844,50.1072,18.3375,240.2703,7.0786,10.1449,11.5693,3.1953,2.6256
2006-12-31,1.5093,0.4414,1.1136,27.5462,8.9287,8.9287,13.5291,7.1286,3.9043,1.0141,7.1702,7.7489,47.1034,10.2438,220.1923,3.716,5.7221,11.6466,0.1753,0.5356
2007-12-31,1.9958,0.4963,1.0157,27.4512,9.2964,9.2964,13.4583,7.6755,3.277,1.0464,7.3535,8.1231,44.9334,13.3913,228.3898,4.9418,6.7451,11.2148,0.4032,0.786
2008-12-31,2.1332,0.5677,1.3371,24.8735,0.949,0.949,8.3825,2.035,4.1965,1.0001,7.5717,9.4935,38.4474,10.9695,47.4601,3.4483,4.7419,8.4832,1.1654,1.1819
2009-12-31,1.9377,0.5613,1.4086,26.2505,0.9142,0.9142,4.2314,1.7762,2.4292,0.8346,7.6003,7.7894,46.8584,3.2659,15.8348,1.0027,1.4328,8.0394,0.2493,0.0238
2010-12-31,2.3295,0.7182,2.5904,24.4857,6.1849,6.1849,2.4579,9.8985,13.9728,0.9197,7.7227,8.4302,43.2968,62.0101,91.6822,12.0516,17.4742,4.5382,0.6761,0.7265
2011-12-31,1.4511,0.8128,5.4245,24.9233,2.9986,2.9986,0.6695,5.4672,8.0614,0.9826,7.0,7.8446,46.5286,47.4394,26.171,4.8239,8.8799,2.1328,0.6456,0.6696
2012-12-31,1.7277,0.865,6.794,26.0974,4.0294,4.0294,6.8846,0.974,1.5477,1.0902,7.6295,8.0332,45.4363,3.3708,1.1913,0.2618,0.455,1.5301,0.1184,0.3344
2013-12-31,2.0569,0.813,4.3545,28.975,9.0519,9.0519,12.084,5.7092,4.171,0.9718,6.2771,6.7341,54.202,38.1194,23.7154,4.3122,7.1293,2.2518,1.0272,0.8949
2014-12-31,1.6373,0.7213,3.0355,29.4034,10.2912,10.2912,12.889,7.2367,11.9755,0.972,6.9466,8.5439,42.7205,76.9504,594.5206,12.0422,21.448,3.2696,0.1222,0.1591
2015-12-31,1.3849,0.9764,58.7414,31.5458,12.7975,12.7975,14.9398,9.6472,4.9006,1.2609,7.1164,8.3728,43.5935,682.7586,42.0829,6.9915,16.091,0.1755,0.6652,0.5728
2016-12-31,2.0096,1.0356,29.0971,33.4465,14.767,14.767,16.9271,11.3028,6.6159,1.4329,6.8806,8.0273,45.4701,520.3884,49.2195,10.4341,18.5339,0.3239,0.0155,0.1193
2017-12-31,1.9574,0.9419,16.8579,36.9139,17.1101,17.1101,19.6375,11.9388,8.7795,1.0867,4.8393,5.6417,64.6974,258.4699,55.9763,8.5472,15.0064,0.5896,0.0293,0.0476
2018-12-31,1.6425,0.9773,43.1739,34.9715,16.1858,16.1858,18.8458,13.6309,10.9258,1.2338,5.4223,6.7212,54.3057,994.2029,93.9726,12.7202,22.5658,0.2348,1.0,0.8007
2019-12-31,1.7513,1.0206,49.5179,35.3511,16.2219,16.2219,18.7714,13.6276,13.8512,1.3342,5.7507,6.7272,54.2575,1221.429,83.0097,13.6065,25.1934,0.2032,0.4692,0.2459
2020-12-31,1.804,0.869,6.639,35.9905,18.0161,18.0161,19.8943,15.7346,16.9032,1.2442,5.2523,6.3163,57.7866,204.7506,172.7455,14.9212,26.8285,1.6305,0.7174,0.7339
