date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.6638,0.7925,3.8192,45.881,21.7017,21.7017,31.3919,10.8844,7.2323,0.2961,29.6613,17.3783,21.0033,13.4577,28.215,2.1033,2.7925,11.3483,3.9914,1.591
2006-12-31,0.9191,0.7715,3.3757,48.2291,24.5019,24.5019,33.5714,13.6278,9.0338,0.324,31.3615,18.8079,19.4068,16.5213,29.1527,2.8718,3.7757,13.5591,0.2313,3.3578
2007-12-31,0.6528,0.6484,1.8439,47.6372,37.2343,37.2343,46.3954,28.062,20.5992,0.3384,31.7278,18.6268,19.5954,23.1086,31.5745,6.1623,8.1257,20.6309,0.8889,4.5206
2008-12-31,0.5106,0.7575,3.3878,44.0352,1.7979,1.7979,9.1452,9.2802,11.8645,0.3097,36.1811,19.5837,18.638,21.5201,24.1552,3.6747,5.2181,14.3735,0.6426,6.492
2009-12-31,1.281,0.7703,3.6316,40.5831,16.0363,16.0363,3.7226,33.4841,21.4901,0.2669,35.0785,7.9819,45.7286,33.3731,37.5508,5.7362,7.6674,8.7721,1.138,1.046
2010-12-31,1.168,0.8043,4.1088,37.3463,19.1369,19.1369,7.2246,36.5922,23.7351,0.3195,39.3633,12.1637,30.0074,49.0218,57.2167,7.5845,9.5955,6.0022,0.4343,0.42
2011-12-31,1.6121,0.5768,1.3631,35.9643,51.6879,51.6879,63.2933,36.0749,39.6804,0.2827,44.5856,15.9627,22.8659,32.735,166.9653,11.6506,13.8527,20.2159,0.0848,0.1634
2012-12-31,1.3019,0.6261,1.6744,35.3631,1.3247,1.3247,12.2525,18.9307,19.2962,0.3485,55.0423,20.6476,17.6776,19.9225,340.162,6.1515,7.4494,16.5892,0.656,0.3288
2013-12-31,1.2276,0.6311,1.7107,36.1985,11.5935,11.5935,20.6102,0.634,1.7507,0.3761,58.001,20.0928,18.1657,0.5264,9.1699,0.1586,0.1942,16.03,0.8165,0.5691
2014-12-31,0.8883,0.6267,1.8419,36.8309,13.1278,13.1278,21.5925,4.0754,1.4865,0.3791,61.231,20.659,17.6679,1.6672,34.7189,0.4782,0.6224,15.527,0.3728,1.0226
2015-12-31,1.0763,0.6143,1.6352,38.7885,1.7,1.7,23.6987,11.3845,4.8718,0.3645,53.9863,18.5078,19.7215,13.3899,47.9349,4.1231,5.164,13.7463,0.452,1.3783
2016-12-31,0.9722,0.5656,1.3028,41.7486,21.9259,21.9259,31.316,13.2681,11.6095,0.3364,56.4929,17.4578,20.9075,12.3965,30.406,4.3866,5.3853,17.3644,0.8242,0.428
2017-12-31,0.7572,0.5234,1.1118,42.6429,15.8604,15.8604,25.3671,8.8983,17.9087,0.3703,60.5436,18.4628,19.7695,17.9843,35.2339,7.1611,8.5714,20.5044,1.1365,1.8565
2018-12-31,0.8569,0.5903,1.4452,26.18,12.4923,12.4923,22.8565,5.3898,3.7868,0.3894,78.3491,17.1565,21.2748,5.5769,12.4129,1.9327,2.2846,19.8487,0.6776,0.1172
2019-12-31,1.2558,0.4687,0.882,24.7678,30.5451,30.5451,40.961,22.0682,15.8642,0.3808,94.323,9.3824,38.9028,17.4871,32.7967,6.5367,9.2917,25.1674,0.2966,1.5599
2020-12-31,3.2052,0.5254,1.107,7.9999,12.4453,12.4453,11.6714,29.2804,19.3179,0.1414,63.1211,9.2194,39.5906,11.8061,24.2412,3.6167,5.6031,22.6168,6.4525,5.592
