date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.1485,0.5109,1.0818,26.7103,10.1567,10.1567,12.4325,9.0955,5.8479,0.8234,3.9919,7.8006,46.7913,12.6589,52.4704,4.8151,6.1914,45.3092,8.3015,4.6455
2006-12-31,1.4806,0.3727,0.7493,28.2236,10.6132,10.6132,14.091,8.5546,5.7658,0.9627,4.629,8.6875,42.0142,12.2692,277.1531,5.5507,7.6962,54.8257,3.1897,4.4099
2007-12-31,2.0221,0.3004,0.4847,27.8774,9.888,9.888,13.9275,8.0637,9.3173,0.874,4.2859,9.2387,39.5077,15.1765,96.7845,8.2305,10.6173,68.8633,1.3628,1.4176
2008-12-31,2.5615,0.3687,0.6138,25.4567,16.4676,16.4676,10.4641,18.6406,21.3618,1.059,4.3557,9.804,37.2298,45.6064,154.9124,22.5333,28.7919,46.5491,4.4318,5.2353
2009-12-31,2.6685,0.3601,0.5794,23.0581,0.8183,0.8183,6.4883,1.4542,0.1029,0.8361,4.6046,7.9296,46.0299,0.0318,0.1015,0.0159,0.0204,46.7383,1.3979,2.9911
2010-12-31,2.1438,0.2848,0.5054,26.3693,5.9065,5.9065,11.4859,3.6218,3.4259,0.8721,3.8873,8.6563,42.1658,5.8056,15.5045,3.1142,4.152,47.6702,5.172,5.8513
2011-12-31,2.1775,0.26,0.4644,25.1119,5.5925,5.5925,10.8693,3.5424,3.0825,0.9091,3.7942,8.2229,44.3883,5.2177,12.4155,2.8717,3.8611,49.6618,0.2836,2.0089
2012-12-31,3.0774,0.2631,0.3718,25.744,6.5568,6.5568,11.3995,5.2608,4.3238,0.9182,3.7909,8.5183,42.8487,6.7451,14.0947,3.9801,4.9708,53.7882,4.1137,5.1042
2013-12-31,2.3362,0.323,0.5056,26.1379,7.4425,7.4425,11.6455,6.0632,4.7462,0.8652,3.4522,6.914,52.7912,8.2139,19.0983,4.3228,5.5608,61.5016,1.2146,3.279
2014-12-31,1.531,0.2407,0.5095,27.6057,9.9033,9.9033,14.3317,8.5077,6.8171,0.9418,3.6605,7.2123,50.608,12.0343,25.1484,6.4239,9.1375,60.6588,1.7626,0.8255
2015-12-31,0.9972,0.1965,0.6567,29.8664,10.3768,10.3768,14.8697,9.2778,7.6231,0.8125,3.5221,6.4187,56.865,12.6929,37.8297,6.2106,10.1984,65.7504,3.5226,4.3783
2016-12-31,1.2771,0.1633,0.4343,31.3963,14.2865,14.2865,19.3917,13.8533,10.3832,0.8757,3.6678,6.5103,56.0654,16.1419,34.9068,9.1252,13.506,77.9782,5.4923,3.2809
2017-12-31,1.5339,0.1808,0.3911,31.5701,14.2675,14.2675,18.9737,13.8849,10.2372,0.7847,3.333,6.0913,59.9211,13.7921,26.3161,8.0587,11.2983,94.9599,2.0923,5.1846
2018-12-31,1.3806,0.1692,0.4379,28.4272,10.9712,10.9712,16.1974,10.5092,8.5922,0.7622,3.1236,6.2158,58.7209,11.6243,21.8548,6.6024,9.6571,102.8954,0.1497,1.3359
2019-12-31,1.6329,0.1574,0.3162,26.8391,8.2966,8.2966,14.6789,7.5175,7.464,0.7448,3.1961,6.5312,55.8855,9.1623,16.09,5.562,7.7199,113.4472,3.8339,6.906
2020-12-31,2.262,0.2163,0.3201,25.4464,6.6582,6.6582,13.018,6.1177,5.3977,0.6667,3.7227,5.5877,65.3216,6.0381,10.4425,3.5995,4.7323,121.5339,5.1543,6.7424
