date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.0084,0.3766,0.6112,21.7151,15.8863,15.8863,22.8854,13.8049,9.7538,0.8118,6.9428,8.7786,41.5784,16.9093,33.8859,8.156,10.5405,25.6672,6.7215,2.0386
2006-12-31,1.8801,0.316,0.5691,23.9937,17.8057,17.8057,24.2999,16.0784,11.2694,0.8689,6.4586,8.9843,40.6266,19.4152,36.2031,9.7135,13.2801,27.9586,0.5723,0.4811
2007-12-31,1.2357,0.4727,1.1952,25.9544,19.6518,19.6518,26.5189,17.2034,12.0018,0.8157,5.6505,8.9052,40.9871,27.6181,72.193,9.7349,14.5618,22.8954,1.947,1.5253
2008-12-31,1.9075,0.5192,1.2739,22.2316,15.2799,15.2799,23.3656,11.6767,8.328,0.6979,5.1755,10.0022,36.4921,16.401,40.6059,5.7722,7.8859,25.7407,0.9357,0.983
2009-12-31,2.2938,0.4212,0.8897,21.0744,11.6259,11.6259,23.028,7.0311,5.4318,0.4857,3.7338,9.6632,37.7721,6.0187,10.9973,2.6132,3.4836,30.9789,1.1006,1.954
2010-12-31,1.806,0.3475,0.7035,19.4609,11.9982,11.9982,22.9818,7.8454,5.8695,0.5375,4.0108,9.0139,40.4928,6.7261,11.9823,3.2118,4.3886,32.2135,1.2953,1.1214
2011-12-31,3.787,0.4209,0.7317,17.6237,9.3959,9.3959,19.5152,5.87,4.8073,0.5444,4.3756,8.4105,43.3983,5.493,10.2288,2.5283,3.1812,31.6858,0.2513,0.6672
2012-12-31,4.0407,0.4181,0.7225,16.0999,7.6859,7.6859,16.4074,5.1248,4.1574,0.6428,5.13,9.069,40.2472,5.978,11.0633,2.7428,3.4784,31.5269,0.8137,0.7062
2013-12-31,3.5876,0.3927,0.6562,16.8846,10.1129,10.1129,18.174,7.6187,5.629,0.6612,5.1585,8.7831,41.5572,7.6309,13.211,3.6867,4.634,34.0442,1.8308,1.7621
2014-12-31,2.6325,0.2652,0.3643,17.6595,10.645,10.645,18.1754,8.424,5.2604,0.4097,5.0227,7.026,51.9499,3.5456,9.1388,2.1376,2.6053,64.6835,0.0104,0.7028
2015-12-31,2.95,0.2763,0.3889,20.537,13.9612,13.9612,21.4081,11.6907,8.159,0.5087,5.9953,8.6137,42.3741,7.1164,19.5045,4.1528,5.1502,62.969,1.9777,1.2965
2016-12-31,1.9876,0.2666,0.407,23.8753,17.7353,17.7353,25.2051,15.896,11.1394,0.5231,5.573,8.3395,43.7675,10.27,28.9036,5.8273,7.5317,65.5722,2.125,0.8091
2017-12-31,3.7901,0.3681,0.6465,24.5083,17.6619,17.6619,25.1563,15.6067,17.9872,0.441,4.9846,8.1389,44.8463,15.2355,35.3898,7.9333,9.6278,74.4752,0.383,0.8109
2018-12-31,1.7361,0.3555,0.6305,22.7741,16.2736,16.2736,24.3786,13.5735,11.0737,0.4444,4.9437,8.1106,45.0026,9.5042,22.9575,4.9249,6.1252,79.1904,0.7692,1.3025
2019-12-31,1.7015,0.3125,0.5181,24.8781,18.6723,18.6723,26.5114,15.7899,12.9117,0.4678,5.1536,8.2606,44.1857,11.4322,24.7803,6.0405,7.8594,85.7901,4.234,3.9169
2020-12-31,3.3413,0.3082,0.4456,26.4868,21.2563,21.2563,29.5757,18.8017,15.2435,0.447,4.9042,8.2245,44.3797,12.2359,24.2688,6.8152,8.4645,94.5955,1.4202,1.9317
