date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2094,0.4848,1.034,100.0,5.852,5.852,10.7122,2.9954,4.0071,0.5635,,3.693,98.8346,3.75,8.3299,1.1234,1.9319,9.8243,0.7348,0.1842
2006-12-31,1.1788,0.3988,0.8543,100.0,9.1683,9.1683,13.8878,8.8201,9.5745,0.5701,,3.8043,95.9449,10.861,35.5856,3.4846,6.5296,10.5433,0.6763,0.9199
2007-12-31,1.5614,0.3154,0.494,100.0,7.6695,7.6695,11.639,7.6785,22.2272,0.6415,,3.8744,94.2084,7.1209,884.127,3.2087,4.8748,15.031,1.9701,2.3403
2008-12-31,1.4129,0.3567,0.6253,100.0,6.3281,6.3281,15.1258,4.6039,0.6244,0.7056,,3.8947,93.7162,6.6146,27.1561,2.5056,4.2551,11.2004,2.3842,2.3119
2009-12-31,1.3273,0.341,0.6127,100.0,7.9137,7.9137,14.8306,5.6149,2.2683,0.641,,3.609,101.1352,9.0568,149.1573,3.4622,5.9683,11.0691,0.6038,0.423
2010-12-31,1.6992,0.3205,0.473,100.0,8.9005,8.9005,12.2844,7.2891,8.0,0.6891,,3.4761,105.0024,8.8075,138.4804,3.6904,5.9845,11.8684,0.1058,0.1874
2011-12-31,1.5106,0.3099,0.4929,100.0,14.2114,14.2114,17.0918,12.1812,8.6153,0.7458,,3.9663,92.0259,16.532,95.9922,6.3543,11.408,11.0168,1.7672,1.7516
2012-12-31,1.6731,0.2869,0.4417,100.0,15.3388,15.3388,18.2657,14.2234,9.8625,0.7321,,3.8993,93.607,18.2259,183.8168,7.3919,12.9966,12.1098,0.6995,0.7656
2013-12-31,1.654,0.2474,0.3705,100.0,16.9399,16.9399,19.8597,16.0917,11.0676,0.7221,,3.7042,98.536,17.2915,226.0656,8.1213,13.0144,14.586,0.0083,0.1326
2014-12-31,1.5048,0.3207,0.4737,100.0,17.767,17.767,20.7629,15.8829,11.3119,0.7279,,3.8351,95.1745,20.6225,183.875,8.2673,14.0082,13.2058,1.4286,1.4783
2015-12-31,1.3603,0.4,0.6686,100.0,18.7621,18.7621,22.043,17.8934,12.4021,0.7078,,3.7145,98.2638,24.7804,70.4262,8.9811,14.8673,12.65,0.3094,0.252
2016-12-31,1.1965,0.4175,0.7664,100.0,18.4013,18.4013,21.7168,18.7722,13.3828,0.7263,,3.6264,100.6506,28.6193,55.6935,9.8681,16.6713,12.2023,0.3078,0.4352
2017-12-31,1.305,0.4125,0.7373,100.0,18.9318,18.9318,22.3617,18.8463,10.6389,0.6865,,3.3932,107.5688,20.2903,51.6946,7.3915,11.9207,14.6291,0.1828,0.2741
2018-12-31,1.2051,0.4208,0.7679,100.0,18.4682,18.4682,21.7726,15.01,11.0368,0.6928,,3.4631,105.3983,22.02,48.3778,7.7394,12.7539,15.0525,1.1041,1.062
2019-12-31,1.0582,0.5749,1.5052,100.0,16.0762,16.0762,19.9616,14.6469,10.4612,0.531,,3.1803,114.7694,22.3215,18.6592,5.6542,9.4894,15.7715,0.1311,0.3269
2020-12-31,1.2439,0.5383,1.2217,100.0,17.8007,17.8007,22.1029,16.2158,11.7046,0.5212,,3.2339,112.8652,22.095,22.845,6.1908,10.2014,18.2382,1.9851,2.1215
