date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.9393,,,63.6814,6.5207,6.5207,13.6859,8.1266,5.1518,0.9837,5.8399,10.3944,35.1152,6.5334,6.5334,5.0677,6.5334,2.681,0.5575,0.4967
2006-12-31,4.8285,,,63.7128,1.176,1.176,14.7436,3.4271,2.3092,0.8951,5.6555,11.4695,31.8235,2.5539,2.5539,2.0669,2.5539,3.1266,0.089,0.2815
2007-12-31,5.0578,,,63.5974,7.2162,7.2162,18.7174,10.6504,8.6415,0.7764,2.7896,16.2646,22.4414,8.4196,8.4196,6.7095,8.4196,4.1111,0.276,0.3414
2008-12-31,5.5346,,,61.8817,14.0221,14.0221,17.5664,15.8506,15.0931,0.8219,3.2395,17.6095,20.7274,14.7141,14.7141,12.4046,14.7141,4.8933,0.3516,0.3946
2009-12-31,8.5068,,,59.1959,11.8358,11.8358,16.0495,12.2103,11.9231,0.6824,3.4324,10.6313,34.3327,9.2385,9.2385,8.1358,9.2385,6.0559,0.229,0.3559
2010-12-31,7.745,,,55.5004,13.9362,13.9362,17.9135,14.3575,13.509,0.7771,3.7761,11.9278,30.6007,11.9739,11.9739,10.4981,11.9739,7.0415,0.4149,0.0845
2011-12-31,8.113,,,51.6968,6.8273,6.8273,11.462,6.9846,6.7683,0.7176,4.7217,13.0171,28.0401,5.4764,5.4764,4.8567,5.4764,7.1802,0.0395,0.0352
2012-12-31,9.1347,,,52.9191,8.0814,8.0814,12.546,8.3671,7.3691,0.7446,3.1345,11.031,33.0887,6.1,6.1,5.4868,6.1,7.2406,0.5552,0.5379
2013-12-31,7.5888,,,53.7194,10.0445,10.0445,15.3378,10.0831,9.6173,0.6454,2.773,10.0333,36.3787,7.0804,7.0804,6.207,7.0804,8.4458,0.8841,1.0588
2014-12-31,8.3533,,,54.0174,12.494,12.494,17.2251,12.8805,12.5631,0.7075,3.1751,11.0236,33.1108,10.2461,10.6578,8.8878,10.2461,8.9211,0.2916,0.4585
2015-12-31,7.6688,,,54.0939,12.3309,12.3309,16.6081,12.7575,10.56,0.7723,2.4189,10.8033,33.7859,9.5442,9.8551,8.1552,9.5442,9.2851,0.1567,0.3014
2016-12-31,7.2369,,,54.2557,14.0087,14.0087,17.723,14.7335,13.5644,0.7604,2.4877,11.3486,32.1627,12.2287,12.5064,10.3145,12.2287,10.5684,0.8652,0.3635
2017-12-31,6.8142,,,54.8454,16.4407,16.4407,19.7418,17.6129,13.8456,0.7217,2.1419,12.3808,29.4811,12.4908,12.6735,9.9917,12.4908,12.544,0.4993,0.1245
2018-12-31,7.2205,,,55.4049,19.4869,19.4869,21.8769,20.3444,18.0754,0.734,1.9043,10.5477,34.6046,16.4457,16.6163,13.2674,16.4457,15.0592,0.1006,1.1048
2019-12-31,6.6705,,,55.1542,16.3336,16.3336,18.2112,18.015,17.3332,0.6566,2.2086,11.9141,30.636,14.0711,14.1917,11.3804,14.0711,17.7341,1.5552,0.1692
2020-12-31,5.7291,,,55.1783,18.8148,18.8148,20.8958,20.0535,19.4653,0.6988,2.4099,12.6334,28.8918,17.0057,17.1221,13.6017,17.0057,21.353,0.9696,1.6778
