date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-11-30,0.8128,0.791,24.4467,95.4559,26.848,26.848,30.3124,26.848,20.9947,0.0262,,0.3785,964.2206,15.5301,16.9852,0.5044,3.2453,27.5906,29.0313,29.5314
2006-11-30,0.7701,0.8039,25.0299,95.6207,30.4171,30.4171,33.3568,30.4171,25.0109,0.0266,,0.2995,1218.663,18.4888,19.8459,0.565,3.5128,33.7161,29.0321,27.5905
2007-11-30,0.7876,0.8591,23.7527,94.0813,12.1305,12.1305,13.8282,12.1305,11.2263,0.0268,,0.2779,1313.46,8.4955,9.4235,0.2452,1.1551,29.6027,36.9591,34.6242
2007-12-31,,,,94.3614,10.4842,10.4842,12.2781,10.4842,11.2395,,,,,,,,,,0.6055,0.6455
2008-11-30,0.7955,0.7628,8.4167,93.294,9.2445,9.2445,12.454,9.2445,6.419,0.0376,,0.5427,672.5921,5.7046,3.7888,0.2743,0.8433,48.5215,88.7142,88.8698
2008-12-31,0.8224,0.7843,8.7202,93.3017,5.664,5.664,9.2502,5.664,6.7525,0.0327,,0.5176,705.1556,4.0874,2.6742,0.1829,0.5399,46.0271,1.3862,1.3598
2009-12-31,0.822,0.7856,9.673,94.8883,4.854,4.854,10.1117,4.854,3.896,0.0302,,0.5234,697.3413,3.3045,3.5179,0.185,0.5797,38.7919,107.1542,108.277
2010-12-31,0.7912,0.7464,8.1456,95.4659,19.8463,19.8463,24.39,19.8463,11.5082,0.0387,,0.5767,632.877,9.7742,10.1017,0.6754,2.1155,43.258,67.542,69.118
2011-12-31,0.8267,0.7244,6.7724,94.9328,18.9593,18.9593,23.3159,18.9593,6.4139,0.043,,0.6622,551.2206,6.8485,7.9449,0.6262,1.8466,36.3666,19.5966,19.524
2012-12-31,0.8153,0.7216,7.4174,94.1363,2.2767,2.2767,8.3161,2.2767,0.1146,0.0335,,0.4072,896.368,1.1843,1.3765,0.0969,0.3221,33.1442,3.7215,3.8162
2013-12-31,0.7661,0.6899,6.9172,94.7343,14.0276,14.0276,18.6779,14.0276,8.171,0.039,,0.569,641.46,5.5554,6.181,0.4391,1.6424,35.4934,4.9902,5.0013
2014-12-31,0.7708,0.6794,5.4831,94.7309,10.477,10.477,13.8643,10.477,9.1962,0.0428,,0.7,521.3936,5.5702,5.9031,0.4593,1.6369,36.9578,17.3425,17.1732
2015-12-31,0.745,0.6687,4.593,94.6181,24.1644,24.1644,28.2407,24.1644,16.1314,0.0446,,0.7742,471.4424,9.1678,9.4497,0.7994,2.7375,39.6787,2.8362,3.0359
2016-12-31,0.7783,0.6823,4.8654,94.4558,25.5494,25.5494,30.5622,25.5494,15.9048,0.0425,,0.7454,489.674,8.7888,9.019,0.7512,2.5205,41.6614,5.1379,5.1647
2017-12-31,0.7732,0.7105,5.1636,94.4841,27.416,27.416,32.0358,27.416,14.7266,0.0446,,0.6753,540.4732,8.914,8.9814,0.732,2.3003,43.8827,5.3266,5.545
2018-12-31,0.8085,0.6997,4.7606,94.0335,28.0176,28.0176,32.6153,28.0176,20.5002,0.047,,0.7525,485.0468,12.193,12.2486,1.0412,3.2785,47.8907,6.677,6.4985
2019-12-31,0.747,0.6996,4.8779,93.981,27.2846,27.2846,33.6657,27.2846,20.551,0.0463,,0.7443,490.3737,12.4527,12.5764,1.0316,3.355,51.881,20.6585,20.6182
2020-12-31,0.7323,0.6779,4.3519,93.923,29.9141,29.9141,37.7339,29.9141,21.7851,0.0432,,0.4931,740.1553,11.9053,12.9186,1.0018,3.491,57.0002,40.3979,40.1737
