date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.2652,0.4024,0.6831,49.2636,13.1731,13.1731,15.6968,10.8052,7.346,0.8878,5.0076,5.452,66.9483,16.5253,83.2629,6.522,9.8751,15.9164,4.0905,3.3726
2006-12-31,1.7425,0.354,0.5638,49.5596,13.4439,13.4439,15.7996,12.8438,9.8772,1.0049,5.422,5.1972,70.2301,24.9709,165.4036,9.9259,16.1312,16.4159,0.6064,0.5851
2007-12-31,1.5258,0.3985,0.6824,49.9614,14.6618,14.6618,16.7995,13.5396,9.9516,1.0688,5.1666,5.0586,72.1548,30.709,440.7687,10.6367,18.4721,16.3109,1.3031,0.9546
2008-12-31,1.579,0.4674,0.9023,50.3248,15.2249,15.2249,17.2286,13.4832,10.2759,1.1859,5.7455,5.6605,64.4815,40.2939,1160.46,12.1858,21.4617,14.9798,0.3668,0.0935
2009-12-31,1.3061,0.2226,0.4128,51.4409,16.3479,16.3479,18.7471,13.0006,9.9831,1.0059,4.9959,5.5235,66.081,24.27,104.6627,10.0416,18.8682,21.0079,0.4165,0.0872
2010-12-31,2.1116,0.4649,0.8829,52.6983,17.1021,17.1021,19.3645,15.6243,11.7951,0.8621,4.2882,5.3347,68.4195,30.0872,99.843,10.1683,16.1003,23.796,1.0749,0.6096
2011-12-31,1.6707,0.379,0.6465,52.7545,16.4851,16.4851,18.6284,15.1203,11.6698,1.048,4.5193,5.4318,67.1965,34.5001,127.1289,12.2304,21.4249,24.7274,0.695,0.0732
2012-12-31,1.5378,0.2956,0.4699,53.0019,18.0712,18.0712,20.4106,16.3398,12.4213,1.1579,5.5317,5.3534,68.1809,35.1596,113.0364,14.3821,24.7666,27.2022,1.7442,1.6777
2013-12-31,1.62,0.2975,0.4417,53.8859,18.8465,18.8465,21.3393,16.9279,12.8667,1.1051,5.2137,5.0974,71.6051,32.7355,83.9092,14.2183,22.9971,31.7107,0.9604,1.2776
2014-12-31,1.2512,0.3182,0.6281,54.6565,19.2152,19.2152,21.7414,17.9005,13.6059,1.2374,5.5113,5.7064,63.9633,47.0044,207.8593,16.8354,32.0491,25.4787,2.9085,2.5834
2015-12-31,1.4248,0.4977,1.0158,56.4401,20.9212,20.9212,23.5945,19.346,14.7288,1.2226,4.8672,5.8224,62.6891,60.7832,1864.711,18.0071,30.5315,21.427,1.3907,1.504
2016-12-31,1.5264,0.668,2.0555,57.32,21.4143,21.4143,24.1571,20.1013,15.3242,1.1576,4.8212,5.5128,66.2096,88.3725,184.3591,17.7393,29.3412,16.7157,1.493,0.1934
2017-12-31,1.4597,0.6369,1.7904,57.8246,22.3816,22.3816,25.1753,21.072,13.7969,1.0687,4.5002,5.1551,70.8039,68.6983,171.4605,14.7451,24.9409,21.4275,2.5122,2.7093
2018-12-31,1.424,0.6254,1.7535,57.3779,23.2656,23.2656,26.1506,22.2054,17.462,1.1209,4.6544,5.4817,66.5856,86.8739,316.3774,19.5739,32.545,23.6764,2.3534,1.5091
2019-12-31,1.4707,0.7459,3.0686,57.8735,24.2098,24.2098,27.1573,22.6478,18.6499,1.0786,4.6209,5.3132,68.6964,133.3497,174.5605,20.1163,33.8807,17.4417,2.2475,3.6253
2020-12-31,1.2577,0.8196,4.7209,58.3769,25.4132,25.4132,28.6127,24.269,19.5366,1.0962,4.3148,5.1956,70.2521,213.2268,129.7943,21.4151,38.4682,12.0431,5.7844,5.9312
