date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.6863,0.4843,1.2384,47.9065,12.5781,12.5781,25.2068,9.9865,7.6059,0.3591,10.8836,8.2839,44.0613,10.5245,10.5245,2.7311,5.4277,5.4184,1.0027,0.6028
2006-12-31,0.7635,0.4913,1.242,43.0745,13.3482,13.3482,22.3934,10.6811,8.154,0.4386,11.3924,9.4867,38.4749,12.9003,12.9003,3.576,6.5622,6.1296,0.5723,0.1671
2007-12-31,0.6563,0.5124,1.276,46.3277,14.9577,14.9577,24.6478,11.007,8.596,0.3804,9.5589,8.8687,41.1561,12.2217,12.2217,3.2699,5.9596,6.594,0.6673,0.3168
2008-12-31,0.7013,0.5422,1.4627,48.7386,17.2151,17.2151,27.2273,12.73,9.9878,0.3661,8.6901,9.6134,37.968,14.0313,14.0313,3.6568,6.4239,7.14,0.1297,0.6848
2009-12-31,0.6725,0.5569,1.4567,52.6625,16.5825,16.5825,29.3933,12.4145,10.3241,0.3228,8.4436,6.9617,52.4295,12.4547,12.4547,3.3328,5.5182,7.8303,0.6275,0.1906
2010-12-31,0.7616,0.5547,1.4399,59.2479,21.0681,21.0681,34.6021,16.2499,12.7767,0.289,7.2835,5.9322,61.5284,13.533,13.533,3.6929,6.0264,8.5873,0.4193,0.2706
2011-12-31,0.7251,0.582,1.537,59.2204,21.2568,21.2568,33.3094,15.9833,12.535,0.2683,5.825,8.5133,42.874,12.8689,12.8689,3.3626,5.3786,8.9802,0.11,0.4124
2012-12-31,0.5898,0.5906,1.7027,64.0783,22.9798,22.9798,35.4447,18.259,13.4049,0.2212,4.7726,6.9339,52.6403,11.8932,11.8932,2.9656,4.8694,9.4741,0.0501,2.4561
2013-12-31,0.6358,0.5706,1.5757,67.2437,21.4125,21.4125,38.0682,16.213,12.6057,0.2184,4.3001,6.6125,55.1985,9.296,9.296,2.4197,3.992,10.3678,0.6064,2.4331
2014-12-31,0.7186,0.5438,1.4231,67.0877,25.7564,25.7564,42.7707,21.4147,14.4821,0.2281,4.3359,7.8837,46.2978,12.2422,12.2422,3.3094,5.5845,11.3815,0.1372,0.1412
2015-12-31,0.6723,0.5358,1.2845,69.5356,26.4898,26.4898,44.8073,22.8183,15.7383,0.212,4.2311,7.7201,47.2793,11.9505,11.9505,3.3487,5.547,12.5336,0.2287,0.544
2016-12-31,0.6785,0.5234,1.2175,75.2634,27.6304,27.6304,48.8722,27.1285,18.0072,0.1793,3.097,6.6166,55.1639,11.8393,11.8393,3.3325,5.6426,13.5315,0.0653,2.7271
2017-12-31,0.6387,0.5154,1.186,76.2942,30.1229,30.1229,45.4842,27.1531,31.3283,0.1753,3.198,6.2744,58.173,18.0251,18.0251,5.4337,8.7347,15.6746,0.0014,0.8445
2018-12-31,0.364,0.4172,1.008,77.6888,25.5874,25.5874,50.3796,43.9529,39.6843,0.1613,3.0515,5.6339,64.7866,15.4385,15.8151,5.5698,8.9976,19.5675,0.0387,0.5684
2019-12-31,0.5348,0.4758,1.0296,77.2808,27.8744,27.8744,51.1925,19.975,19.6261,0.1632,3.2854,6.8415,53.3511,8.1915,9.1183,2.8787,4.2939,21.1452,0.7439,2.0467
2020-12-31,0.4745,0.4828,1.0704,80.3356,28.427,28.427,52.4032,13.4078,16.2194,0.1409,2.2803,6.0514,60.3162,5.2728,5.8242,1.8554,2.727,22.923,0.1447,1.4548
