date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.7712,,,31.7259,0.4381,0.4381,16.1227,1.2218,6.1604,1.8707,,,,18.5753,18.7164,11.5243,18.5753,0.5903,0.3434,0.2831
2006-12-31,2.2147,,,37.0914,6.5437,6.5437,22.3773,8.018,4.9003,1.6371,,,,11.7909,11.7909,8.0225,11.7909,0.8624,0.1699,0.1737
2007-12-31,2.07,0.0766,0.0849,34.7763,7.6139,7.6139,26.3354,9.2028,5.5261,1.7752,,,,15.497,15.497,9.8098,14.31,0.9459,0.0619,0.0266
2008-12-31,1.6616,0.0986,0.1127,33.2996,8.9038,8.9038,26.6984,9.6361,6.084,2.2174,,,,23.9161,23.9161,13.4909,21.5572,0.8425,0.0706,0.0628
2009-12-31,1.8072,0.543,1.195,35.3834,11.4915,11.4915,26.9102,11.5067,6.9366,2.4572,,,,58.1793,58.1793,17.0449,26.5908,0.5324,0.1491,0.1364
2010-12-31,1.6399,0.408,0.6893,37.2358,13.1156,13.1156,28.7769,12.3783,7.4379,2.2021,,,,55.4352,55.4352,16.379,32.8162,0.7853,0.0678,0.0445
2011-12-31,1.4945,0.3836,0.6223,36.3441,11.7353,11.7353,37.936,11.219,7.0563,1.0441,,,,35.1777,35.1777,7.3676,21.6843,1.6576,0.1077,0.0662
2012-12-31,1.337,0.3494,0.5371,26.5212,1.3851,1.3851,48.5436,0.8445,0.4752,0.9096,,,,2.3033,2.3033,0.4323,1.4984,1.9138,0.7824,0.7496
2013-12-31,1.4199,0.2727,0.3749,28.7425,5.2199,5.2199,56.4634,3.9107,2.5695,0.8082,,,,8.4288,8.4288,2.0767,6.1303,3.1961,0.1776,0.148
2014-12-31,1.4746,0.3229,0.4769,31.8257,7.3147,7.3147,57.8501,6.3468,4.8468,0.7816,,,,14.3617,14.3617,3.7884,9.7246,4.3927,0.1918,0.226
2015-12-31,1.5389,0.5161,1.0665,32.2742,4.511,4.511,56.8311,2.0929,1.809,0.6645,,,,5.5159,5.5159,1.202,2.6691,5.1956,1.7553,1.8029
2016-12-31,1.2472,0.5566,1.2554,29.1394,4.3008,4.3008,60.0721,2.95,2.114,0.65,,,,6.9661,6.9661,1.374,3.0886,6.2313,1.6432,1.6795
2017-12-31,1.4031,0.6447,1.8145,31.2991,7.1727,7.1727,60.7935,4.1506,4.7801,0.615,,,,15.604,15.604,2.9398,5.5442,8.2649,0.6368,0.7792
2018-12-31,1.4943,0.6642,1.9776,36.8917,10.1633,10.1633,58.3783,7.7652,7.6688,0.6081,,,,23.1208,23.1208,4.6632,7.765,11.999,1.9431,1.9408
2019-12-31,0.9012,0.6606,1.9466,38.2818,12.9202,12.9202,59.1577,10.2311,9.2621,0.5933,,,,24.6225,24.6225,5.4949,8.3563,17.279,0.451,0.6256
2020-12-31,1.2506,0.5883,1.4739,38.8851,18.3441,18.3441,62.0414,12.7994,11.0473,0.6364,,,,24.9556,24.9556,7.03,10.2752,24.9839,11.7347,11.1986
