date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-05-31,3.1768,0.1086,0.1352,44.509,13.7827,13.7827,15.841,13.536,8.8182,1.5625,4.2098,6.0739,60.0935,21.4663,23.7443,13.7782,19.1361,2.7021,0.7264,0.6108
2006-05-31,2.812,0.0613,0.1129,44.0458,14.1037,14.1037,15.97,14.3204,9.308,1.5152,4.0294,6.2759,58.1588,22.1473,24.2133,14.1039,20.7888,3.0689,0.0639,0.0222
2007-05-31,3.1256,0.0551,0.077,43.8598,13.0578,13.0578,14.7128,13.4749,9.1358,1.5275,4.3194,6.5442,55.7743,21.2301,23.0003,13.9545,20.0597,3.5008,0.1308,0.1483
2008-05-31,2.6612,0.0534,0.0799,45.0282,13.0654,13.0654,14.7914,13.437,10.1111,1.497,4.1993,6.6637,54.7745,24.0681,28.3927,15.1366,22.7838,3.9836,0.0392,0.0429
2009-05-31,2.9704,0.0479,0.0934,44.8686,9.6892,9.6892,13.7776,10.2055,7.7545,1.4473,4.4854,6.6493,54.8928,17.1055,18.513,11.223,16.2864,4.4764,0.0758,0.0695
2010-05-31,3.2577,0.0437,0.0607,46.2817,13.0115,13.0115,15.0941,13.2376,10.0295,1.3187,5.0044,7.1751,50.8704,19.551,20.9584,13.2256,18.6961,5.0382,0.717,0.7681
2011-05-31,2.8542,0.0273,0.0674,45.7424,14.1224,14.1224,15.902,14.2268,10.603,1.3413,4.0203,6.4108,56.9354,22.0664,23.7351,14.4819,21.4646,5.258,0.6687,0.7261
2012-05-31,3.0513,0.0215,0.0371,43.4958,13.1542,13.1542,14.8515,12.9056,9.4767,1.5086,4.0916,7.4492,48.9983,21.7416,22.8441,14.5942,21.2744,5.6665,0.0378,0.0388
2013-05-31,3.4402,0.0984,0.1232,43.5903,12.7919,12.7919,14.775,12.863,9.7657,1.4427,4.0985,8.121,44.9455,22.1189,22.9903,13.9698,19.9414,6.1974,0.6837,0.6636
2014-05-31,2.7245,0.0997,0.1268,44.7714,13.2379,13.2379,15.3459,12.7487,9.6874,1.4951,3.8898,8.0952,45.0883,24.8799,25.8669,14.4832,22.3987,6.2207,0.0089,0.1566
2015-05-31,2.4616,0.0783,0.0992,45.9691,13.6433,13.6433,15.7642,13.7414,10.6957,1.4169,3.8123,9.1129,40.0533,25.7575,26.6206,15.1549,23.7415,7.4223,0.9827,0.924
2016-05-31,2.8042,0.1398,0.1663,46.241,13.9054,13.9054,15.9501,14.2791,11.6135,1.5144,3.5976,9.9895,36.5383,30.6739,31.7407,17.5874,26.3841,7.2878,0.6953,0.8027
2017-05-31,2.9341,0.2186,0.3064,44.5764,13.8253,13.8253,15.9098,14.2242,12.3435,1.4768,3.7662,9.3419,39.0715,34.1743,35.3776,18.2295,26.7036,7.5514,0.3225,0.3273
2018-05-31,2.5056,0.2611,0.3883,43.8388,12.2125,12.2125,14.3391,11.8829,5.3109,1.6151,3.8854,10.4051,35.079,19.7004,20.6231,8.5774,14.5557,6.1287,0.7135,0.7392
2019-05-31,2.1008,0.277,0.3848,44.6711,12.1993,12.1993,14.0399,12.2734,10.2999,1.6493,3.8497,9.1566,39.862,44.5686,46.8325,16.9878,32.2217,5.7653,0.6608,0.5891
2020-05-31,2.4814,0.5387,1.1989,43.4217,8.3282,8.3282,11.32,7.7186,6.7882,1.1934,2.8725,13.606,26.8263,31.5208,33.5935,8.101,14.541,5.1701,2.0861,2.077
