date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.947,0.1874,0.3057,16.9458,7.3387,7.3387,9.8539,6.8884,4.6701,0.8762,21.39,8.4374,43.2599,8.2957,76.3676,4.0802,6.741,48.4458,7.2329,4.9972
2006-12-31,0.9959,0.1937,0.2505,18.3255,8.3158,8.3158,10.6132,7.7223,5.1415,0.937,20.8291,8.4197,43.3507,9.5877,91.3942,4.9767,7.7304,48.0311,2.3361,2.0831
2007-12-31,1.0567,0.1813,0.2293,19.7324,9.6404,9.6404,12.02,8.589,5.8996,0.9091,24.354,8.0055,45.5934,9.8999,165.3447,5.2468,8.1046,52.354,3.2601,3.3207
2008-12-31,1.1066,0.2241,0.3309,18.3816,0.8139,0.8139,10.9949,1.6092,3.9053,1.0701,26.2961,8.7314,41.803,11.5688,54.377,4.5667,8.9761,36.4512,1.4425,1.3287
2009-12-31,1.2362,0.2483,0.3385,17.5226,8.2242,8.2242,10.2134,7.4864,6.0976,0.914,19.4915,8.1467,44.8033,11.3029,84.2044,4.7402,8.4963,41.3439,3.0018,2.4289
2010-12-31,1.3737,0.2267,0.3516,18.8111,10.0451,10.0451,12.0172,8.4071,7.2949,0.896,25.5011,8.4539,43.1754,14.1709,219.3548,6.0618,10.9576,46.1787,1.5492,1.0693
2011-12-31,1.2626,0.2757,0.3807,21.3009,12.4035,12.4035,14.4631,11.6727,8.0191,1.0394,23.8099,8.9109,40.9609,20.1819,102.3553,8.209,14.6171,40.7105,0.6361,0.4404
2012-12-31,1.3857,0.2923,0.4131,22.1271,12.4118,12.4118,14.4341,11.7575,7.8436,0.9501,24.609,8.8237,41.3661,20.7904,67.8094,7.4521,14.7129,39.7726,2.9076,3.3486
2013-12-31,1.6316,0.3582,0.5582,21.8118,12.6637,12.6637,14.6709,11.6094,7.9153,0.9348,27.6246,9.1847,39.7399,18.3804,107.3707,7.3993,11.796,48.8054,0.1974,0.0527
2014-12-31,1.3204,0.4502,0.8189,23.3579,13.3283,13.3283,15.255,12.2482,8.6284,0.9024,24.7682,8.5456,42.712,28.5971,39.5527,7.7864,15.7219,36.3696,1.6097,0.521
2015-12-31,1.1607,0.5363,1.1565,23.982,13.0749,13.0749,15.0599,11.8592,8.4587,0.9632,22.1611,8.2809,44.0774,36.0377,28.6826,8.1477,16.7115,30.4573,0.9415,0.7547
2016-12-31,1.2178,0.573,1.3421,23.9173,13.264,13.264,15.1097,10.8516,8.2692,0.9646,23.0355,7.4889,48.7386,38.8477,28.4105,7.9761,16.5868,30.0398,4.3006,1.6618
2017-12-31,2.3388,0.6688,2.0189,22.8042,12.375,12.375,14.2017,16.2629,11.0329,0.7403,50.4372,5.7544,63.4301,40.2272,53.3768,8.1673,13.325,40.9683,0.7041,0.8918
2018-12-31,1.1699,0.629,1.6957,22.5652,12.5602,12.5602,15.2185,12.434,10.7294,0.7993,35.633,4.6486,78.5184,39.4406,27.2329,8.5757,14.6307,47.9875,7.0383,5.1695
2019-12-31,1.1326,0.5915,1.448,21.4503,11.7284,11.7284,15.4665,7.5293,6.6428,0.8236,33.9489,5.0812,71.833,25.4904,20.5691,5.4711,10.4127,52.5416,3.3578,3.076
2020-12-31,1.6017,0.5741,1.348,20.3212,11.0465,11.0465,14.4895,10.1307,8.666,0.8275,38.6311,5.5412,65.8704,30.1446,41.2976,7.1713,12.8382,63.4548,0.4097,0.5956
