date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.6183,0.4931,1.0113,23.7917,9.375,9.375,19.2917,4.5833,2.6667,0.3215,7.6208,8.2192,44.4083,3.726,3.0631,0.9108,1.3914,15.3466,0.3977,0.2222
2006-12-31,1.5172,0.593,1.4777,41.5398,25.3894,25.3894,29.9911,15.4879,10.2238,0.2874,7.7738,12.9282,28.2328,11.3932,17.7683,2.7938,3.7428,24.1368,0.9578,0.8435
2007-12-31,1.5643,0.5786,1.4538,43.5966,26.0478,26.0478,35.7656,15.5786,8.6492,0.3107,7.49,12.4253,29.3755,12.0555,17.9819,2.8847,4.0745,24.293,3.9119,2.9759
2008-12-31,1.2904,0.5109,1.1073,47.7415,33.0138,33.0138,40.0,25.65,16.9935,0.2775,7.9077,14.8384,24.5984,16.7943,21.7697,4.2446,6.9888,31.4478,0.1108,1.4372
2009-12-31,1.6502,0.4969,1.0597,40.5384,24.1175,24.1175,36.1484,18.6439,10.1542,0.3829,9.8392,10.2192,35.7172,12.4669,21.1508,4.0252,5.9591,31.2762,2.393,2.9249
2010-12-31,1.6912,0.547,1.2633,31.3708,14.7813,14.7813,25.4492,8.5094,5.2887,0.329,13.4062,12.0559,30.2757,5.8969,10.1796,1.7698,2.5915,33.6574,1.3814,1.3054
2011-12-31,1.3221,0.5517,1.2417,25.7077,6.9942,6.9942,19.7929,7.1153,2.0707,0.3375,21.8994,10.8861,33.529,2.5688,4.2705,0.7323,1.1153,34.8013,1.5516,8.4973
2012-12-31,1.7071,0.5994,1.5101,27.0957,4.1558,4.1558,18.4873,0.1425,3.3959,0.2407,6.7996,7.5264,48.4962,3.0675,4.2845,0.9004,1.1998,32.6031,0.0721,4.2993
2013-12-31,1.8069,0.5954,1.5693,28.0213,3.0367,3.0367,14.8207,5.6131,3.4971,0.3332,9.0535,6.4432,56.6485,3.363,4.6371,1.0383,1.3292,33.0967,0.9784,6.8375
2014-12-31,1.7304,0.6279,1.7279,25.5861,8.0098,8.0098,18.6476,0.8508,0.4916,0.3921,9.4691,10.8909,33.5143,1.1305,2.0199,0.3262,0.4207,34.6816,0.5224,4.5513
2015-12-31,1.6894,0.7775,3.5819,26.9955,32.8602,32.8602,19.6139,40.4445,51.9306,0.3749,7.1885,10.6551,34.2558,116.5072,297.9294,19.2537,25.9287,17.2953,0.354,1.317
2016-12-31,1.4279,0.7821,3.7051,25.115,0.3702,0.3702,10.8245,10.4431,7.8632,0.2906,9.2594,8.4263,43.3169,21.5025,52.7885,3.1158,4.6856,14.0945,1.9377,4.0244
2017-12-31,1.3229,0.8235,4.7683,24.1129,8.1662,8.1662,0.7494,15.3075,23.7271,0.3885,15.2009,8.4019,43.4428,68.3435,145.8785,5.7589,12.0649,6.2132,0.9591,0.555
2018-12-31,1.5013,1.2366,5.2844,25.0053,10.3608,10.3608,17.0289,4.9272,2.8276,0.8918,17.2524,9.2559,39.4345,37.2772,19.1827,4.3282,8.8207,4.3504,0.6081,2.6549
2019-12-31,1.309,0.7778,3.5531,25.6389,13.1351,13.1351,19.1834,8.0033,45.1889,0.7837,19.0679,9.5815,38.0944,248.4922,1420.69,32.8785,55.2205,6.6587,0.8815,1.1012
2020-12-31,3.1478,0.838,5.1738,28.0765,12.1522,12.1522,19.5645,8.3691,5.6087,0.6102,20.0,10.0586,36.2873,30.3571,117.7829,3.4224,4.9176,6.8787,2.1152,2.5284
