date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3795,0.4163,0.7471,72.2294,24.827,24.827,34.0565,19.9015,15.0229,0.3297,17.9394,9.159,39.8517,13.8098,13.8098,4.9538,8.0607,22.6307,5.1055,2.8862
2006-12-31,1.1467,0.3885,0.6864,71.585,27.1819,27.1819,35.1547,23.7058,15.7436,0.3614,17.702,9.4829,38.4905,15.403,15.403,5.69,9.4187,24.1936,0.214,0.1203
2007-12-31,0.8599,0.3815,0.6547,71.162,27.4067,27.4067,35.74,23.7171,15.5216,0.3608,15.4546,10.0127,36.4536,15.0509,15.0509,5.5998,9.3094,25.6447,0.5453,0.0395
2008-12-31,0.9496,0.3916,0.694,61.6453,28.9279,28.9279,36.5726,25.795,16.0961,0.4054,21.0773,12.254,29.7861,17.862,17.862,6.5255,10.8676,26.2319,1.2799,0.5262
2009-12-31,1.2555,0.3921,0.6909,65.2529,24.6204,24.6204,35.224,20.3539,12.8749,0.2912,16.8842,10.4034,35.0847,9.9874,9.9874,3.778,6.0709,28.0554,2.146,1.5982
2010-12-31,1.1868,0.381,0.6584,65.185,28.1211,28.1211,36.8012,24.8739,15.6368,0.3375,19.6036,11.7918,30.9537,14.0219,14.0219,5.3052,8.6795,29.8548,2.3009,1.8734
2011-12-31,1.0294,0.4271,0.7608,63.0952,28.7594,28.7594,36.5378,26.1189,17.0695,0.3915,19.7273,10.9315,33.3897,19.3321,19.3321,6.7139,11.0745,29.9983,1.8863,0.3304
2012-12-31,1.0774,0.4635,0.8895,63.4058,28.2971,28.2971,36.6486,24.9819,15.7609,0.3639,18.7037,9.9549,36.6653,17.9201,17.9201,5.7643,9.6141,31.0794,0.2391,0.1522
2013-12-31,1.3341,0.4409,0.8369,63.8061,28.964,28.964,37.1632,26.3673,16.9231,0.3462,18.2511,10.9815,33.2379,16.9191,16.9191,5.88,9.4592,36.5484,0.3309,0.8409
2014-12-31,1.5607,0.4172,0.7241,63.8593,30.7553,30.7553,38.9797,26.9615,17.1542,0.3501,17.8009,11.018,33.1276,16.1186,16.1186,6.0241,9.3936,40.2544,0.4279,1.0499
2015-12-31,1.126,0.4352,0.8281,65.1603,27.4379,27.4379,37.5131,23.2328,14.7465,0.3079,13.5129,11.111,32.8504,12.7667,12.7667,4.5578,7.21,40.9275,0.2252,0.9901
2016-12-31,0.9795,0.4352,0.823,69.2051,30.4308,30.4308,40.8475,26.1125,16.8184,0.2834,11.8483,10.4635,34.8832,13.4419,13.4419,4.7805,7.5918,42.7281,0.6968,2.3891
2017-12-31,0.8444,0.3583,0.6013,71.6141,33.3807,33.3807,43.4177,29.6465,51.18,0.2955,13.491,11.0482,33.0372,33.0338,33.0338,15.1326,21.1963,57.5703,0.9557,1.652
2018-12-31,0.7186,0.4074,0.7255,69.698,34.5523,34.5523,44.1875,30.2758,23.2152,0.3162,16.773,11.3558,32.1422,17.3545,17.3545,7.3567,10.2847,57.3,2.0919,1.0966
2019-12-31,0.9048,0.439,0.8032,69.7415,35.3134,35.3134,45.3966,30.9048,24.0528,0.2979,14.0082,12.2783,29.7273,17.9268,17.9268,7.1777,10.0576,58.8744,1.356,1.4086
2020-12-31,1.0731,0.45,0.8573,70.6303,30.6671,30.6671,42.4558,25.8453,20.5333,0.2579,13.0091,11.5436,31.6192,13.6096,13.6096,5.3027,7.4852,58.6723,0.4798,1.1779
