date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4832,2.4628,,,,,33.8506,22.2824,0.0491,,,,16.2297,16.2297,1.0941,8.3872,16.5077,2.6318,2.3398
2006-12-31,,0.4345,2.7332,,,,,34.3565,22.3206,0.0491,,,,16.8716,18.8959,1.096,9.5416,18.0333,0.8801,1.0363
2007-12-31,,0.4448,1.9852,,,,,30.3867,20.8221,0.0516,,,,16.1207,17.8018,1.0751,8.9498,20.4393,2.1962,2.2432
2008-12-31,,0.4198,1.3572,,,,,30.6401,18.8015,0.0507,,,,16.2599,13.2467,0.9686,7.2175,28.6183,0.1305,0.1859
2009-12-31,,0.425,2.2864,,,,,35.141,21.084,0.0435,,,,13.6912,14.6214,1.0521,7.8717,26.1176,0.4746,0.3703
2010-12-31,,0.4178,1.4489,,,,,28.3797,19.0355,0.0416,,,,9.8019,10.4131,0.7985,5.7063,28.193,1.0335,0.8458
2011-12-31,,0.3893,1.0513,,,,,23.788,16.057,0.0371,,,,8.4807,9.1659,0.6023,5.1792,29.5313,1.9286,1.9011
2012-12-31,,0.3529,0.7907,,,,,25.6335,17.4963,0.0397,,,,9.1311,9.8337,0.7052,5.909,31.5049,1.8062,1.7098
2013-12-31,,0.3348,0.9383,,,,,26.4296,17.6787,0.0395,,,,9.2429,9.9209,0.7104,6.148,33.3387,0.1081,0.0304
2014-12-31,,0.2863,0.8158,,,,,27.5178,18.2419,0.0393,,,,10.0715,10.2556,0.7384,6.8575,36.2006,0.4484,0.4859
2015-12-31,,0.2654,0.9303,,,,,30.8707,19.7025,0.0406,,,,11.708,11.9054,0.8341,8.2164,37.9683,3.8945,3.8184
2016-12-31,,0.2412,0.9102,,,,,30.4162,19.8565,0.0402,,,,11.6163,11.161,0.8332,8.0192,42.7392,1.2424,1.3075
2017-12-31,,0.2399,1.2133,,,,,30.2389,20.9206,0.039,,,,12.8452,12.4758,0.8651,8.9208,45.179,0.9018,0.9886
2018-12-31,,0.2445,1.3385,,,,,32.7682,25.2732,0.0452,,,,16.1682,15.8187,1.1772,11.1894,47.9805,0.3822,0.3463
2019-12-31,,0.265,1.0627,,,,,31.9354,23.7499,0.0445,,,,15.1992,14.3561,1.0906,9.8888,52.8876,4.1487,3.8507
2020-12-31,,0.2819,0.7615,,,,,27.2365,19.2962,0.0352,,,,11.1937,11.0126,0.7113,7.4291,56.1158,2.9469,2.8639
