date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,3.2425,0.1773,0.2158,20.4094,16.7919,16.7919,19.7533,15.96,10.3712,1.7792,10.6965,12.693,28.756,30.7784,30.7784,18.452,25.3216,13.796,6.7373,5.6945
2006-12-31,3.2935,0.1596,0.1899,23.5008,19.4844,19.4844,21.9606,18.2522,11.9094,1.8689,9.8884,13.8208,26.4094,36.1675,37.3063,22.2574,30.396,16.1401,0.5393,0.4953
2007-12-31,3.2068,0.3056,0.4446,18.8637,15.5301,15.5301,18.1068,15.3488,8.8454,1.6887,8.4059,10.2944,35.4562,34.5292,46.5192,17.9669,23.9766,17.7536,0.7607,1.4165
2008-12-31,3.4503,0.2721,0.3967,17.1195,13.6574,13.6574,15.977,13.119,7.7089,1.7055,8.1441,19.2572,18.954,25.9779,38.4524,15.4594,18.9098,26.2971,1.6874,0.1455
2009-12-31,4.2233,0.2888,0.4072,1.3797,1.7594,1.7594,3.3023,3.6994,2.6412,0.8901,8.4057,10.0268,36.4023,3.1272,4.8619,1.8866,2.224,24.0881,4.4774,2.3969
2010-12-31,3.8959,0.3686,0.5857,4.9464,2.8545,2.8545,6.5315,1.6858,0.8348,1.1381,9.6694,11.0045,33.1682,2.8145,4.4483,1.482,1.777,23.2138,0.9873,0.7745
2011-12-31,2.7996,0.3202,0.5556,9.396,7.1313,7.1313,10.0799,6.2517,3.8731,1.3743,9.1292,11.7044,31.1849,11.1721,16.911,5.9092,7.5946,24.3302,0.5123,0.1994
2012-12-31,2.7894,0.3,0.4642,7.79,5.2943,5.2943,8.4185,4.39,2.5884,1.3729,7.7102,11.38,32.0738,7.5218,12.0515,4.1911,5.2649,24.8231,0.521,0.992
2013-12-31,3.2701,0.3562,0.5574,7.4041,4.8747,4.8747,8.0775,4.1524,2.5515,1.2532,6.7706,10.5203,34.695,7.4021,11.566,3.8513,4.7654,24.8495,0.3956,1.2207
2014-12-31,3.0708,0.3507,0.5677,8.762,6.174,6.174,9.6065,5.4361,3.2078,1.3515,7.0148,10.2041,35.7699,9.6415,15.1343,4.9857,6.2607,25.3112,0.8186,2.4884
2015-12-31,4.2265,0.3559,0.559,6.7758,2.4944,2.4944,6.7526,1.4713,0.4818,1.1474,6.825,11.8796,30.7249,2.459,3.8089,1.3473,1.5839,24.6881,2.5681,3.4655
2016-12-31,2.7224,0.3118,0.5278,12.4993,8.8175,8.8175,13.0564,8.0124,4.8966,1.0647,5.7187,9.9334,36.7447,10.9079,16.8771,5.9146,7.5073,25.8982,1.2912,2.0493
2017-12-31,2.4159,0.263,0.4177,12.6869,9.2921,9.2921,12.8821,8.6407,6.4888,1.2785,5.1082,9.9837,36.5596,15.1965,23.1093,8.715,11.1995,28.5713,2.1818,1.6682
2018-12-31,3.0775,0.2933,0.4206,17.1355,13.2631,13.2631,16.1339,12.8829,9.3804,1.3988,4.5617,10.0046,36.4831,24.3197,34.5116,13.8449,17.1877,33.3843,4.2683,2.5854
2019-12-31,3.3389,0.2845,0.4062,11.8602,8.4153,8.4153,11.6676,7.8924,5.5962,1.2314,5.182,10.4573,34.9038,12.704,17.4684,7.4731,9.0894,35.7546,1.6377,0.0593
2020-12-31,3.6108,0.3194,0.4755,11.0625,4.9617,4.9617,8.8618,4.1487,3.5607,1.0007,5.0186,8.7608,41.6631,7.4434,10.0313,4.1541,5.0657,37.1615,0.3034,0.5576
