date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-01-31,3.0984,,0.0007,32.2161,4.735,4.735,9.8393,5.3247,4.4086,1.2343,4.3182,6.7843,53.801,7.5208,8.499,5.4414,7.5208,2.3506,0.2506,0.1231
2006-01-31,3.5342,,,38.3061,14.1712,14.1712,18.2954,15.0183,12.6774,1.2154,5.7506,7.4663,48.886,20.1322,22.5557,15.4079,20.1322,2.908,0.5632,0.5456
2007-01-31,3.1806,,,42.3769,14.7763,14.7763,18.2814,16.1133,14.6259,1.1471,4.9857,5.9165,61.6919,22.3293,26.9961,16.7509,22.3293,3.7062,0.1614,0.0837
2008-01-31,2.9869,,,45.616,20.4093,20.4093,23.6596,21.9954,19.4649,1.0934,6.216,6.1484,59.3652,30.4688,36.9806,21.2838,30.4688,4.6992,1.1183,1.0317
2009-01-31,2.7845,0.0106,0.0107,34.2866,2.0643,2.0643,3.338,1.2542,0.8771,1.0221,4.1845,10.7553,33.9368,1.2545,1.5999,0.8966,1.2412,4.4472,1.6386,2.0729
2010-01-31,3.1628,0.0091,0.0092,35.3808,2.9745,2.9745,2.9376,2.4739,2.0438,0.9276,6.5004,8.8714,41.1435,2.551,3.1261,1.8959,2.5278,4.7468,0.4327,1.0352
2011-01-31,3.4232,0.0073,0.0074,39.7676,7.2177,7.2177,12.495,7.653,7.1443,0.7882,6.1767,10.1594,35.9272,7.9569,10.034,5.6314,7.8988,5.4055,0.2604,0.2353
2012-01-31,4.1995,0.0051,0.0052,51.4396,16.2159,16.2159,21.3236,16.5935,14.5348,0.72,5.7051,11.8935,30.6889,14.0166,18.2816,10.4646,13.9445,6.7719,0.327,0.2682
2013-01-31,4.8916,0.0039,0.0039,52.0154,15.1452,15.1452,20.4309,15.4676,13.1429,0.6675,4.9793,9.4224,38.7373,11.6523,14.5195,8.7728,11.6066,7.8276,0.1562,0.2244
2014-01-31,5.949,0.2356,0.3083,54.9153,12.0097,12.0097,17.9177,12.3487,10.6538,0.5696,4.8019,9.6867,37.6805,9.8734,12.5099,6.0682,7.5468,7.8458,0.0846,0.0087
2015-01-31,6.3761,0.2404,0.3164,55.5105,16.211,16.211,21.5079,16.1256,13.4772,0.6502,4.3126,9.8776,36.9522,14.2825,17.6356,8.7627,10.8494,8.1064,0.2058,0.413
2016-01-31,2.5746,0.0212,0.3379,56.1078,14.9102,14.9102,19.4212,14.8303,12.2555,0.6798,5.2608,9.9208,36.7914,13.7391,16.6621,8.3311,13.4472,8.2913,0.4558,0.4964
2017-01-31,4.774,0.259,0.4877,58.7988,27.9884,27.9884,30.6946,27.5687,24.11,0.7022,3.5856,8.3656,43.631,28.9136,33.0556,16.9292,21.4249,9.8496,0.5113,0.3897
2018-01-31,8.0269,0.2099,0.2677,59.9341,33.0451,33.0451,35.0937,32.901,31.3671,0.8642,4.8894,7.6791,47.5319,40.7844,44.8022,27.1061,32.2229,12.3284,2.9648,2.2901
2019-01-31,7.9436,0.1755,0.2128,61.2069,32.4684,32.4684,34.7047,33.2537,35.3448,0.8814,2.8857,8.2275,44.3633,44.3267,47.7129,31.1541,36.549,15.4158,0.4477,0.4228
2020-01-31,7.6738,0.1403,0.1631,61.9894,26.0671,26.0671,29.5567,27.2028,25.6091,0.6306,4.239,6.589,55.3952,22.9105,24.2351,16.1479,19.6971,19.9412,1.7151,1.8838
2021-01-31,4.0904,0.2609,0.4122,62.3448,27.1784,27.1784,33.7631,26.4408,25.979,0.5792,3.4387,6.865,53.1685,25.6438,43.4809,15.0464,18.9526,27.2468,1.5668,0.5619
