date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3757,0.5966,1.5801,30.7511,9.9244,9.9244,13.2757,8.1054,4.3955,0.8869,4.9875,5.1613,70.7183,24.7261,38.2256,6.303,9.9757,5.9862,2.3339,2.2368
2006-12-31,1.306,0.5106,1.1902,33.3817,10.5886,10.5886,13.7059,8.3035,6.2087,0.9826,4.8566,5.5684,65.5481,24.9021,46.8685,7.459,12.1864,6.866,0.0015,0.2754
2007-12-31,1.0343,0.3476,0.9722,35.2286,11.554,11.554,14.3165,9.8638,7.2901,0.9588,4.4131,5.4932,66.4455,21.4613,55.8735,7.2169,14.0012,7.6805,0.0569,0.7886
2008-12-31,1.0715,0.5714,1.8125,32.813,3.1033,3.1033,5.9361,0.0587,0.8083,0.9526,4.7664,6.6755,54.6772,3.1348,2.8444,0.7332,1.3434,5.42,0.6533,0.6286
2009-12-31,1.2402,0.5307,1.4077,37.0227,10.4917,10.4917,13.6849,7.8163,5.2066,0.8536,5.0179,6.1329,59.5154,16.0364,17.6605,4.449,7.526,6.4154,0.4224,0.4916
2010-12-31,1.2798,0.52,1.2432,37.975,11.0194,11.0194,14.0646,5.1925,5.1748,0.8834,5.0021,5.6701,64.3727,15.1246,19.3125,4.4994,7.2605,6.5594,0.1399,0.1632
2011-12-31,1.2933,0.4941,1.175,38.1207,5.6788,5.6788,8.6108,3.7829,2.2715,0.8946,4.873,5.5007,66.3552,10.1047,15.8711,3.0385,5.1121,6.4259,0.0127,0.1314
2012-12-31,1.4458,0.4604,0.9591,38.0158,11.5767,11.5767,14.5484,10.0209,7.2851,0.8853,4.9029,4.9519,73.709,19.5231,38.1311,6.2761,10.535,6.9718,0.2116,0.2111
2013-12-31,1.4245,0.4447,0.885,37.8973,10.9702,10.9702,13.8042,9.5648,8.4644,0.9238,5.0878,5.0737,71.9389,20.0627,46.2248,6.8587,11.1411,7.448,0.0326,0.7478
2014-12-31,1.2137,0.5291,1.338,38.4739,10.5588,10.5588,13.2844,8.0688,6.5968,0.8724,4.9733,4.5882,79.5518,20.1089,23.633,5.6823,9.4684,6.8904,0.1996,0.4897
2015-12-31,1.2539,0.5937,1.6743,38.9574,10.1662,10.1662,13.0669,5.7052,5.9165,0.8149,5.0029,4.7299,77.1685,14.1973,12.7828,3.5719,5.768,6.8353,0.0898,0.356
2016-12-31,1.7438,0.4979,1.0447,32.3589,3.2469,3.2469,8.0088,0.2048,5.7488,0.2713,2.9349,3.3424,109.2046,0.3364,0.2958,0.1132,0.1689,23.5946,2.1846,1.9155
2017-12-31,2.1855,0.4108,0.744,34.1125,6.3274,6.3274,12.7784,8.2298,24.6079,0.3371,4.4273,5.9439,61.4073,17.1656,84.194,7.3465,10.1132,29.2277,2.3885,2.1732
2018-12-31,1.8037,0.5604,1.3354,34.6465,74.3943,74.3943,26.4034,78.7079,68.3672,0.5729,3.769,4.6933,77.7701,126.2659,139.0187,37.4272,55.5086,12.4248,0.5444,0.5226
2019-12-31,1.3801,0.519,1.1455,33.1343,4.9614,4.9614,13.3711,8.7699,1.1014,0.6211,4.0448,5.2742,69.2054,3.723,5.1254,1.1891,1.7907,11.7969,1.0273,1.2128
2020-12-31,1.2781,0.5686,1.4377,32.8077,6.7555,6.7555,13.0634,10.7192,8.2046,0.6384,3.8498,5.593,65.2605,19.7436,23.9353,5.2381,8.5168,9.1894,0.9138,0.9282
