date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4741,0.9014,,45.6458,45.6458,70.2906,45.6458,45.9016,0.1017,,,,10.2152,9.0949,4.602,4.7,11.819,1.3659,3.8374
2006-12-31,,0.3686,0.5838,,44.1739,44.1739,70.1764,44.1739,41.8754,0.0932,,,,8.4096,6.6801,4.0891,4.1718,15.6432,0.399,2.4706
2007-12-31,,0.4887,0.9557,,42.9425,42.9425,70.3159,42.9425,39.85,0.0947,,,,10.3122,8.1385,4.0222,4.1148,15.2161,2.2042,4.4324
2008-12-31,,0.4684,0.8812,,34.3129,34.3129,63.2794,34.3129,33.0998,0.1086,,,,9.0643,7.1743,3.6838,3.7714,14.9183,0.739,2.3899
2009-12-31,,0.4765,0.9103,,37.0584,37.0584,66.3959,37.0584,33.1341,0.1107,,,,10.3333,8.081,4.0777,4.1812,14.2684,0.2434,1.0824
2010-12-31,,0.4642,0.8663,,34.9673,34.9673,64.3003,34.9673,31.9494,0.0943,,,,7.6334,6.296,3.2583,3.3421,15.6444,0.1085,6.0652
2011-12-31,,0.4768,0.9114,,34.2157,34.2157,65.6191,34.2157,32.1998,0.0933,,,,7.2831,6.2397,3.1593,3.2395,16.9254,0.0719,0.749
2012-12-31,,0.5433,1.1894,,29.501,29.501,63.2827,29.501,23.6365,0.0893,,,,7.8681,6.5884,2.6135,2.6861,18.0799,0.0877,0.0187
2013-12-31,,0.4346,0.7686,,23.4505,23.4505,65.4184,23.4505,26.0999,0.0786,,,,3.7534,4.0403,1.8199,1.8837,26.1289,0.2489,0.4439
2014-12-31,,0.4664,0.8741,,25.0021,25.0021,65.93,29.2019,24.3767,0.0848,,,,5.1307,5.8689,2.4439,2.5458,25.0848,0.1635,2.0196
2015-12-31,,0.4238,0.7357,,25.9733,25.9733,67.1317,28.147,25.0845,0.0864,,,,4.6258,5.1758,2.4048,2.5044,26.1697,0.067,0.5753
2016-12-31,,0.4625,0.8604,,26.9913,26.9913,69.3636,28.9836,26.151,0.0839,,,,4.9514,5.5623,2.4061,2.5064,26.0872,0.1929,1.3757
2017-12-31,,0.4526,0.8269,,23.3979,23.3979,66.2865,26.7619,24.8003,0.0865,,,,4.3205,5.1663,2.2714,2.3649,26.004,0.0682,2.1651
2018-12-31,,0.4446,0.8004,,26.0043,26.0043,69.1792,27.8602,27.3839,0.087,,,,4.4896,5.2677,2.3892,2.4937,26.7364,0.0475,1.0466
2019-12-31,,0.4463,0.8059,,27.5803,27.5803,68.812,29.7425,29.2629,0.0804,,,,4.4622,5.264,2.3578,2.4708,29.3873,0.1362,5.1943
2020-12-31,,0.4445,0.8003,,20.0035,20.0035,62.4787,24.8966,23.9453,0.0796,,,,3.5988,4.2603,1.9118,1.999,30.4944,0.1514,4.9946
