date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2011-12-31,,,,76.7961,2.5452,2.5452,11.7855,2.4997,2.4997,,,,,,,,,,9.4575,6.0097
2012-12-31,1.0132,0.3256,0.5222,78.745,7.9846,7.9846,15.3847,0.6379,0.5247,0.1804,22.8656,123.4887,2.9557,0.7426,7.3298,0.0953,0.5008,,9.2124,6.1238
2013-12-31,0.9892,0.9344,16.1253,80.5848,8.8029,8.8029,14.1411,1.3002,0.5585,0.187,36.1436,58.0059,6.2925,11.9418,1.1343,0.1055,0.7832,0.1112,0.1083,0.1127
2014-12-31,1.0194,0.2606,0.3639,81.9001,10.4022,10.4022,17.9197,6.3977,3.7521,0.1893,140.0923,40.4744,9.018,7.6385,33.0146,0.7101,5.6483,1.3772,0.0773,0.1542
2015-12-31,1.0462,0.2018,0.2618,84.2099,15.3281,15.3281,19.5916,14.923,9.3233,0.2563,32.4547,24.6953,14.7802,21.3042,48.7762,2.3892,17.005,1.7212,0.3112,0.3006
2016-12-31,1.0297,0.1977,0.2559,83.5736,30.9108,30.9108,35.0491,30.6896,21.3954,0.3052,80.0978,162.0586,2.2523,60.4332,112.1942,6.5288,48.4866,2.0325,0.9339,0.4817
2017-12-31,1.0317,0.109,0.1255,83.3672,29.9529,29.9529,34.3545,29.4961,28.5156,0.2794,73.573,50.22,7.268,43.9066,54.0657,7.9661,39.1198,4.8668,0.538,0.2657
2018-12-31,1.0349,0.0888,0.1027,83.9737,30.6735,30.6735,35.9158,30.8494,24.2021,0.3721,113.8808,76.7809,4.7538,40.9451,48.4561,9.006,37.3101,5.8445,0.941,0.9286
2019-12-31,1.0671,0.0554,0.062,85.1225,30.6673,30.6673,36.3943,30.6488,24.4792,0.2966,94.7729,55.389,6.5898,34.2891,38.0369,7.261,32.3911,9.1333,0.6856,0.1168
2020-12-31,1.0853,0.0425,0.0471,85.3172,22.1197,22.1197,28.4671,22.0975,17.0486,0.3226,107.338,42.9807,8.4922,21.8797,23.7602,5.5007,20.9493,11.3553,0.0578,0.0347
