date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-05-31,1.1074,,,65.4688,36.9358,36.9358,43.2066,37.7932,25.5234,0.313,,7.4895,48.7352,26.6187,40.612,7.9882,26.6187,3.6597,1.2287,1.0518
2006-05-31,1.1579,,,66.5439,38.7897,38.7897,44.4277,40.2943,27.7628,0.3018,,7.3456,49.6899,28.0942,39.1244,8.3779,28.0941,4.3514,0.264,0.2282
2007-05-31,1.1472,,,67.3826,37.1787,37.1787,42.3185,39.3897,27.3162,0.3021,,7.8657,46.4039,26.4027,34.8906,8.2517,26.4027,5.1086,0.1563,0.1628
2008-05-31,1.1062,,,68.0236,40.0841,40.0841,44.9065,41.3689,27.8826,0.3892,,9.4301,38.706,48.1468,83.6416,10.8506,48.1468,3.3194,0.3121,0.2975
2009-05-31,1.1453,,,67.3276,38.6595,38.6595,43.8832,38.9908,25.6146,0.4062,,10.1264,36.0444,39.7696,64.1595,10.4049,39.7696,3.7163,0.0531,0.0098
2010-05-31,1.1114,,,67.3331,36.2255,36.2255,42.2981,36.4504,23.8405,0.3828,,9.2931,39.2765,34.0228,51.9156,9.1269,34.0228,3.8783,0.219,0.211
2011-05-31,1.124,,,68.7425,37.7297,37.7297,43.8517,38.008,24.7229,0.3864,,10.9412,33.3601,34.4406,56.9204,9.5536,34.4406,4.132,0.2848,0.177
2012-05-31,1.0696,,,69.948,38.2949,38.2949,44.587,38.5819,24.5762,0.3441,,12.889,28.3187,34.154,53.1368,8.4573,34.1539,4.425,0.0272,0.0032
2013-05-31,1.1322,,,71.1418,38.8961,38.8961,45.5335,39.1798,24.4605,0.3774,,14.0302,26.0154,32.0798,47.631,9.2315,32.0798,4.8541,0.0949,0.1187
2014-05-31,1.127,,,70.9199,39.0131,39.0131,45.9725,39.2274,24.9117,0.3954,,13.5644,26.9088,35.3123,52.4622,9.8507,35.3123,4.8953,0.5545,0.5955
2015-05-31,1.1127,,,70.5066,38.4582,38.4582,45.1307,38.6918,24.635,0.4236,,12.772,28.5781,37.7989,56.6381,10.4353,37.7989,4.9432,0.0491,0.0032
2016-05-31,1.114,,,70.9645,38.8428,38.8428,45.3064,38.9952,25.6377,0.4583,,6.638,54.9868,39.5878,63.8596,11.7501,39.5878,5.3044,0.3535,0.366
2017-05-31,1.1157,,,70.8405,39.7685,39.7685,51.4653,39.9334,26.2068,0.4614,,5.8024,62.9055,42.2595,66.6048,12.0916,42.2595,5.4405,0.1602,0.1507
2018-05-31,1.1127,,,69.8552,38.2361,38.2361,49.4301,38.4907,29.4313,0.4267,,6.4386,56.6892,42.1801,70.9362,12.5591,42.1801,6.5649,0.8822,0.7162
2019-05-31,1.1719,0.2331,0.304,68.7793,36.3499,36.3499,47.2366,36.2624,27.4195,0.4348,,4.4164,82.6463,39.4885,236.2722,11.9226,30.2819,7.2906,0.0164,0.0674
2020-05-31,1.2344,0.2227,0.2883,68.301,36.1465,36.1465,46.9521,35.5674,27.1773,0.4725,,5.1126,71.392,39.4801,166.4543,12.8422,30.6886,7.752,0.477,0.4674
